,Unnamed: 0,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,lable (y),prince_o,gender_data,district_data,age,social_catagory,school_wise_data
26,26,1,3,6,1,0,0,0,0,1,4,2,1,1,2,1,1,3,20,1,7,0.9,male,,,,
27,27,0,2,1,0,0,0,1,0,4,0,2,1,1,4,4,1,5,10,0,8,0.699,female,,,,
28,28,0,3,1,1,0,1,1,0,0,1,0,1,1,4,4,1,3,17,0,11,0.645,female,,,,
29,29,0,2,5,0,0,0,1,1,0,1,1,1,1,1,2,1,1,24,1,8,0.31,male,,,,
30,30,0,2,1,0,0,0,1,0,1,5,0,1,1,3,4,1,4,2,1,9,0.593,male,,,,
31,31,0,2,4,0,0,0,0,1,1,1,0,1,1,4,2,1,2,22,1,6,0.471,male,,,,
32,32,1,2,2,0,0,0,1,0,3,0,2,1,1,4,2,1,2,5,0,7,0.505,female,,,,
33,33,0,2,4,0,0,1,1,0,2,5,1,1,1,2,1,1,1,16,1,7,0.73,male,,,,
34,34,1,4,5,0,1,0,0,0,4,3,2,0,1,4,4,0,4,14,1,5,0.401,male,,,,
35,35,0,1,7,1,0,1,1,0,4,4,0,1,1,2,1,1,5,8,1,9,0.285,male,,,,
36,36,0,3,6,0,0,0,1,0,2,5,0,0,1,4,2,1,3,13,0,5,0.56,female,,,,
37,37,1,4,6,0,1,0,0,0,4,5,2,0,1,1,2,1,1,13,0,4,0.439,female,,,,
38,38,0,3,3,0,1,0,1,0,0,5,2,1,1,1,3,0,2,16,1,6,0.534,male,,,,
39,39,0,2,4,0,1,0,1,0,2,3,2,1,0,2,1,0,1,19,0,5,0.495,female,,,,
40,40,0,1,7,0,0,0,1,0,4,5,1,1,0,2,4,1,2,5,0,6,0.237,female,,,,
41,41,0,3,7,0,0,0,0,0,4,1,0,0,1,3,1,1,1,21,0,5,0.734,female,,,,
42,42,0,1,1,0,0,0,0,0,5,1,2,1,1,4,1,1,1,17,1,5,0.23,male,,,,
43,43,0,3,6,0,1,0,1,0,2,3,2,0,1,4,1,1,5,18,0,5,0.548,female,,,,
44,44,0,1,1,0,0,0,1,1,0,0,0,0,1,4,3,1,5,16,0,9,0.47,female,,,,
45,45,0,1,2,0,0,0,1,0,5,1,2,1,1,3,4,0,2,30,1,6,0.964,male,,,,
46,46,0,4,1,0,0,0,0,0,4,5,2,0,0,4,1,1,4,26,1,2,0.828,male,,,,
47,47,0,3,1,0,0,0,1,0,5,3,1,1,1,3,3,1,4,29,0,7,0.705,female,,,,
48,48,0,2,3,1,0,0,1,0,0,2,0,1,1,1,1,1,2,4,1,8,0.347,male,,,,
49,49,0,3,2,0,0,0,1,0,0,2,0,1,1,2,2,1,3,18,0,8,0.713,female,,,,
50,50,1,3,2,0,1,0,0,0,4,3,1,1,1,1,3,1,4,1,1,6,0.228,male,,,,
51,51,0,2,1,1,0,0,0,1,1,2,0,1,0,3,4,1,5,20,1,9,0.53,male,,,,
52,52,0,3,5,1,0,0,1,0,5,5,0,0,0,3,1,1,5,8,1,7,0.222,male,,,,
53,53,0,3,7,0,0,0,1,1,4,4,2,1,1,2,4,1,1,8,1,8,0.671,male,,,,
54,54,0,1,6,0,0,0,0,0,5,1,0,1,1,1,1,1,2,33,0,5,0.877,female,,,,
55,55,0,2,5,0,0,0,0,0,1,3,0,0,1,1,1,1,2,25,1,5,0.331,male,,,,
56,56,0,3,4,0,1,1,1,0,1,0,1,1,1,2,1,1,2,5,1,9,0.754,male,,,,
57,57,0,4,2,0,0,0,1,0,3,4,2,1,0,2,4,1,5,17,0,5,0.748,female,,,,
58,58,0,3,1,0,0,1,1,0,0,1,2,1,1,1,4,1,4,14,0,9,0.586,female,,,,
59,59,1,4,1,0,0,0,0,0,2,5,2,1,1,4,1,1,2,21,1,5,0.52,male,,,,
60,60,0,2,6,0,0,0,0,0,3,5,2,1,0,1,4,1,3,15,0,4,0.707,female,,,,
61,61,0,2,3,1,0,1,0,0,1,3,1,0,0,4,2,1,5,3,0,4,0.613,female,,,,
62,62,0,3,7,0,0,1,1,0,0,2,2,1,1,3,4,1,4,32,1,9,0.543,male,,,,
63,63,0,1,7,1,0,0,1,0,5,5,2,0,0,2,2,0,1,2,0,4,0.57,female,,,,
64,64,0,3,1,0,0,0,0,0,0,2,1,1,1,1,2,1,5,4,1,6,0.676,male,,,,
65,65,0,4,2,0,0,0,1,0,3,1,0,1,1,4,3,1,1,22,0,5,0.301,female,,,,
66,66,0,3,5,0,0,0,1,0,0,0,2,1,1,2,3,1,1,19,1,9,0.927,male,,,,
67,67,0,1,7,0,0,0,1,0,0,4,1,0,1,4,2,1,2,3,0,5,0.923,female,,,,
68,68,0,1,5,1,0,0,1,0,2,0,1,0,1,3,3,1,3,14,1,8,0.177,male,,,,
69,69,0,3,4,1,0,0,1,0,5,0,0,1,1,1,4,1,4,2,0,9,0.893,female,,,,
70,70,1,1,7,0,0,1,1,0,4,2,0,0,0,4,1,1,1,18,0,6,0.638,female,,,,
71,71,1,3,5,1,0,0,1,0,3,0,2,1,1,4,2,1,1,8,0,9,0.897,female,,,,
72,72,0,3,7,0,0,1,1,0,4,3,0,0,1,4,2,1,1,29,0,6,0.182,female,,,,
73,73,0,2,2,0,0,0,1,1,0,2,2,1,0,1,1,0,5,33,0,5,0.371,female,,,,
74,74,1,3,5,0,0,0,0,0,3,4,1,0,1,2,4,1,5,22,1,7,0.553,male,,,,
75,75,1,3,1,0,0,0,0,0,1,1,0,0,1,2,1,1,4,25,1,7,0.624,male,,,,
76,76,0,4,6,1,0,0,1,0,5,3,2,1,0,2,2,1,1,23,1,5,0.748,male,,,,
77,77,0,3,6,0,0,0,1,0,1,0,0,1,1,2,4,0,4,15,0,8,0.382,female,,,,
78,78,0,2,1,0,0,0,1,0,4,0,1,0,1,3,1,0,2,25,0,6,0.189,female,,,,
79,79,0,4,5,0,1,1,0,0,4,5,0,0,0,3,4,0,1,14,0,6,0.546,female,,,,
80,80,1,4,4,0,0,0,0,0,1,5,2,0,1,4,4,0,2,10,0,3,0.676,female,,,,
81,81,1,3,3,1,0,1,1,0,5,5,1,1,0,2,3,0,3,5,0,7,0.742,female,,,,
82,82,0,3,6,0,0,0,1,0,4,1,1,1,1,3,4,1,2,17,1,7,0.296,male,,,,
83,83,0,1,3,0,0,0,0,0,3,4,1,1,1,4,4,1,1,20,1,5,0.12,male,,,,
84,84,1,4,6,0,1,0,1,0,3,2,0,1,1,2,3,1,5,13,1,8,0.82,male,,,,
85,85,0,4,3,0,0,0,0,0,2,1,2,1,0,2,4,1,2,27,0,4,0.47,female,,,,
86,86,0,1,1,1,0,1,0,1,3,3,0,0,1,2,4,1,4,28,1,10,0.355,male,,,,
87,87,0,4,2,0,0,1,1,0,3,0,1,0,1,3,2,1,2,9,1,6,0.728,male,,,,
88,88,1,4,1,0,0,0,1,0,2,4,1,1,0,4,4,0,2,29,0,5,0.493,female,,,,
89,89,0,4,1,0,0,0,1,0,0,4,2,0,1,2,3,1,3,14,0,6,0.65,female,,,,
90,90,0,3,2,0,0,1,0,0,5,5,0,0,1,1,2,1,5,22,1,5,0.472,male,,,,
91,91,0,1,5,1,0,0,1,0,5,4,1,0,0,4,1,0,1,10,0,4,0.927,female,,,,
92,92,0,1,7,0,0,0,1,0,1,0,2,0,1,1,3,0,2,16,0,4,0.463,female,,,,
93,93,0,2,2,0,1,1,1,0,5,2,0,0,1,2,3,1,3,6,0,8,0.704,female,,,,
94,94,0,2,2,0,0,1,1,0,0,1,1,0,1,1,1,1,2,10,0,6,0.231,female,,,,
95,95,0,2,2,0,0,0,1,1,5,3,0,0,1,3,2,1,2,28,1,7,0.163,male,,,,
96,96,1,4,7,1,0,0,1,0,5,4,2,0,1,3,1,0,1,1,0,5,0.379,female,,,,
97,97,0,4,3,0,0,0,1,0,0,2,0,0,1,1,3,1,3,12,1,5,0.197,male,,,,
98,98,0,1,5,0,0,0,1,1,1,2,2,1,1,4,3,1,1,30,1,7,0.497,male,,,,
99,99,0,2,3,0,0,0,1,0,3,3,2,0,0,3,1,0,5,25,0,3,0.359,female,,,,
100,100,0,2,4,0,0,0,0,0,3,1,2,0,1,4,2,1,3,31,0,3,0.633,female,,,,
101,101,1,1,3,1,0,0,1,0,4,0,2,0,1,2,2,1,3,20,1,8,0.596,male,,,,
102,102,1,1,1,0,0,0,1,1,5,1,1,0,1,2,2,1,2,7,1,8,0.237,male,,,,
103,103,0,1,5,1,1,0,1,0,2,2,1,1,1,3,2,1,2,32,0,9,0.974,female,,,,
104,104,0,1,5,0,0,1,1,0,1,1,0,0,1,4,2,1,5,27,1,7,0.385,male,,,,
105,105,0,2,2,0,0,0,1,0,4,0,0,0,0,4,3,1,3,28,0,5,0.888,female,,,,
106,106,0,4,2,0,0,0,1,1,0,0,1,1,1,3,4,0,1,19,0,8,0.567,female,,,,
107,107,0,4,7,0,0,0,1,0,0,3,0,0,1,1,2,1,3,6,1,5,0.55,male,,,,
108,108,0,2,2,0,1,0,1,1,5,3,0,0,1,2,3,1,3,12,1,8,0.729,male,,,,
109,109,0,2,5,0,0,0,0,0,3,5,0,0,1,3,1,0,3,18,1,5,0.799,male,,,,
110,110,0,4,6,1,0,0,1,0,3,0,2,1,1,1,3,1,4,12,1,6,0.933,male,,,,
111,111,1,1,5,0,0,0,0,0,4,4,2,0,1,4,2,1,3,25,1,5,0.164,male,,,,
112,112,0,2,4,1,0,0,0,1,4,3,1,1,1,4,4,1,5,16,1,7,0.932,male,,,,
113,113,0,3,4,1,1,0,1,0,2,3,2,1,1,4,1,1,2,24,1,7,0.882,male,,,,
114,114,0,2,4,0,1,1,1,0,0,4,2,0,1,2,1,1,1,30,1,8,0.975,male,,,,
115,115,1,2,6,0,0,0,0,0,3,3,0,0,1,1,1,1,5,26,0,5,0.206,female,,,,
116,116,1,3,3,0,0,0,0,1,0,4,0,0,1,3,4,1,5,31,0,9,0.11,female,,,,
117,117,1,1,4,0,0,0,1,0,3,4,1,0,1,2,1,0,5,27,0,5,0.101,female,,,,
118,118,0,4,1,0,1,0,0,0,1,2,1,0,1,2,4,1,5,17,0,6,0.978,female,,,,
119,119,0,4,5,0,1,0,0,0,1,1,1,1,1,1,2,1,5,16,0,5,0.26,female,,,,
120,120,0,4,1,0,0,0,1,0,4,0,0,1,1,2,1,1,1,30,1,8,0.112,male,,,,
121,121,1,1,5,0,0,0,1,0,1,5,1,1,0,3,4,0,5,5,1,7,0.634,male,,,,
122,122,0,3,4,0,0,0,1,0,5,5,2,1,1,2,1,0,4,11,0,5,0.556,female,,,,
123,123,0,3,1,1,0,0,1,0,1,4,0,0,0,2,1,1,4,20,1,7,0.199,male,,,,
124,124,0,2,7,0,0,0,1,0,5,0,1,1,0,3,1,1,5,29,1,6,0.335,male,,,,
125,125,1,4,1,0,0,0,1,0,3,3,1,0,1,1,1,1,2,6,0,5,0.947,female,,,,
126,126,1,3,4,0,0,0,1,0,5,0,1,1,0,1,4,1,4,32,0,7,0.892,female,,,,
127,127,1,3,3,0,0,0,1,0,1,3,1,0,1,4,1,1,5,25,0,5,0.928,female,,,,
128,128,1,3,7,0,0,0,1,0,2,5,2,1,1,3,4,1,1,25,1,8,0.129,male,,,,
129,129,1,1,6,0,0,0,1,0,5,2,2,0,1,4,4,1,1,30,1,6,0.11,male,,,,
130,130,0,1,7,0,0,0,1,0,1,5,1,0,1,3,4,1,4,16,1,6,0.654,male,,,,
131,131,0,1,5,0,0,0,1,0,5,5,2,1,0,1,3,1,3,22,1,5,0.151,male,,,,
132,132,0,1,5,0,0,0,1,0,5,5,0,1,1,1,4,1,1,11,0,8,0.907,female,,,,
133,133,0,4,6,0,1,0,1,0,5,4,0,0,1,1,3,0,1,24,1,4,0.421,male,,,,
134,134,0,2,1,0,0,1,1,0,1,2,0,1,1,3,3,1,4,3,1,9,0.212,male,,,,
135,135,0,1,4,1,0,0,1,0,4,1,0,1,1,2,3,0,4,14,1,7,0.866,male,,,,
136,136,0,3,1,0,0,1,1,1,5,4,1,0,1,4,3,1,3,10,1,7,0.562,male,,,,
137,137,0,1,3,0,0,0,1,0,3,2,2,1,1,3,3,0,1,29,0,5,0.312,female,,,,
138,138,0,3,7,1,0,0,0,0,2,0,1,0,1,1,3,0,5,1,0,4,0.115,female,,,,
139,139,1,2,3,0,0,0,0,0,3,3,0,0,0,3,4,0,5,25,0,5,0.382,female,,,,
140,140,0,3,5,0,0,0,1,0,0,2,1,0,1,2,2,1,4,13,1,7,0.801,male,,,,
141,141,0,2,5,0,0,0,0,0,4,2,1,0,1,1,4,0,4,32,0,4,0.687,female,,,,
142,142,0,3,7,1,1,1,1,0,0,2,1,1,0,3,4,1,1,12,1,10,0.481,male,,,,
143,143,0,2,5,0,0,0,1,0,3,4,0,0,1,4,2,1,1,32,1,6,0.124,male,,,,
144,144,0,2,5,1,0,0,0,0,3,0,1,1,1,3,1,1,1,19,1,8,0.152,male,,,,
145,145,0,3,3,1,0,0,0,0,3,2,0,0,0,3,3,0,2,17,0,4,0.804,female,,,,
146,146,0,1,6,0,1,0,1,0,3,1,0,0,1,1,4,1,5,6,1,7,0.39,male,,,,
147,147,0,4,2,0,0,1,0,0,5,5,2,1,1,2,3,1,3,28,0,5,0.897,female,,,,
148,148,0,4,6,0,0,0,1,0,0,3,2,0,1,1,2,1,4,15,1,4,0.621,male,,,,
149,149,0,1,7,0,1,1,0,0,3,5,0,0,1,4,3,1,2,24,0,6,0.331,female,,,,
150,150,1,1,6,0,0,0,1,0,1,4,1,0,1,2,3,0,2,25,0,5,0.632,female,,,,
151,151,0,1,1,0,0,0,1,0,3,5,0,1,1,2,1,1,1,4,0,8,0.845,female,,,,
152,152,0,3,2,0,0,1,1,0,3,3,2,1,1,1,2,1,4,11,1,6,0.86,male,,,,
153,153,0,1,4,0,0,0,0,0,4,5,0,0,1,4,1,1,3,21,0,4,0.24,female,,,,
154,154,0,4,3,1,0,0,1,0,3,2,0,0,1,4,3,1,3,33,0,5,0.44,female,,,,
155,155,0,3,3,1,0,0,0,0,3,0,1,1,1,4,4,1,3,22,1,7,0.951,male,,,,
156,156,0,2,7,0,1,0,1,0,4,3,0,0,1,1,1,1,4,2,0,6,0.774,female,,,,
157,157,1,2,4,0,0,0,1,1,0,3,0,1,1,1,3,0,4,20,1,8,0.691,male,,,,
158,158,0,2,7,1,0,0,1,0,2,3,2,0,1,3,2,1,3,19,0,6,0.24,female,,,,
159,159,0,4,2,0,0,0,1,0,2,3,2,0,0,4,3,1,2,12,1,2,0.254,male,,,,
160,160,1,2,2,0,1,0,1,0,5,0,0,1,1,3,1,1,5,5,1,10,0.203,male,,,,
161,161,0,4,1,0,0,0,1,0,2,2,1,1,1,4,4,1,5,24,0,6,0.59,female,,,,
162,162,0,2,7,0,0,0,0,0,5,3,1,1,1,3,4,1,1,29,1,6,0.283,male,,,,
163,163,0,4,7,0,1,0,1,0,2,5,1,0,0,1,3,1,2,9,0,3,0.871,female,,,,
164,164,0,3,2,1,0,1,1,1,3,3,0,1,1,1,2,1,4,12,0,9,0.862,female,,,,
165,165,0,2,2,0,0,1,1,0,5,4,0,1,1,2,2,0,3,11,0,7,0.45,female,,,,
166,166,0,1,2,0,0,0,0,0,5,3,2,1,1,1,1,1,4,8,1,4,0.317,male,,,,
167,167,0,4,6,1,0,0,0,1,4,3,0,1,1,4,3,0,2,26,1,5,0.177,male,,,,
168,168,1,3,4,0,0,0,1,0,2,5,2,0,1,4,3,1,1,10,1,5,0.69,male,,,,
169,169,1,1,7,0,0,0,1,0,2,2,1,1,0,1,3,1,1,7,1,5,0.53,male,,,,
170,170,0,2,2,1,0,0,1,0,4,3,2,1,1,3,1,0,4,19,0,6,0.368,female,,,,
171,171,0,1,6,0,0,0,1,0,3,2,2,1,0,4,4,1,4,20,1,5,0.96,male,,,,
172,172,0,1,2,0,1,0,1,1,4,4,2,0,1,2,1,1,5,9,1,7,0.148,male,,,,
173,173,0,2,1,0,1,0,1,0,5,4,1,0,1,4,3,0,5,4,1,5,0.313,male,,,,
174,174,1,4,6,1,0,0,1,0,5,4,0,1,1,4,3,1,4,16,0,7,0.583,female,,,,
175,175,0,2,5,0,0,0,1,0,4,0,1,0,1,1,4,1,5,20,0,7,0.726,female,,,,
176,176,0,3,5,0,0,0,0,0,2,3,1,1,1,1,3,1,2,26,0,5,0.967,female,,,,
177,177,0,4,5,0,0,0,1,1,0,2,2,1,1,3,1,1,2,20,1,8,0.629,male,,,,
178,178,0,3,4,0,0,0,1,0,4,0,2,1,1,4,3,1,4,23,1,6,0.385,male,,,,
179,179,0,4,6,0,0,0,1,1,3,0,1,0,1,2,3,0,3,10,0,5,0.956,female,,,,
180,180,0,4,7,0,0,0,1,0,0,5,2,0,1,4,4,1,2,28,0,5,0.699,female,,,,
181,181,0,2,6,1,0,0,1,1,4,3,1,0,1,4,1,1,2,21,0,6,0.343,female,,,,
182,182,0,3,3,0,0,0,1,0,3,0,1,1,1,4,2,1,4,3,0,6,0.996,female,,,,
183,183,0,3,3,0,0,1,1,0,1,3,2,0,1,2,3,1,4,2,1,6,0.77,male,,,,
184,184,0,4,1,0,0,1,1,0,0,1,2,1,0,1,3,1,3,30,0,6,0.14,female,,,,
185,185,1,2,2,1,0,1,1,0,1,1,2,1,1,3,1,1,4,12,0,9,0.2,female,,,,
186,186,0,4,1,0,0,1,0,0,5,0,2,1,0,2,1,1,5,25,1,6,0.56,male,,,,
187,187,1,2,7,0,0,1,1,0,0,3,0,1,1,4,4,1,3,29,1,10,0.554,male,,,,
188,188,1,2,6,1,0,0,0,0,5,2,1,1,1,2,4,0,4,6,1,7,0.186,male,,,,
189,189,0,4,7,0,0,1,1,0,4,2,0,1,1,2,4,1,1,1,1,8,0.366,male,,,,
190,190,0,1,2,0,0,0,1,0,1,0,1,0,1,2,4,0,5,14,0,6,0.289,female,,,,
191,191,0,1,3,0,0,0,1,0,0,2,1,0,1,1,4,1,5,23,1,6,0.341,male,,,,
192,192,1,4,2,0,0,0,0,0,4,3,0,0,1,2,3,1,5,15,0,5,0.596,female,,,,
193,193,0,3,4,0,1,0,1,0,5,4,0,0,1,3,1,0,1,32,1,6,0.108,male,,,,
194,194,0,3,3,0,0,1,1,0,1,5,2,1,1,4,3,0,2,33,0,5,0.63,female,,,,
195,195,0,2,7,0,0,0,1,0,5,1,2,0,1,4,2,0,3,21,0,3,0.634,female,,,,
196,196,0,2,2,1,0,0,1,0,5,0,2,1,1,2,3,1,1,10,1,8,0.655,male,,,,
197,197,0,1,5,0,0,0,0,0,2,3,1,0,1,3,4,1,3,3,1,6,0.05,male,,,,
198,198,1,2,7,1,0,0,1,0,1,0,1,1,1,3,4,1,5,9,0,10,0.237,female,,,,
199,199,1,2,2,0,0,0,0,0,0,4,0,1,1,1,1,1,1,7,1,7,0.8,male,,,,
200,200,0,3,1,0,0,0,1,0,5,1,1,1,1,1,3,1,5,27,1,6,0.99,male,,,,
201,201,0,4,4,1,0,1,1,0,4,3,1,1,1,2,2,1,1,26,1,7,0.377,male,,,,
202,202,0,4,5,0,1,1,0,0,4,4,0,0,0,3,3,1,3,14,1,6,0.743,male,,,,
203,203,0,4,1,0,0,1,1,0,1,0,2,1,1,3,1,0,5,6,1,7,0.598,male,,,,
204,204,0,1,6,0,1,1,1,0,4,4,1,1,0,3,4,1,4,2,0,8,0.44,female,,,,
205,205,0,3,5,0,1,1,1,0,4,3,1,0,1,4,1,1,5,9,0,7,0.194,female,,,,
206,206,0,4,3,0,1,0,1,1,0,0,0,0,0,1,4,1,1,24,1,8,0.929,male,,,,
207,207,0,3,7,0,0,0,1,0,1,4,0,0,1,3,3,0,1,4,0,5,0.248,female,,,,
208,208,0,1,6,0,0,0,1,1,5,0,0,0,0,2,4,1,5,9,1,8,0.78,male,,,,
209,209,0,4,6,1,0,0,1,0,5,2,1,1,1,4,3,1,5,28,1,5,0.91,male,,,,
210,210,0,4,3,1,0,0,1,0,4,5,0,1,1,4,4,1,2,33,1,7,0.962,male,,,,
211,211,0,1,4,0,0,0,0,0,4,2,0,1,1,1,4,1,3,20,0,6,0.569,female,,,,
212,212,1,2,4,0,0,0,1,0,0,1,0,0,1,3,2,1,5,29,0,8,0.219,female,,,,
213,213,0,3,5,0,0,0,0,1,5,2,2,1,0,4,2,0,1,29,0,4,0.895,female,,,,
214,214,0,4,2,1,0,0,1,0,2,5,2,0,1,4,1,1,4,12,0,4,0.646,female,,,,
215,215,0,2,6,0,0,0,0,0,3,4,0,1,1,4,2,1,1,13,1,5,0.736,male,,,,
216,216,0,2,3,0,0,1,1,0,3,5,2,1,1,2,4,1,1,24,0,8,0.174,female,,,,
217,217,1,1,3,0,0,0,1,0,4,2,1,0,1,2,3,1,3,33,0,6,0.83,female,,,,
218,218,0,2,1,0,0,0,1,0,1,5,0,1,1,3,2,1,3,17,1,8,0.564,male,,,,
219,219,0,2,2,0,0,0,1,0,4,1,1,0,1,2,4,1,5,3,0,6,0.737,female,,,,
220,220,0,2,4,0,0,0,1,0,0,2,0,1,1,3,1,1,4,24,1,8,0.151,male,,,,
221,221,0,4,5,0,0,0,1,0,3,4,2,1,1,2,2,1,1,30,1,6,0.686,male,,,,
222,222,0,1,1,0,1,0,1,0,2,2,1,1,0,2,4,1,5,13,1,8,0.292,male,,,,
223,223,0,3,2,0,0,0,0,0,0,0,0,1,1,3,1,1,2,24,0,8,0.303,female,,,,
224,224,1,4,4,0,1,0,0,0,3,1,0,1,1,3,4,1,3,6,1,8,0.854,male,,,,
225,225,0,1,7,0,0,0,1,0,3,3,0,1,1,3,3,1,3,16,1,7,0.408,male,,,,
226,226,1,4,3,0,0,0,1,0,4,4,0,1,1,1,2,1,4,7,0,6,0.882,female,,,,
227,227,0,4,3,0,0,1,1,0,5,1,0,1,1,1,3,0,3,28,0,5,0.301,female,,,,
228,228,0,1,7,0,0,0,1,0,5,3,2,1,1,1,3,1,3,30,0,5,0.658,female,,,,
229,229,0,2,7,0,0,0,1,0,2,0,2,1,1,1,3,1,2,25,1,6,0.656,male,,,,
230,230,0,1,6,1,1,0,1,0,0,3,2,1,0,4,4,1,5,10,1,8,0.37,male,,,,
231,231,0,2,2,0,1,0,1,0,2,2,1,1,1,3,3,1,3,11,0,7,0.293,female,,,,
232,232,0,1,4,0,0,0,1,0,1,2,2,1,1,1,1,1,4,19,1,5,0.281,male,,,,
233,233,0,3,3,1,0,0,1,0,4,5,2,0,1,2,1,1,1,31,0,6,0.651,female,,,,
234,234,0,4,5,1,0,0,1,0,5,2,2,1,0,3,3,0,2,5,1,5,0.994,male,,,,
235,235,1,1,7,0,0,1,1,0,1,3,1,1,1,3,4,1,2,28,1,9,0.26,male,,,,
236,236,0,2,2,0,0,0,1,1,4,4,2,1,0,4,2,1,2,28,0,5,0.237,female,,,,
237,237,1,2,4,0,0,0,1,0,5,3,2,1,0,3,3,1,5,6,0,6,0.604,female,,,,
238,238,0,2,1,0,0,0,1,1,4,5,1,0,1,1,1,1,3,9,0,6,0.107,female,,,,
239,239,0,4,6,0,0,0,1,0,3,2,2,0,1,2,3,1,3,1,1,4,0.98,male,,,,
240,240,0,3,5,0,0,0,0,0,3,1,2,1,1,3,2,1,2,30,1,6,0.535,male,,,,
241,241,0,4,5,0,0,0,0,0,1,5,0,1,1,1,2,1,3,27,0,5,0.551,female,,,,
242,242,0,2,6,0,0,0,1,0,4,3,2,1,0,3,2,1,1,1,0,5,0.999,female,,,,
243,243,1,2,2,0,0,1,1,0,4,1,0,1,1,1,2,1,1,4,1,8,0.562,male,,,,
244,244,0,3,4,1,0,0,1,0,0,4,1,1,1,2,2,1,4,9,1,8,0.415,male,,,,
245,245,0,2,7,0,0,0,1,0,2,4,2,1,1,2,4,1,2,14,1,7,0.76,male,,,,
246,246,0,1,6,1,0,0,1,0,0,5,2,1,0,4,4,1,3,29,1,7,0.514,male,,,,
247,247,0,1,4,0,1,0,1,0,1,4,0,0,0,1,2,0,3,9,0,4,0.824,female,,,,
248,248,0,4,3,0,0,1,1,0,4,2,0,0,1,1,3,0,5,25,1,4,0.599,male,,,,
249,249,0,3,7,0,1,0,0,1,3,5,1,1,1,1,1,0,5,33,0,5,0.6,female,,,,
250,250,1,3,1,0,0,0,1,0,5,2,2,0,1,1,4,1,1,21,0,7,0.669,female,,,,
251,251,0,4,6,1,0,0,0,0,5,4,0,1,1,4,2,0,4,32,1,4,0.369,male,,,,
252,252,0,2,2,0,0,0,1,0,2,3,1,1,1,1,3,1,5,5,0,5,0.687,female,,,,
