,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,lable (y),prince_o,gender_data,district_data,age,social_catagory,school_wise_data
159,0,4,2,0,0,0,1,0,2,3,2,0,0,4,3,1,2,12,1,2,0.254,male,,6-8 year,,
160,1,2,2,0,1,0,1,0,5,0,0,1,1,3,1,1,5,5,1,10,0.203,male,,14-18 year,,
161,0,4,1,0,0,0,1,0,2,2,1,1,1,4,4,1,5,24,0,6,0.59,female,,14-18 year,,
162,0,2,7,0,0,0,0,0,5,3,1,1,1,3,4,1,1,29,1,6,0.283,male,,3-6 year,,
163,0,4,7,0,1,0,1,0,2,5,1,0,0,1,3,1,2,9,0,3,0.871,female,,6-8 year,,
164,0,3,2,1,0,1,1,1,3,3,0,1,1,1,2,1,4,12,0,9,0.862,female,,11-14 year,,
165,0,2,2,0,0,1,1,0,5,4,0,1,1,2,2,0,3,11,0,7,0.45,female,,8-11 year,,
166,0,1,2,0,0,0,0,0,5,3,2,1,1,1,1,1,4,8,1,4,0.317,male,,11-14 year,,
167,0,4,6,1,0,0,0,1,4,3,0,1,1,4,3,0,2,26,1,5,0.177,male,,6-8 year,,
168,1,3,4,0,0,0,1,0,2,5,2,0,1,4,3,1,1,10,1,5,0.69,male,,3-6 year,,
169,1,1,7,0,0,0,1,0,2,2,1,1,0,1,3,1,1,7,1,5,0.53,male,,3-6 year,,
170,0,2,2,1,0,0,1,0,4,3,2,1,1,3,1,0,4,19,0,6,0.368,female,,11-14 year,,
171,0,1,6,0,0,0,1,0,3,2,2,1,0,4,4,1,4,20,1,5,0.96,male,,11-14 year,,
172,0,1,2,0,1,0,1,1,4,4,2,0,1,2,1,1,5,9,1,7,0.148,male,,14-18 year,,
173,0,2,1,0,1,0,1,0,5,4,1,0,1,4,3,0,5,4,1,5,0.313,male,,14-18 year,,
174,1,4,6,1,0,0,1,0,5,4,0,1,1,4,3,1,4,16,0,7,0.583,female,,11-14 year,,
175,0,2,5,0,0,0,1,0,4,0,1,0,1,1,4,1,5,20,0,7,0.726,female,,14-18 year,,
176,0,3,5,0,0,0,0,0,2,3,1,1,1,1,3,1,2,26,0,5,0.967,female,,6-8 year,,
177,0,4,5,0,0,0,1,1,0,2,2,1,1,3,1,1,2,20,1,8,0.629,male,,6-8 year,,
178,0,3,4,0,0,0,1,0,4,0,2,1,1,4,3,1,4,23,1,6,0.385,male,,11-14 year,,
179,0,4,6,0,0,0,1,1,3,0,1,0,1,2,3,0,3,10,0,5,0.956,female,,8-11 year,,
180,0,4,7,0,0,0,1,0,0,5,2,0,1,4,4,1,2,28,0,5,0.699,female,,6-8 year,,
181,0,2,6,1,0,0,1,1,4,3,1,0,1,4,1,1,2,21,0,6,0.343,female,,6-8 year,,
182,0,3,3,0,0,0,1,0,3,0,1,1,1,4,2,1,4,3,0,6,0.996,female,,11-14 year,,
183,0,3,3,0,0,1,1,0,1,3,2,0,1,2,3,1,4,2,1,6,0.77,male,,11-14 year,,
184,0,4,1,0,0,1,1,0,0,1,2,1,0,1,3,1,3,30,0,6,0.14,female,,8-11 year,,
185,1,2,2,1,0,1,1,0,1,1,2,1,1,3,1,1,4,12,0,9,0.2,female,,11-14 year,,
186,0,4,1,0,0,1,0,0,5,0,2,1,0,2,1,1,5,25,1,6,0.56,male,,14-18 year,,
187,1,2,7,0,0,1,1,0,0,3,0,1,1,4,4,1,3,29,1,10,0.554,male,,8-11 year,,
188,1,2,6,1,0,0,0,0,5,2,1,1,1,2,4,0,4,6,1,7,0.186,male,,11-14 year,,
189,0,4,7,0,0,1,1,0,4,2,0,1,1,2,4,1,1,1,1,8,0.366,male,,3-6 year,,
190,0,1,2,0,0,0,1,0,1,0,1,0,1,2,4,0,5,14,0,6,0.289,female,,14-18 year,,
191,0,1,3,0,0,0,1,0,0,2,1,0,1,1,4,1,5,23,1,6,0.341,male,,14-18 year,,
192,1,4,2,0,0,0,0,0,4,3,0,0,1,2,3,1,5,15,0,5,0.596,female,,14-18 year,,
193,0,3,4,0,1,0,1,0,5,4,0,0,1,3,1,0,1,32,1,6,0.108,male,,3-6 year,,
194,0,3,3,0,0,1,1,0,1,5,2,1,1,4,3,0,2,33,0,5,0.63,female,,6-8 year,,
195,0,2,7,0,0,0,1,0,5,1,2,0,1,4,2,0,3,21,0,3,0.634,female,,8-11 year,,
196,0,2,2,1,0,0,1,0,5,0,2,1,1,2,3,1,1,10,1,8,0.655,male,,3-6 year,,
197,0,1,5,0,0,0,0,0,2,3,1,0,1,3,4,1,3,3,1,6,0.05,male,,8-11 year,,
198,1,2,7,1,0,0,1,0,1,0,1,1,1,3,4,1,5,9,0,10,0.237,female,,14-18 year,,
199,1,2,2,0,0,0,0,0,0,4,0,1,1,1,1,1,1,7,1,7,0.8,male,,3-6 year,,
200,0,3,1,0,0,0,1,0,5,1,1,1,1,1,3,1,5,27,1,6,0.99,male,,14-18 year,,
201,0,4,4,1,0,1,1,0,4,3,1,1,1,2,2,1,1,26,1,7,0.377,male,,3-6 year,,
202,0,4,5,0,1,1,0,0,4,4,0,0,0,3,3,1,3,14,1,6,0.743,male,,8-11 year,,
203,0,4,1,0,0,1,1,0,1,0,2,1,1,3,1,0,5,6,1,7,0.598,male,,14-18 year,,
204,0,1,6,0,1,1,1,0,4,4,1,1,0,3,4,1,4,2,0,8,0.44,female,,11-14 year,,
205,0,3,5,0,1,1,1,0,4,3,1,0,1,4,1,1,5,9,0,7,0.194,female,,14-18 year,,
206,0,4,3,0,1,0,1,1,0,0,0,0,0,1,4,1,1,24,1,8,0.929,male,,3-6 year,,
207,0,3,7,0,0,0,1,0,1,4,0,0,1,3,3,0,1,4,0,5,0.248,female,,3-6 year,,
208,0,1,6,0,0,0,1,1,5,0,0,0,0,2,4,1,5,9,1,8,0.78,male,,14-18 year,,
209,0,4,6,1,0,0,1,0,5,2,1,1,1,4,3,1,5,28,1,5,0.91,male,,14-18 year,,
210,0,4,3,1,0,0,1,0,4,5,0,1,1,4,4,1,2,33,1,7,0.962,male,,6-8 year,,
211,0,1,4,0,0,0,0,0,4,2,0,1,1,1,4,1,3,20,0,6,0.569,female,,8-11 year,,
212,1,2,4,0,0,0,1,0,0,1,0,0,1,3,2,1,5,29,0,8,0.219,female,,14-18 year,,
213,0,3,5,0,0,0,0,1,5,2,2,1,0,4,2,0,1,29,0,4,0.895,female,,3-6 year,,
214,0,4,2,1,0,0,1,0,2,5,2,0,1,4,1,1,4,12,0,4,0.646,female,,11-14 year,,
215,0,2,6,0,0,0,0,0,3,4,0,1,1,4,2,1,1,13,1,5,0.736,male,,3-6 year,,
216,0,2,3,0,0,1,1,0,3,5,2,1,1,2,4,1,1,24,0,8,0.174,female,,3-6 year,,
217,1,1,3,0,0,0,1,0,4,2,1,0,1,2,3,1,3,33,0,6,0.83,female,,8-11 year,,
218,0,2,1,0,0,0,1,0,1,5,0,1,1,3,2,1,3,17,1,8,0.564,male,,8-11 year,,
219,0,2,2,0,0,0,1,0,4,1,1,0,1,2,4,1,5,3,0,6,0.737,female,,14-18 year,,
220,0,2,4,0,0,0,1,0,0,2,0,1,1,3,1,1,4,24,1,8,0.151,male,,11-14 year,,
221,0,4,5,0,0,0,1,0,3,4,2,1,1,2,2,1,1,30,1,6,0.686,male,,3-6 year,,
222,0,1,1,0,1,0,1,0,2,2,1,1,0,2,4,1,5,13,1,8,0.292,male,,14-18 year,,
223,0,3,2,0,0,0,0,0,0,0,0,1,1,3,1,1,2,24,0,8,0.303,female,,6-8 year,,
224,1,4,4,0,1,0,0,0,3,1,0,1,1,3,4,1,3,6,1,8,0.854,male,,8-11 year,,
225,0,1,7,0,0,0,1,0,3,3,0,1,1,3,3,1,3,16,1,7,0.408,male,,8-11 year,,
226,1,4,3,0,0,0,1,0,4,4,0,1,1,1,2,1,4,7,0,6,0.882,female,,11-14 year,,
227,0,4,3,0,0,1,1,0,5,1,0,1,1,1,3,0,3,28,0,5,0.301,female,,8-11 year,,
228,0,1,7,0,0,0,1,0,5,3,2,1,1,1,3,1,3,30,0,5,0.658,female,,8-11 year,,
229,0,2,7,0,0,0,1,0,2,0,2,1,1,1,3,1,2,25,1,6,0.656,male,,6-8 year,,
230,0,1,6,1,1,0,1,0,0,3,2,1,0,4,4,1,5,10,1,8,0.37,male,,14-18 year,,
231,0,2,2,0,1,0,1,0,2,2,1,1,1,3,3,1,3,11,0,7,0.293,female,,8-11 year,,
232,0,1,4,0,0,0,1,0,1,2,2,1,1,1,1,1,4,19,1,5,0.281,male,,11-14 year,,
233,0,3,3,1,0,0,1,0,4,5,2,0,1,2,1,1,1,31,0,6,0.651,female,,3-6 year,,
234,0,4,5,1,0,0,1,0,5,2,2,1,0,3,3,0,2,5,1,5,0.994,male,,6-8 year,,
235,1,1,7,0,0,1,1,0,1,3,1,1,1,3,4,1,2,28,1,9,0.26,male,,6-8 year,,
236,0,2,2,0,0,0,1,1,4,4,2,1,0,4,2,1,2,28,0,5,0.237,female,,6-8 year,,
237,1,2,4,0,0,0,1,0,5,3,2,1,0,3,3,1,5,6,0,6,0.604,female,,14-18 year,,
238,0,2,1,0,0,0,1,1,4,5,1,0,1,1,1,1,3,9,0,6,0.107,female,,8-11 year,,
239,0,4,6,0,0,0,1,0,3,2,2,0,1,2,3,1,3,1,1,4,0.98,male,,8-11 year,,
