,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,label,dropout
64,0,3,1,0,0,0,0,0,0,2,1,1,1,1,2,1,,,,,
65,0,4,2,0,0,0,1,0,3,1,0,1,1,4,3,1,,,,,
66,0,3,5,0,0,0,1,0,0,0,2,1,1,2,3,1,,,,,
67,0,1,7,0,0,0,1,0,0,4,1,0,1,4,2,1,,,,,
68,0,1,5,1,0,0,1,0,2,0,1,0,1,3,3,1,,,,,
69,0,3,4,1,0,0,1,0,5,0,0,1,1,1,4,1,,,,,
70,1,1,7,0,0,1,1,0,4,2,0,0,0,4,1,1,,,,,
71,1,3,5,1,0,0,1,0,3,0,2,1,1,4,2,1,,,,,
72,0,3,7,0,0,1,1,0,4,3,0,0,1,4,2,1,,,,,
73,0,2,2,0,0,0,1,1,0,2,2,1,0,1,1,0,,,,,
74,1,3,5,0,0,0,0,0,3,4,1,0,1,2,4,1,,,,,
75,1,3,1,0,0,0,0,0,1,1,0,0,1,2,1,1,,,,,
76,0,4,6,1,0,0,1,0,5,3,2,1,0,2,2,1,,,,,
77,0,3,6,0,0,0,1,0,1,0,0,1,1,2,4,0,,,,,
78,0,2,1,0,0,0,1,0,4,0,1,0,1,3,1,0,,,,,
79,0,4,5,0,1,1,0,0,4,5,0,0,0,3,4,0,,,,,
80,1,4,4,0,0,0,0,0,1,5,2,0,1,4,4,0,,,,,
81,1,3,3,1,0,1,1,0,5,5,1,1,0,2,3,0,,,,,
82,0,3,6,0,0,0,1,0,4,1,1,1,1,3,4,1,,,,,
83,0,1,3,0,0,0,0,0,3,4,1,1,1,4,4,1,,,,,
84,1,4,6,0,1,0,1,0,3,2,0,1,1,2,3,1,,,,,
85,0,4,3,0,0,0,0,0,2,1,2,1,0,2,4,1,,,,,
86,0,1,1,1,0,1,0,1,3,3,0,0,1,2,4,1,,,,,
87,0,4,2,0,0,1,1,0,3,0,1,0,1,3,2,1,,,,,
88,1,4,1,0,0,0,1,0,2,4,1,1,0,4,4,0,,,,,
89,0,4,1,0,0,0,1,0,0,4,2,0,1,2,3,1,,,,,
90,0,3,2,0,0,1,0,0,5,5,0,0,1,1,2,1,,,,,
91,0,1,5,1,0,0,1,0,5,4,1,0,0,4,1,0,,,,,
92,0,1,7,0,0,0,1,0,1,0,2,0,1,1,3,0,,,,,
93,0,2,2,0,1,1,1,0,5,2,0,0,1,2,3,1,,,,,
94,0,2,2,0,0,1,1,0,0,1,1,0,1,1,1,1,,,,,
95,0,2,2,0,0,0,1,1,5,3,0,0,1,3,2,1,,,,,
96,1,4,7,1,0,0,1,0,5,4,2,0,1,3,1,0,,,,,
97,0,4,3,0,0,0,1,0,0,2,0,0,1,1,3,1,,,,,
98,0,1,5,0,0,0,1,1,1,2,2,1,1,4,3,1,,,,,
99,0,2,3,0,0,0,1,0,3,3,2,0,0,3,1,0,,,,,
100,0,2,4,0,0,0,0,0,3,1,2,0,1,4,2,1,,,,,
101,1,1,3,1,0,0,1,0,4,0,2,0,1,2,2,1,,,,,
102,1,1,1,0,0,0,1,1,5,1,1,0,1,2,2,1,,,,,
103,0,1,5,1,1,0,1,0,2,2,1,1,1,3,2,1,,,,,
104,0,1,5,0,0,1,1,0,1,1,0,0,1,4,2,1,,,,,
105,0,2,2,0,0,0,1,0,4,0,0,0,0,4,3,1,,,,,
106,0,4,2,0,0,0,1,1,0,0,1,1,1,3,4,0,,,,,
107,0,4,7,0,0,0,1,0,0,3,0,0,1,1,2,1,,,,,
108,0,2,2,0,1,0,1,1,5,3,0,0,1,2,3,1,,,,,
109,0,2,5,0,0,0,0,0,3,5,0,0,1,3,1,0,,,,,
110,0,4,6,1,0,0,1,0,3,0,2,1,1,1,3,1,,,,,
111,1,1,5,0,0,0,0,0,4,4,2,0,1,4,2,1,,,,,
112,0,2,4,1,0,0,0,1,4,3,1,1,1,4,4,1,,,,,
113,0,3,4,1,1,0,1,0,2,3,2,1,1,4,1,1,,,,,
114,0,2,4,0,1,1,1,0,0,4,2,0,1,2,1,1,,,,,
115,1,2,6,0,0,0,0,0,3,3,0,0,1,1,1,1,,,,,
116,1,3,3,0,0,0,0,1,0,4,0,0,1,3,4,1,,,,,
117,1,1,4,0,0,0,1,0,3,4,1,0,1,2,1,0,,,,,
118,0,4,1,0,1,0,0,0,1,2,1,0,1,2,4,1,,,,,
119,0,4,5,0,1,0,0,0,1,1,1,1,1,1,2,1,,,,,
120,0,4,1,0,0,0,1,0,4,0,0,1,1,2,1,1,,,,,
121,1,1,5,0,0,0,1,0,1,5,1,1,0,3,4,0,,,,,
122,0,3,4,0,0,0,1,0,5,5,2,1,1,2,1,0,,,,,
123,0,3,1,1,0,0,1,0,1,4,0,0,0,2,1,1,,,,,
124,0,2,7,0,0,0,1,0,5,0,1,1,0,3,1,1,,,,,
125,1,4,1,0,0,0,1,0,3,3,1,0,1,1,1,1,,,,,
126,1,3,4,0,0,0,1,0,5,0,1,1,0,1,4,1,,,,,
127,1,3,3,0,0,0,1,0,1,3,1,0,1,4,1,1,,,,,
128,1,3,7,0,0,0,1,0,2,5,2,1,1,3,4,1,,,,,
129,1,1,6,0,0,0,1,0,5,2,2,0,1,4,4,1,,,,,
130,0,1,7,0,0,0,1,0,1,5,1,0,1,3,4,1,,,,,
131,0,1,5,0,0,0,1,0,5,5,2,1,0,1,3,1,,,,,
132,0,1,5,0,0,0,1,0,5,5,0,1,1,1,4,1,,,,,
133,0,4,6,0,1,0,1,0,5,4,0,0,1,1,3,0,,,,,
134,0,2,1,0,0,1,1,0,1,2,0,1,1,3,3,1,,,,,
135,0,1,4,1,0,0,1,0,4,1,0,1,1,2,3,0,,,,,
136,0,3,1,0,0,1,1,1,5,4,1,0,1,4,3,1,,,,,
137,0,1,3,0,0,0,1,0,3,2,2,1,1,3,3,0,,,,,
138,0,3,7,1,0,0,0,0,2,0,1,0,1,1,3,0,,,,,
139,1,2,3,0,0,0,0,0,3,3,0,0,0,3,4,0,,,,,
140,0,3,5,0,0,0,1,0,0,2,1,0,1,2,2,1,,,,,
141,0,2,5,0,0,0,0,0,4,2,1,0,1,1,4,0,,,,,
142,0,3,7,1,1,1,1,0,0,2,1,1,0,3,4,1,,,,,
143,0,2,5,0,0,0,1,0,3,4,0,0,1,4,2,1,,,,,
144,0,2,5,1,0,0,0,0,3,0,1,1,1,3,1,1,,,,,
145,0,3,3,1,0,0,0,0,3,2,0,0,0,3,3,0,,,,,
146,0,1,6,0,1,0,1,0,3,1,0,0,1,1,4,1,,,,,
147,0,4,2,0,0,1,0,0,5,5,2,1,1,2,3,1,,,,,
148,0,4,6,0,0,0,1,0,0,3,2,0,1,1,2,1,,,,,
149,0,1,7,0,1,1,0,0,3,5,0,0,1,4,3,1,,,,,
150,1,1,6,0,0,0,1,0,1,4,1,0,1,2,3,0,,,,,
151,0,1,1,0,0,0,1,0,3,5,0,1,1,2,1,1,,,,,
152,0,3,2,0,0,1,1,0,3,3,2,1,1,1,2,1,,,,,
153,0,1,4,0,0,0,0,0,4,5,0,0,1,4,1,1,,,,,
154,0,4,3,1,0,0,1,0,3,2,0,0,1,4,3,1,,,,,
155,0,3,3,1,0,0,0,0,3,0,1,1,1,4,4,1,,,,,
156,0,2,7,0,1,0,1,0,4,3,0,0,1,1,1,1,,,,,
157,1,2,4,0,0,0,1,1,0,3,0,1,1,1,3,0,,,,,
158,0,2,7,1,0,0,1,0,2,3,2,0,1,3,2,1,,,,,
159,0,4,2,0,0,0,1,0,2,3,2,0,0,4,3,1,,,,,
160,1,2,2,0,1,0,1,0,5,0,0,1,1,3,1,1,,,,,
161,0,4,1,0,0,0,1,0,2,2,1,1,1,4,4,1,,,,,
162,0,2,7,0,0,0,0,0,5,3,1,1,1,3,4,1,,,,,
163,0,4,7,0,1,0,1,0,2,5,1,0,0,1,3,1,,,,,
164,0,3,2,1,0,1,1,1,3,3,0,1,1,1,2,1,,,,,
165,0,2,2,0,0,1,1,0,5,4,0,1,1,2,2,0,,,,,
166,0,1,2,0,0,0,0,0,5,3,2,1,1,1,1,1,,,,,
167,0,4,6,1,0,0,0,1,4,3,0,1,1,4,3,0,,,,,
168,1,3,4,0,0,0,1,0,2,5,2,0,1,4,3,1,,,,,
169,1,1,7,0,0,0,1,0,2,2,1,1,0,1,3,1,,,,,
170,0,2,2,1,0,0,1,0,4,3,2,1,1,3,1,0,,,,,
171,0,1,6,0,0,0,1,0,3,2,2,1,0,4,4,1,,,,,
172,0,1,2,0,1,0,1,1,4,4,2,0,1,2,1,1,,,,,
173,0,2,1,0,1,0,1,0,5,4,1,0,1,4,3,0,,,,,
174,1,4,6,1,0,0,1,0,5,4,0,1,1,4,3,1,,,,,
175,0,2,5,0,0,0,1,0,4,0,1,0,1,1,4,1,,,,,
176,0,3,5,0,0,0,0,0,2,3,1,1,1,1,3,1,,,,,
177,0,4,5,0,0,0,1,1,0,2,2,1,1,3,1,1,,,,,
178,0,3,4,0,0,0,1,0,4,0,2,1,1,4,3,1,,,,,
179,0,4,6,0,0,0,1,1,3,0,1,0,1,2,3,0,,,,,
180,0,4,7,0,0,0,1,0,0,5,2,0,1,4,4,1,,,,,
181,0,2,6,1,0,0,1,1,4,3,1,0,1,4,1,1,,,,,
182,0,3,3,0,0,0,1,0,3,0,1,1,1,4,2,1,,,,,
183,0,3,3,0,0,1,1,0,1,3,2,0,1,2,3,1,,,,,
184,0,4,1,0,0,1,1,0,0,1,2,1,0,1,3,1,,,,,
185,1,2,2,1,0,1,1,0,1,1,2,1,1,3,1,1,,,,,
186,0,4,1,0,0,1,0,0,5,0,2,1,0,2,1,1,,,,,
187,1,2,7,0,0,1,1,0,0,3,0,1,1,4,4,1,,,,,
188,1,2,6,1,0,0,0,0,5,2,1,1,1,2,4,0,,,,,
189,0,4,7,0,0,1,1,0,4,2,0,1,1,2,4,1,,,,,
190,0,1,2,0,0,0,1,0,1,0,1,0,1,2,4,0,,,,,
191,0,1,3,0,0,0,1,0,0,2,1,0,1,1,4,1,,,,,
192,1,4,2,0,0,0,0,0,4,3,0,0,1,2,3,1,,,,,
193,0,3,4,0,1,0,1,0,5,4,0,0,1,3,1,0,,,,,
194,0,3,3,0,0,1,1,0,1,5,2,1,1,4,3,0,,,,,
195,0,2,7,0,0,0,1,0,5,1,2,0,1,4,2,0,,,,,
196,0,2,2,1,0,0,1,0,5,0,2,1,1,2,3,1,,,,,
197,0,1,5,0,0,0,0,0,2,3,1,0,1,3,4,1,,,,,
198,1,2,7,1,0,0,1,0,1,0,1,1,1,3,4,1,,,,,
199,1,2,2,0,0,0,0,0,0,4,0,1,1,1,1,1,,,,,
200,0,3,1,0,0,0,1,0,5,1,1,1,1,1,3,1,,,,,
201,0,4,4,1,0,1,1,0,4,3,1,1,1,2,2,1,,,,,
202,0,4,5,0,1,1,0,0,4,4,0,0,0,3,3,1,,,,,
203,0,4,1,0,0,1,1,0,1,0,2,1,1,3,1,0,,,,,
204,0,1,6,0,1,1,1,0,4,4,1,1,0,3,4,1,,,,,
205,0,3,5,0,1,1,1,0,4,3,1,0,1,4,1,1,,,,,
206,0,4,3,0,1,0,1,1,0,0,0,0,0,1,4,1,,,,,
207,0,3,7,0,0,0,1,0,1,4,0,0,1,3,3,0,,,,,
208,0,1,6,0,0,0,1,1,5,0,0,0,0,2,4,1,,,,,
209,0,4,6,1,0,0,1,0,5,2,1,1,1,4,3,1,,,,,
210,0,4,3,1,0,0,1,0,4,5,0,1,1,4,4,1,,,,,
211,0,1,4,0,0,0,0,0,4,2,0,1,1,1,4,1,,,,,
212,1,2,4,0,0,0,1,0,0,1,0,0,1,3,2,1,,,,,
213,0,3,5,0,0,0,0,1,5,2,2,1,0,4,2,0,,,,,
214,0,4,2,1,0,0,1,0,2,5,2,0,1,4,1,1,,,,,
215,0,2,6,0,0,0,0,0,3,4,0,1,1,4,2,1,,,,,
216,0,2,3,0,0,1,1,0,3,5,2,1,1,2,4,1,,,,,
217,1,1,3,0,0,0,1,0,4,2,1,0,1,2,3,1,,,,,
218,0,2,1,0,0,0,1,0,1,5,0,1,1,3,2,1,,,,,
219,0,2,2,0,0,0,1,0,4,1,1,0,1,2,4,1,,,,,
220,0,2,4,0,0,0,1,0,0,2,0,1,1,3,1,1,,,,,
221,0,4,5,0,0,0,1,0,3,4,2,1,1,2,2,1,,,,,
222,0,1,1,0,1,0,1,0,2,2,1,1,0,2,4,1,,,,,
223,0,3,2,0,0,0,0,0,0,0,0,1,1,3,1,1,,,,,
224,1,4,4,0,1,0,0,0,3,1,0,1,1,3,4,1,,,,,
225,0,1,7,0,0,0,1,0,3,3,0,1,1,3,3,1,,,,,
226,1,4,3,0,0,0,1,0,4,4,0,1,1,1,2,1,,,,,
227,0,4,3,0,0,1,1,0,5,1,0,1,1,1,3,0,,,,,
228,0,1,7,0,0,0,1,0,5,3,2,1,1,1,3,1,,,,,
229,0,2,7,0,0,0,1,0,2,0,2,1,1,1,3,1,,,,,
230,0,1,6,1,1,0,1,0,0,3,2,1,0,4,4,1,,,,,
231,0,2,2,0,1,0,1,0,2,2,1,1,1,3,3,1,,,,,
232,0,1,4,0,0,0,1,0,1,2,2,1,1,1,1,1,,,,,
233,0,3,3,1,0,0,1,0,4,5,2,0,1,2,1,1,,,,,
234,0,4,5,1,0,0,1,0,5,2,2,1,0,3,3,0,,,,,
235,1,1,7,0,0,1,1,0,1,3,1,1,1,3,4,1,,,,,
236,0,2,2,0,0,0,1,1,4,4,2,1,0,4,2,1,,,,,
237,1,2,4,0,0,0,1,0,5,3,2,1,0,3,3,1,,,,,
238,0,2,1,0,0,0,1,1,4,5,1,0,1,1,1,1,,,,,
239,0,4,6,0,0,0,1,0,3,2,2,0,1,2,3,1,,,,,
240,0,3,5,0,0,0,0,0,3,1,2,1,1,3,2,1,,,,,
241,0,4,5,0,0,0,0,0,1,5,0,1,1,1,2,1,,,,,
242,0,2,6,0,0,0,1,0,4,3,2,1,0,3,2,1,,,,,
243,1,2,2,0,0,1,1,0,4,1,0,1,1,1,2,1,,,,,
244,0,3,4,1,0,0,1,0,0,4,1,1,1,2,2,1,,,,,
245,0,2,7,0,0,0,1,0,2,4,2,1,1,2,4,1,,,,,
246,0,1,6,1,0,0,1,0,0,5,2,1,0,4,4,1,,,,,
247,0,1,4,0,1,0,1,0,1,4,0,0,0,1,2,0,,,,,
248,0,4,3,0,0,1,1,0,4,2,0,0,1,1,3,0,,,,,
249,0,3,7,0,1,0,0,1,3,5,1,1,1,1,1,0,,,,,
250,1,3,1,0,0,0,1,0,5,2,2,0,1,1,4,1,,,,,
251,0,4,6,1,0,0,0,0,5,4,0,1,1,4,2,0,,,,,
252,0,2,2,0,0,0,1,0,2,3,1,1,1,1,3,1,,,,,
253,0,3,5,0,0,0,1,0,4,4,0,1,1,2,3,1,,,,,
254,0,3,5,1,0,0,1,0,5,2,2,1,0,1,1,0,,,,,
255,0,3,4,0,0,0,1,0,1,5,0,1,0,3,4,1,,,,,
256,0,4,6,0,0,0,1,0,0,5,2,1,1,3,3,1,,,,,
257,0,1,2,0,0,1,1,0,0,0,1,1,0,2,3,1,,,,,
258,0,1,5,0,0,0,0,0,1,2,2,1,1,1,4,0,,,,,
259,0,4,1,0,1,0,1,0,0,2,1,1,0,2,1,1,,,,,
260,1,4,7,0,0,0,1,0,3,3,2,1,1,1,1,1,,,,,
261,0,3,2,1,1,0,1,0,1,1,1,0,1,4,3,1,,,,,
262,0,1,1,0,0,0,1,0,2,5,1,0,1,4,1,1,,,,,
263,0,4,3,1,0,0,1,0,2,1,1,0,0,2,4,1,,,,,
264,0,3,2,1,0,0,1,0,1,1,1,1,1,3,2,1,,,,,
265,0,2,3,1,1,0,1,0,1,2,2,0,1,4,3,1,,,,,
266,0,1,1,1,0,0,0,1,3,0,0,1,1,4,1,1,,,,,
267,0,1,2,0,0,0,1,0,5,4,1,1,0,4,4,1,,,,,
268,1,1,4,0,1,0,1,0,4,2,1,1,1,2,2,1,,,,,
269,0,3,4,0,0,1,1,0,1,4,0,0,1,2,3,1,,,,,
270,0,3,4,1,1,0,1,0,0,1,1,0,1,3,4,1,,,,,
271,0,2,3,0,0,0,1,0,4,3,2,0,1,3,3,1,,,,,
272,0,3,2,0,0,0,1,0,3,4,2,1,1,2,1,1,,,,,
273,0,3,5,0,0,0,1,0,5,5,0,0,1,4,4,0,,,,,
274,0,4,5,0,0,0,0,1,4,4,1,1,1,2,4,1,,,,,
275,0,1,5,0,1,0,0,0,3,3,0,1,1,4,3,0,,,,,
276,0,2,5,1,0,0,1,0,2,2,1,1,1,4,4,0,,,,,
277,0,1,5,0,0,1,1,0,1,3,0,0,1,4,4,1,,,,,
278,0,3,7,1,0,0,0,0,0,0,2,1,1,4,3,1,,,,,
279,0,3,4,0,0,0,1,0,5,5,0,1,1,3,4,1,,,,,
280,0,3,1,0,0,0,1,0,2,3,1,0,1,3,2,1,,,,,
281,0,1,5,0,0,0,1,0,5,4,2,0,1,4,4,1,,,,,
282,0,1,7,0,0,0,1,1,3,4,1,0,1,2,3,1,,,,,
283,0,4,4,0,1,0,0,0,3,3,2,1,1,2,2,1,,,,,
284,0,3,1,0,0,0,1,0,3,1,0,0,1,2,2,0,,,,,
285,0,3,6,0,1,0,0,0,4,1,0,0,1,4,3,0,,,,,
286,0,1,4,0,0,0,1,0,5,4,0,1,1,4,2,0,,,,,
287,0,1,1,0,0,0,1,0,3,1,2,0,1,3,2,1,,,,,
288,0,1,6,1,0,0,0,0,3,3,1,1,1,3,1,0,,,,,
289,0,3,5,0,1,0,1,1,4,1,0,0,1,4,1,1,,,,,
290,0,1,3,1,0,0,0,0,5,4,2,1,1,1,4,1,,,,,
291,1,4,3,0,0,0,1,0,5,5,1,0,1,4,1,1,,,,,
292,1,3,2,0,1,0,1,0,3,4,1,0,1,4,2,1,,,,,
293,1,1,5,0,0,0,1,0,5,0,1,0,0,2,2,1,,,,,
294,1,4,7,0,1,1,1,0,3,5,2,0,1,1,2,0,,,,,
295,0,2,1,0,0,0,1,0,4,5,1,0,0,1,2,1,,,,,
296,0,1,2,0,0,0,1,1,4,0,1,1,0,4,4,1,,,,,
297,1,4,7,1,1,1,1,0,4,4,1,0,1,4,1,1,,,,,
298,0,1,3,0,0,0,1,1,5,3,2,1,1,2,3,1,,,,,
299,0,4,3,0,0,0,1,0,0,2,0,1,0,1,1,1,,,,,
300,0,1,6,0,0,0,0,0,2,0,0,1,1,1,4,1,,,,,
301,0,2,2,0,0,0,1,0,4,5,2,0,1,1,2,0,,,,,
302,0,2,7,1,0,1,1,0,4,3,1,0,1,2,3,1,,,,,
303,0,3,7,1,1,0,1,1,5,0,2,0,1,3,1,0,,,,,
304,1,4,6,0,0,1,1,0,1,3,1,0,1,2,4,1,,,,,
305,0,2,6,0,1,0,0,0,3,0,2,0,0,1,2,1,,,,,
306,0,3,3,0,0,0,1,0,5,2,0,1,1,3,3,1,,,,,
307,0,4,5,0,0,0,0,0,3,3,0,0,1,3,2,1,,,,,
308,0,4,7,0,1,0,1,0,0,4,1,1,1,2,4,1,,,,,
309,0,2,6,0,1,0,0,0,5,4,1,1,0,2,4,1,,,,,
310,0,2,1,0,0,0,0,1,1,1,2,0,1,3,3,1,,,,,
311,0,1,5,0,0,0,0,0,0,3,2,1,1,3,4,1,,,,,
312,0,2,1,0,1,0,0,0,1,4,2,1,1,4,4,1,,,,,
313,1,3,5,0,0,0,1,0,1,0,0,0,1,3,3,1,,,,,
314,0,4,2,0,1,1,1,0,4,1,1,1,0,1,2,1,,,,,
315,1,2,4,0,0,1,1,0,0,5,1,0,1,1,4,1,,,,,
316,0,2,7,0,1,0,0,0,0,2,1,1,1,3,1,1,,,,,
317,1,4,3,0,1,0,1,0,0,1,2,0,1,2,1,1,,,,,
318,0,1,2,0,0,0,1,0,2,2,0,0,1,4,1,1,,,,,
319,0,1,4,0,0,0,1,0,4,3,0,0,1,1,4,0,,,,,
320,0,3,1,1,0,0,1,0,1,3,0,1,1,4,2,1,,,,,
321,0,2,6,0,1,1,1,0,0,1,0,1,0,4,3,1,,,,,
322,0,1,6,0,0,0,1,0,4,2,0,0,1,2,2,0,,,,,
323,0,4,2,0,0,1,0,0,3,1,0,0,1,3,2,1,,,,,
324,0,3,6,0,1,0,1,0,1,4,0,1,1,2,4,1,,,,,
325,1,2,2,0,0,0,1,0,5,1,1,0,1,1,2,1,,,,,
326,0,1,6,0,0,0,1,0,5,3,1,0,1,1,2,1,,,,,
327,1,4,3,1,0,0,1,0,3,5,2,1,1,4,3,1,,,,,
328,0,1,2,1,0,0,0,0,0,4,2,1,1,1,3,0,,,,,
329,0,4,1,0,0,0,0,0,5,2,1,0,1,1,4,1,,,,,
330,0,2,1,1,0,0,1,0,4,5,0,1,0,4,3,1,,,,,
331,0,3,3,0,1,0,1,0,4,2,2,1,0,1,1,1,,,,,
332,0,4,5,0,1,0,0,1,2,5,1,0,1,3,3,0,,,,,
333,0,2,4,0,0,1,1,0,3,4,1,1,1,1,2,1,,,,,
334,0,4,6,0,1,0,1,0,3,5,1,1,1,4,4,1,,,,,
335,0,2,3,0,0,0,1,0,1,3,0,1,1,3,4,1,,,,,
336,0,1,7,0,0,0,1,0,0,2,0,1,1,3,3,1,,,,,
337,0,1,4,0,0,1,1,0,4,5,0,1,1,4,1,1,,,,,
338,0,2,2,0,0,0,1,0,2,3,1,0,1,3,3,0,,,,,
339,0,4,3,1,0,0,1,0,5,3,2,0,1,4,1,0,,,,,
340,0,4,2,0,0,0,1,0,5,5,2,0,1,2,3,1,,,,,
341,0,1,3,0,0,1,1,0,0,4,1,1,1,4,3,1,,,,,
342,0,4,2,0,1,0,1,0,4,4,0,0,1,2,1,1,,,,,
343,0,1,3,1,0,0,1,0,4,5,0,0,1,1,4,1,,,,,
344,0,1,1,0,0,0,1,0,3,0,2,0,0,3,2,1,,,,,
345,1,3,6,0,1,0,0,0,0,2,0,0,1,4,1,1,,,,,
346,0,4,4,1,0,1,1,1,5,1,0,1,1,2,4,1,,,,,
347,0,4,3,0,1,0,1,0,2,3,2,0,1,2,2,1,,,,,
348,0,4,3,0,1,0,1,1,2,5,1,1,1,4,3,1,,,,,
349,0,2,1,0,0,1,1,0,0,3,2,1,1,4,4,1,,,,,
350,1,2,6,0,0,0,1,0,3,2,1,0,0,1,4,0,,,,,
351,0,4,7,0,0,1,1,0,0,1,1,1,1,4,3,1,,,,,
