,Unnamed: 0,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,label,dropout
42,42,0,1,1,0,0,0,0,0,5,1,2,1,1,4,1,1,5,12,0,5.0,0.3125
43,43,0,3,6,0,1,0,1,0,2,3,2,0,1,4,1,1,2,8,0,5.0,0.3125
44,44,0,1,1,0,0,0,1,1,0,0,0,0,1,4,3,1,1,26,0,9.0,0.5625
45,45,0,1,2,0,0,0,1,0,5,1,2,1,1,3,4,0,2,18,1,6.0,0.375
46,46,0,4,1,0,0,0,0,0,4,5,2,0,0,4,1,1,1,6,1,2.0,0.125
47,47,0,3,1,0,0,0,1,0,5,3,1,1,1,3,3,1,4,31,0,7.0,0.4375
48,48,0,2,3,1,0,0,1,0,0,2,0,1,1,1,1,1,4,21,0,8.0,0.5
49,49,0,3,2,0,0,0,1,0,0,2,0,1,1,2,2,1,1,3,1,8.0,0.5
50,50,1,3,2,0,1,0,0,0,4,3,1,1,1,1,3,1,5,10,0,6.0,0.375
51,51,0,2,1,1,0,0,0,1,1,2,0,1,0,3,4,1,4,15,1,9.0,0.5625
52,52,0,3,5,1,0,0,1,0,5,5,0,0,0,3,1,1,4,19,1,7.0,0.4375
53,53,0,3,7,0,0,0,1,1,4,4,2,1,1,2,4,1,1,10,1,8.0,0.5
54,54,0,1,6,0,0,0,0,0,5,1,0,1,1,1,1,1,4,14,1,5.0,0.3125
55,55,0,2,5,0,0,0,0,0,1,3,0,0,1,1,1,1,3,24,0,5.0,0.3125
56,56,0,3,4,0,1,1,1,0,1,0,1,1,1,2,1,1,3,21,1,9.0,0.5625
57,57,0,4,2,0,0,0,1,0,3,4,2,1,0,2,4,1,5,14,1,5.0,0.3125
58,58,0,3,1,0,0,1,1,0,0,1,2,1,1,1,4,1,4,17,0,9.0,0.5625
59,59,1,4,1,0,0,0,0,0,2,5,2,1,1,4,1,1,5,29,0,5.0,0.3125
60,60,0,2,6,0,0,0,0,0,3,5,2,1,0,1,4,1,4,32,1,4.0,0.25
61,61,0,2,3,1,0,1,0,0,1,3,1,0,0,4,2,1,5,17,1,4.0,0.25
62,62,0,3,7,0,0,1,1,0,0,2,2,1,1,3,4,1,4,3,1,9.0,0.5625
63,63,0,1,7,1,0,0,1,0,5,5,2,0,0,2,2,0,4,32,0,4.0,0.25
64,64,0,3,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1,28,0,6.0,0.375
65,65,0,4,2,0,0,0,1,0,3,1,0,1,1,4,3,1,5,2,1,5.0,0.3125
66,66,0,3,5,0,0,0,1,0,0,0,2,1,1,2,3,1,5,10,1,9.0,0.5625
67,67,0,1,7,0,0,0,1,0,0,4,1,0,1,4,2,1,4,5,0,5.0,0.3125
68,68,0,1,5,1,0,0,1,0,2,0,1,0,1,3,3,1,2,12,0,8.0,0.5
69,69,0,3,4,1,0,0,1,0,5,0,0,1,1,1,4,1,1,8,1,9.0,0.5625
70,70,1,1,7,0,0,1,1,0,4,2,0,0,0,4,1,1,5,6,0,6.0,0.375
71,71,1,3,5,1,0,0,1,0,3,0,2,1,1,4,2,1,4,2,0,9.0,0.5625
72,72,0,3,7,0,0,1,1,0,4,3,0,0,1,4,2,1,1,9,0,6.0,0.375
73,73,0,2,2,0,0,0,1,1,0,2,2,1,0,1,1,0,4,3,1,5.0,0.3125
74,74,1,3,5,0,0,0,0,0,3,4,1,0,1,2,4,1,3,30,1,7.0,0.4375
75,75,1,3,1,0,0,0,0,0,1,1,0,0,1,2,1,1,3,18,0,7.0,0.4375
76,76,0,4,6,1,0,0,1,0,5,3,2,1,0,2,2,1,4,4,1,5.0,0.3125
77,77,0,3,6,0,0,0,1,0,1,0,0,1,1,2,4,0,4,30,1,8.0,0.5
78,78,0,2,1,0,0,0,1,0,4,0,1,0,1,3,1,0,3,16,0,6.0,0.375
79,79,0,4,5,0,1,1,0,0,4,5,0,0,0,3,4,0,4,28,1,6.0,0.375
80,80,1,4,4,0,0,0,0,0,1,5,2,0,1,4,4,0,1,27,0,3.0,0.1875
81,81,1,3,3,1,0,1,1,0,5,5,1,1,0,2,3,0,1,4,1,7.0,0.4375
82,82,0,3,6,0,0,0,1,0,4,1,1,1,1,3,4,1,4,18,1,7.0,0.4375
83,83,0,1,3,0,0,0,0,0,3,4,1,1,1,4,4,1,3,4,0,5.0,0.3125
84,84,1,4,6,0,1,0,1,0,3,2,0,1,1,2,3,1,2,7,1,8.0,0.5
85,85,0,4,3,0,0,0,0,0,2,1,2,1,0,2,4,1,5,19,0,4.0,0.25
86,86,0,1,1,1,0,1,0,1,3,3,0,0,1,2,4,1,1,24,0,10.0,0.625
87,87,0,4,2,0,0,1,1,0,3,0,1,0,1,3,2,1,5,20,1,6.0,0.375
88,88,1,4,1,0,0,0,1,0,2,4,1,1,0,4,4,0,3,18,1,5.0,0.3125
89,89,0,4,1,0,0,0,1,0,0,4,2,0,1,2,3,1,4,7,1,6.0,0.375
90,90,0,3,2,0,0,1,0,0,5,5,0,0,1,1,2,1,4,23,0,5.0,0.3125
91,91,0,1,5,1,0,0,1,0,5,4,1,0,0,4,1,0,1,6,1,4.0,0.25
92,92,0,1,7,0,0,0,1,0,1,0,2,0,1,1,3,0,1,24,1,4.0,0.25
93,93,0,2,2,0,1,1,1,0,5,2,0,0,1,2,3,1,5,8,1,8.0,0.5
94,94,0,2,2,0,0,1,1,0,0,1,1,0,1,1,1,1,4,16,1,6.0,0.375
95,95,0,2,2,0,0,0,1,1,5,3,0,0,1,3,2,1,1,4,1,7.0,0.4375
96,96,1,4,7,1,0,0,1,0,5,4,2,0,1,3,1,0,5,16,0,5.0,0.3125
97,97,0,4,3,0,0,0,1,0,0,2,0,0,1,1,3,1,5,33,1,5.0,0.3125
98,98,0,1,5,0,0,0,1,1,1,2,2,1,1,4,3,1,1,7,0,7.0,0.4375
99,99,0,2,3,0,0,0,1,0,3,3,2,0,0,3,1,0,3,2,0,3.0,0.1875
100,100,0,2,4,0,0,0,0,0,3,1,2,0,1,4,2,1,5,19,1,3.0,0.1875
101,101,1,1,3,1,0,0,1,0,4,0,2,0,1,2,2,1,5,9,1,8.0,0.5
102,102,1,1,1,0,0,0,1,1,5,1,1,0,1,2,2,1,4,18,0,8.0,0.5
103,103,0,1,5,1,1,0,1,0,2,2,1,1,1,3,2,1,2,27,1,9.0,0.5625
104,104,0,1,5,0,0,1,1,0,1,1,0,0,1,4,2,1,5,23,1,7.0,0.4375
105,105,0,2,2,0,0,0,1,0,4,0,0,0,0,4,3,1,5,30,0,5.0,0.3125
106,106,0,4,2,0,0,0,1,1,0,0,1,1,1,3,4,0,4,21,1,8.0,0.5
107,107,0,4,7,0,0,0,1,0,0,3,0,0,1,1,2,1,2,32,0,5.0,0.3125
108,108,0,2,2,0,1,0,1,1,5,3,0,0,1,2,3,1,3,18,1,8.0,0.5
109,109,0,2,5,0,0,0,0,0,3,5,0,0,1,3,1,0,3,10,1,5.0,0.3125
110,110,0,4,6,1,0,0,1,0,3,0,2,1,1,1,3,1,3,30,1,6.0,0.375
111,111,1,1,5,0,0,0,0,0,4,4,2,0,1,4,2,1,3,3,0,5.0,0.3125
112,112,0,2,4,1,0,0,0,1,4,3,1,1,1,4,4,1,2,14,0,7.0,0.4375
113,113,0,3,4,1,1,0,1,0,2,3,2,1,1,4,1,1,2,31,1,7.0,0.4375
114,114,0,2,4,0,1,1,1,0,0,4,2,0,1,2,1,1,5,24,1,8.0,0.5
115,115,1,2,6,0,0,0,0,0,3,3,0,0,1,1,1,1,1,14,1,5.0,0.3125
116,116,1,3,3,0,0,0,0,1,0,4,0,0,1,3,4,1,4,33,1,9.0,0.5625
117,117,1,1,4,0,0,0,1,0,3,4,1,0,1,2,1,0,5,31,0,5.0,0.3125
118,118,0,4,1,0,1,0,0,0,1,2,1,0,1,2,4,1,2,13,0,6.0,0.375
119,119,0,4,5,0,1,0,0,0,1,1,1,1,1,1,2,1,4,5,1,5.0,0.3125
120,120,0,4,1,0,0,0,1,0,4,0,0,1,1,2,1,1,2,25,0,8.0,0.5
121,121,1,1,5,0,0,0,1,0,1,5,1,1,0,3,4,0,5,18,1,7.0,0.4375
122,122,0,3,4,0,0,0,1,0,5,5,2,1,1,2,1,0,2,31,0,5.0,0.3125
123,123,0,3,1,1,0,0,1,0,1,4,0,0,0,2,1,1,1,28,1,7.0,0.4375
124,124,0,2,7,0,0,0,1,0,5,0,1,1,0,3,1,1,2,23,1,6.0,0.375
125,125,1,4,1,0,0,0,1,0,3,3,1,0,1,1,1,1,4,25,1,5.0,0.3125
126,126,1,3,4,0,0,0,1,0,5,0,1,1,0,1,4,1,3,22,0,7.0,0.4375
127,127,1,3,3,0,0,0,1,0,1,3,1,0,1,4,1,1,5,27,0,5.0,0.3125
128,128,1,3,7,0,0,0,1,0,2,5,2,1,1,3,4,1,3,1,0,8.0,0.5
129,129,1,1,6,0,0,0,1,0,5,2,2,0,1,4,4,1,2,29,0,6.0,0.375
130,130,0,1,7,0,0,0,1,0,1,5,1,0,1,3,4,1,1,14,1,6.0,0.375
131,131,0,1,5,0,0,0,1,0,5,5,2,1,0,1,3,1,2,13,1,5.0,0.3125
132,132,0,1,5,0,0,0,1,0,5,5,0,1,1,1,4,1,5,9,1,8.0,0.5
133,133,0,4,6,0,1,0,1,0,5,4,0,0,1,1,3,0,4,21,1,4.0,0.25
134,134,0,2,1,0,0,1,1,0,1,2,0,1,1,3,3,1,2,2,1,9.0,0.5625
135,135,0,1,4,1,0,0,1,0,4,1,0,1,1,2,3,0,1,23,0,7.0,0.4375
136,136,0,3,1,0,0,1,1,1,5,4,1,0,1,4,3,1,4,29,1,7.0,0.4375
137,137,0,1,3,0,0,0,1,0,3,2,2,1,1,3,3,0,2,14,0,5.0,0.3125
138,138,0,3,7,1,0,0,0,0,2,0,1,0,1,1,3,0,3,20,0,4.0,0.25
139,139,1,2,3,0,0,0,0,0,3,3,0,0,0,3,4,0,4,28,0,5.0,0.3125
140,140,0,3,5,0,0,0,1,0,0,2,1,0,1,2,2,1,4,5,0,7.0,0.4375
141,141,0,2,5,0,0,0,0,0,4,2,1,0,1,1,4,0,1,1,0,4.0,0.25
142,142,0,3,7,1,1,1,1,0,0,2,1,1,0,3,4,1,5,4,1,10.0,0.625
143,143,0,2,5,0,0,0,1,0,3,4,0,0,1,4,2,1,5,24,0,6.0,0.375
144,144,0,2,5,1,0,0,0,0,3,0,1,1,1,3,1,1,5,10,0,8.0,0.5
145,145,0,3,3,1,0,0,0,0,3,2,0,0,0,3,3,0,1,12,0,4.0,0.25
146,146,0,1,6,0,1,0,1,0,3,1,0,0,1,1,4,1,2,22,1,7.0,0.4375
147,147,0,4,2,0,0,1,0,0,5,5,2,1,1,2,3,1,5,8,1,5.0,0.3125
148,148,0,4,6,0,0,0,1,0,0,3,2,0,1,1,2,1,1,29,0,4.0,0.25
149,149,0,1,7,0,1,1,0,0,3,5,0,0,1,4,3,1,5,11,0,6.0,0.375
150,150,1,1,6,0,0,0,1,0,1,4,1,0,1,2,3,0,1,8,0,5.0,0.3125
151,151,0,1,1,0,0,0,1,0,3,5,0,1,1,2,1,1,3,2,0,8.0,0.5
152,152,0,3,2,0,0,1,1,0,3,3,2,1,1,1,2,1,4,10,0,6.0,0.375
153,153,0,1,4,0,0,0,0,0,4,5,0,0,1,4,1,1,5,25,0,4.0,0.25
154,154,0,4,3,1,0,0,1,0,3,2,0,0,1,4,3,1,3,31,0,5.0,0.3125
155,155,0,3,3,1,0,0,0,0,3,0,1,1,1,4,4,1,4,3,1,7.0,0.4375
156,156,0,2,7,0,1,0,1,0,4,3,0,0,1,1,1,1,2,26,0,6.0,0.375
157,157,1,2,4,0,0,0,1,1,0,3,0,1,1,1,3,0,2,10,0,8.0,0.5
158,158,0,2,7,1,0,0,1,0,2,3,2,0,1,3,2,1,2,29,1,6.0,0.375
159,159,0,4,2,0,0,0,1,0,2,3,2,0,0,4,3,1,5,13,1,2.0,0.125
160,160,1,2,2,0,1,0,1,0,5,0,0,1,1,3,1,1,1,26,0,10.0,0.625
161,161,0,4,1,0,0,0,1,0,2,2,1,1,1,4,4,1,4,15,0,6.0,0.375
162,162,0,2,7,0,0,0,0,0,5,3,1,1,1,3,4,1,3,16,1,6.0,0.375
163,163,0,4,7,0,1,0,1,0,2,5,1,0,0,1,3,1,4,4,1,3.0,0.1875
164,164,0,3,2,1,0,1,1,1,3,3,0,1,1,1,2,1,1,4,0,9.0,0.5625
165,165,0,2,2,0,0,1,1,0,5,4,0,1,1,2,2,0,4,25,1,7.0,0.4375
166,166,0,1,2,0,0,0,0,0,5,3,2,1,1,1,1,1,1,32,0,4.0,0.25
167,167,0,4,6,1,0,0,0,1,4,3,0,1,1,4,3,0,1,18,0,5.0,0.3125
168,168,1,3,4,0,0,0,1,0,2,5,2,0,1,4,3,1,3,14,0,5.0,0.3125
169,169,1,1,7,0,0,0,1,0,2,2,1,1,0,1,3,1,5,33,1,5.0,0.3125
170,170,0,2,2,1,0,0,1,0,4,3,2,1,1,3,1,0,4,16,0,6.0,0.375
171,171,0,1,6,0,0,0,1,0,3,2,2,1,0,4,4,1,1,28,0,5.0,0.3125
172,172,0,1,2,0,1,0,1,1,4,4,2,0,1,2,1,1,5,13,0,7.0,0.4375
173,173,0,2,1,0,1,0,1,0,5,4,1,0,1,4,3,0,4,32,0,5.0,0.3125
174,174,1,4,6,1,0,0,1,0,5,4,0,1,1,4,3,1,2,32,1,7.0,0.4375
175,175,0,2,5,0,0,0,1,0,4,0,1,0,1,1,4,1,1,28,1,7.0,0.4375
176,176,0,3,5,0,0,0,0,0,2,3,1,1,1,1,3,1,4,1,1,5.0,0.3125
177,177,0,4,5,0,0,0,1,1,0,2,2,1,1,3,1,1,4,12,0,8.0,0.5
178,178,0,3,4,0,0,0,1,0,4,0,2,1,1,4,3,1,2,24,0,6.0,0.375
179,179,0,4,6,0,0,0,1,1,3,0,1,0,1,2,3,0,2,25,0,5.0,0.3125
180,180,0,4,7,0,0,0,1,0,0,5,2,0,1,4,4,1,4,7,0,5.0,0.3125
181,181,0,2,6,1,0,0,1,1,4,3,1,0,1,4,1,1,2,7,0,6.0,0.375
182,182,0,3,3,0,0,0,1,0,3,0,1,1,1,4,2,1,1,8,1,6.0,0.375
183,183,0,3,3,0,0,1,1,0,1,3,2,0,1,2,3,1,1,28,1,6.0,0.375
184,184,0,4,1,0,0,1,1,0,0,1,2,1,0,1,3,1,5,29,0,6.0,0.375
185,185,1,2,2,1,0,1,1,0,1,1,2,1,1,3,1,1,5,3,0,9.0,0.5625
186,186,0,4,1,0,0,1,0,0,5,0,2,1,0,2,1,1,1,31,0,6.0,0.375
187,187,1,2,7,0,0,1,1,0,0,3,0,1,1,4,4,1,4,23,1,10.0,0.625
188,188,1,2,6,1,0,0,0,0,5,2,1,1,1,2,4,0,3,4,1,7.0,0.4375
189,189,0,4,7,0,0,1,1,0,4,2,0,1,1,2,4,1,5,2,1,8.0,0.5
190,190,0,1,2,0,0,0,1,0,1,0,1,0,1,2,4,0,2,14,0,6.0,0.375
191,191,0,1,3,0,0,0,1,0,0,2,1,0,1,1,4,1,4,29,1,6.0,0.375
192,192,1,4,2,0,0,0,0,0,4,3,0,0,1,2,3,1,5,21,0,5.0,0.3125
193,193,0,3,4,0,1,0,1,0,5,4,0,0,1,3,1,0,3,6,0,6.0,0.375
194,194,0,3,3,0,0,1,1,0,1,5,2,1,1,4,3,0,5,10,0,5.0,0.3125
195,195,0,2,7,0,0,0,1,0,5,1,2,0,1,4,2,0,3,20,1,3.0,0.1875
196,196,0,2,2,1,0,0,1,0,5,0,2,1,1,2,3,1,4,11,1,8.0,0.5
197,197,0,1,5,0,0,0,0,0,2,3,1,0,1,3,4,1,3,14,0,6.0,0.375
198,198,1,2,7,1,0,0,1,0,1,0,1,1,1,3,4,1,4,21,0,10.0,0.625
199,199,1,2,2,0,0,0,0,0,0,4,0,1,1,1,1,1,3,32,0,7.0,0.4375
200,200,0,3,1,0,0,0,1,0,5,1,1,1,1,1,3,1,3,31,1,6.0,0.375
201,201,0,4,4,1,0,1,1,0,4,3,1,1,1,2,2,1,3,22,0,7.0,0.4375
202,202,0,4,5,0,1,1,0,0,4,4,0,0,0,3,3,1,2,31,1,6.0,0.375
203,203,0,4,1,0,0,1,1,0,1,0,2,1,1,3,1,0,4,29,0,7.0,0.4375
204,204,0,1,6,0,1,1,1,0,4,4,1,1,0,3,4,1,4,24,0,8.0,0.5
205,205,0,3,5,0,1,1,1,0,4,3,1,0,1,4,1,1,2,13,1,7.0,0.4375
206,206,0,4,3,0,1,0,1,1,0,0,0,0,0,1,4,1,2,24,0,8.0,0.5
207,207,0,3,7,0,0,0,1,0,1,4,0,0,1,3,3,0,4,11,0,5.0,0.3125
208,208,0,1,6,0,0,0,1,1,5,0,0,0,0,2,4,1,2,29,0,8.0,0.5
209,209,0,4,6,1,0,0,1,0,5,2,1,1,1,4,3,1,4,7,0,5.0,0.3125
210,210,0,4,3,1,0,0,1,0,4,5,0,1,1,4,4,1,5,24,1,7.0,0.4375
211,211,0,1,4,0,0,0,0,0,4,2,0,1,1,1,4,1,4,2,1,6.0,0.375
212,212,1,2,4,0,0,0,1,0,0,1,0,0,1,3,2,1,5,32,1,8.0,0.5
213,213,0,3,5,0,0,0,0,1,5,2,2,1,0,4,2,0,2,8,1,4.0,0.25
214,214,0,4,2,1,0,0,1,0,2,5,2,0,1,4,1,1,4,17,0,4.0,0.25
215,215,0,2,6,0,0,0,0,0,3,4,0,1,1,4,2,1,3,26,1,5.0,0.3125
216,216,0,2,3,0,0,1,1,0,3,5,2,1,1,2,4,1,1,17,0,8.0,0.5
217,217,1,1,3,0,0,0,1,0,4,2,1,0,1,2,3,1,2,24,1,6.0,0.375
218,218,0,2,1,0,0,0,1,0,1,5,0,1,1,3,2,1,4,11,1,8.0,0.5
219,219,0,2,2,0,0,0,1,0,4,1,1,0,1,2,4,1,5,29,0,6.0,0.375
220,220,0,2,4,0,0,0,1,0,0,2,0,1,1,3,1,1,1,15,0,8.0,0.5
221,221,0,4,5,0,0,0,1,0,3,4,2,1,1,2,2,1,1,23,0,6.0,0.375
222,222,0,1,1,0,1,0,1,0,2,2,1,1,0,2,4,1,4,17,1,8.0,0.5
223,223,0,3,2,0,0,0,0,0,0,0,0,1,1,3,1,1,1,33,0,8.0,0.5
224,224,1,4,4,0,1,0,0,0,3,1,0,1,1,3,4,1,1,33,1,8.0,0.5
225,225,0,1,7,0,0,0,1,0,3,3,0,1,1,3,3,1,4,30,1,7.0,0.4375
226,226,1,4,3,0,0,0,1,0,4,4,0,1,1,1,2,1,3,2,1,6.0,0.375
227,227,0,4,3,0,0,1,1,0,5,1,0,1,1,1,3,0,4,28,1,5.0,0.3125
228,228,0,1,7,0,0,0,1,0,5,3,2,1,1,1,3,1,5,27,1,5.0,0.3125
229,229,0,2,7,0,0,0,1,0,2,0,2,1,1,1,3,1,4,6,0,6.0,0.375
230,230,0,1,6,1,1,0,1,0,0,3,2,1,0,4,4,1,1,22,0,8.0,0.5
231,231,0,2,2,0,1,0,1,0,2,2,1,1,1,3,3,1,1,4,0,7.0,0.4375
232,232,0,1,4,0,0,0,1,0,1,2,2,1,1,1,1,1,1,9,0,5.0,0.3125
233,233,0,3,3,1,0,0,1,0,4,5,2,0,1,2,1,1,3,8,0,6.0,0.375
234,234,0,4,5,1,0,0,1,0,5,2,2,1,0,3,3,0,5,10,0,5.0,0.3125
235,235,1,1,7,0,0,1,1,0,1,3,1,1,1,3,4,1,2,32,1,9.0,0.5625
236,236,0,2,2,0,0,0,1,1,4,4,2,1,0,4,2,1,2,21,1,5.0,0.3125
237,237,1,2,4,0,0,0,1,0,5,3,2,1,0,3,3,1,4,3,1,6.0,0.375
238,238,0,2,1,0,0,0,1,1,4,5,1,0,1,1,1,1,4,33,1,6.0,0.375
239,239,0,4,6,0,0,0,1,0,3,2,2,0,1,2,3,1,5,10,1,4.0,0.25
240,240,0,3,5,0,0,0,0,0,3,1,2,1,1,3,2,1,2,8,1,6.0,0.375
241,241,0,4,5,0,0,0,0,0,1,5,0,1,1,1,2,1,3,22,1,5.0,0.3125
242,242,0,2,6,0,0,0,1,0,4,3,2,1,0,3,2,1,3,8,1,5.0,0.3125
243,243,1,2,2,0,0,1,1,0,4,1,0,1,1,1,2,1,3,17,1,8.0,0.5
244,244,0,3,4,1,0,0,1,0,0,4,1,1,1,2,2,1,3,9,0,8.0,0.5
245,245,0,2,7,0,0,0,1,0,2,4,2,1,1,2,4,1,1,28,0,7.0,0.4375
246,246,0,1,6,1,0,0,1,0,0,5,2,1,0,4,4,1,5,14,1,7.0,0.4375
247,247,0,1,4,0,1,0,1,0,1,4,0,0,0,1,2,0,2,1,0,4.0,0.25
248,248,0,4,3,0,0,1,1,0,4,2,0,0,1,1,3,0,3,21,1,4.0,0.25
249,249,0,3,7,0,1,0,0,1,3,5,1,1,1,1,1,0,4,33,0,5.0,0.3125
250,250,1,3,1,0,0,0,1,0,5,2,2,0,1,1,4,1,3,30,1,7.0,0.4375
251,251,0,4,6,1,0,0,0,0,5,4,0,1,1,4,2,0,4,29,0,4.0,0.25
252,252,0,2,2,0,0,0,1,0,2,3,1,1,1,1,3,1,1,13,0,5.0,0.3125
253,253,0,3,5,0,0,0,1,0,4,4,0,1,1,2,3,1,2,17,0,8.0,0.5
254,254,0,3,5,1,0,0,1,0,5,2,2,1,0,1,1,0,2,2,1,5.0,0.3125
255,255,0,3,4,0,0,0,1,0,1,5,0,1,0,3,4,1,2,23,1,7.0,0.4375
256,256,0,4,6,0,0,0,1,0,0,5,2,1,1,3,3,1,2,2,1,6.0,0.375
257,257,0,1,2,0,0,1,1,0,0,0,1,1,0,2,3,1,5,27,0,8.0,0.5
258,258,0,1,5,0,0,0,0,0,1,2,2,1,1,1,4,0,1,10,1,5.0,0.3125
259,259,0,4,1,0,1,0,1,0,0,2,1,1,0,2,1,1,5,18,1,7.0,0.4375
260,260,1,4,7,0,0,0,1,0,3,3,2,1,1,1,1,1,2,29,0,5.0,0.3125
261,261,0,3,2,1,1,0,1,0,1,1,1,0,1,4,3,1,5,18,1,6.0,0.375
262,262,0,1,1,0,0,0,1,0,2,5,1,0,1,4,1,1,2,12,0,5.0,0.3125
263,263,0,4,3,1,0,0,1,0,2,1,1,0,0,2,4,1,2,18,1,5.0,0.3125
264,264,0,3,2,1,0,0,1,0,1,1,1,1,1,3,2,1,3,10,1,7.0,0.4375
265,265,0,2,3,1,1,0,1,0,1,2,2,0,1,4,3,1,4,25,1,6.0,0.375
266,266,0,1,1,1,0,0,0,1,3,0,0,1,1,4,1,1,3,13,1,9.0,0.5625
267,267,0,1,2,0,0,0,1,0,5,4,1,1,0,4,4,1,3,6,0,5.0,0.3125
268,268,1,1,4,0,1,0,1,0,4,2,1,1,1,2,2,1,3,23,0,8.0,0.5
269,269,0,3,4,0,0,1,1,0,1,4,0,0,1,2,3,1,5,17,1,7.0,0.4375
270,270,0,3,4,1,1,0,1,0,0,1,1,0,1,3,4,1,2,6,0,9.0,0.5625
