orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,lable (y),prince_o,gender_data,district_data,age,social_catagory
0,2,3,1,0,0,1,0,0,2,0,1,1,1,1,1,2,4,1,8,0.5,male,Bhavnagar,6-8 year,st
0,3,2,0,0,0,1,0,0,2,0,1,1,2,2,1,3,18,0,8,0.5,female,Gandhinagar,8-11 year,general
1,3,2,0,1,0,0,0,4,3,1,1,1,1,3,1,4,1,1,6,0.375,male,Ahmedabad,11-14 year,general
0,2,1,1,0,0,0,1,1,2,0,1,0,3,4,1,5,20,1,9,0.5625,male,Dahod,14-18 year,st
0,3,5,1,0,0,1,0,5,5,0,0,0,3,1,1,5,8,1,7,0.4375,male,Banaskantha,14-18 year,general
0,3,7,0,0,0,1,1,4,4,2,1,1,2,4,1,1,8,1,8,0.5,male,Banaskantha,3-6 year,general
0,1,6,0,0,0,0,0,5,1,0,1,1,1,1,1,2,33,0,5,0.3125,female,Lunavada,6-8 year,sc
0,2,5,0,0,0,0,0,1,3,0,0,1,1,1,1,2,25,1,5,0.3125,male,Porbander,6-8 year,st
0,3,4,0,1,1,1,0,1,0,1,1,1,2,1,1,2,5,1,9,0.5625,male,Surat,6-8 year,general
0,4,2,0,0,0,1,0,3,4,2,1,0,2,4,1,5,17,0,5,0.3125,female,Panchmahal,14-18 year,ews
0,3,1,0,0,1,1,0,0,1,2,1,1,1,4,1,4,14,0,9,0.5625,female,Amreli,11-14 year,general
1,4,1,0,0,0,0,0,2,5,2,1,1,4,1,1,2,21,1,5,0.3125,male,Navsari,6-8 year,ews
0,2,6,0,0,0,0,0,3,5,2,1,0,1,4,1,3,15,0,4,0.25,female,Valsad,8-11 year,st
0,2,3,1,0,1,0,0,1,3,1,0,0,4,2,1,5,3,0,4,0.25,female,Rajkot,14-18 year,st
0,3,7,0,0,1,1,0,0,2,2,1,1,3,4,1,4,32,1,9,0.5625,male,Chhota_Udepur,11-14 year,general
0,1,7,1,0,0,1,0,5,5,2,0,0,2,2,0,1,2,0,4,0.25,female,Mehsana,3-6 year,sc
0,3,1,0,0,0,0,0,0,2,1,1,1,1,2,1,5,4,1,6,0.375,male,Bhavnagar,14-18 year,general
0,4,2,0,0,0,1,0,3,1,0,1,1,4,3,1,1,22,0,5,0.3125,female,Narmada,3-6 year,ews
0,3,5,0,0,0,1,0,0,0,2,1,1,2,3,1,1,19,1,9,0.5625,male,Bardoli,3-6 year,general
0,1,7,0,0,0,1,0,0,4,1,0,1,4,2,1,2,3,0,5,0.3125,female,Rajkot,6-8 year,sc
0,1,5,1,0,0,1,0,2,0,1,0,1,3,3,1,3,14,1,8,0.5,male,Amreli,8-11 year,sc
0,3,4,1,0,0,1,0,5,0,0,1,1,1,4,1,4,2,0,9,0.5625,female,Mehsana,11-14 year,general
1,1,7,0,0,1,1,0,4,2,0,0,0,4,1,1,1,18,0,6,0.375,female,Gandhinagar,3-6 year,sc
1,3,5,1,0,0,1,0,3,0,2,1,1,4,2,1,1,8,0,9,0.5625,female,Banaskantha,3-6 year,general
0,3,7,0,0,1,1,0,4,3,0,0,1,4,2,1,1,29,0,6,0.375,female,Modasa,3-6 year,general
0,2,2,0,0,0,1,1,0,2,2,1,0,1,1,0,5,33,0,5,0.3125,female,Lunavada,14-18 year,st
1,3,5,0,0,0,0,0,3,4,1,0,1,2,4,1,5,22,1,7,0.4375,male,Narmada,14-18 year,general
1,3,1,0,0,0,0,0,1,1,0,0,1,2,1,1,4,25,1,7,0.4375,male,Porbander,11-14 year,general
0,4,6,1,0,0,1,0,5,3,2,1,0,2,2,1,1,23,1,5,0.3125,male,Anand,3-6 year,ews
0,3,6,0,0,0,1,0,1,0,0,1,1,2,4,0,4,15,0,8,0.5,female,Valsad,11-14 year,general
0,2,1,0,0,0,1,0,4,0,1,0,1,3,1,0,2,25,0,6,0.375,female,Porbander,6-8 year,st
0,4,5,0,1,1,0,0,4,5,0,0,0,3,4,0,1,14,0,6,0.375,female,Amreli,3-6 year,ews
1,4,4,0,0,0,0,0,1,5,2,0,1,4,4,0,2,10,0,3,0.1875,female,Jamnagar,6-8 year,ews
1,3,3,1,0,1,1,0,5,5,1,1,0,2,3,0,3,5,0,7,0.4375,female,Surat,8-11 year,general
0,3,6,0,0,0,1,0,4,1,1,1,1,3,4,1,2,17,1,7,0.4375,male,Panchmahal,6-8 year,general
0,1,3,0,0,0,0,0,3,4,1,1,1,4,4,1,1,20,1,5,0.3125,male,Dahod,3-6 year,sc
1,4,6,0,1,0,1,0,3,2,0,1,1,2,3,1,5,13,1,8,0.5,male,Surendranagar,14-18 year,ews
0,4,3,0,0,0,0,0,2,1,2,1,0,2,4,1,2,27,0,4,0.25,female,Ahmedabad_East,6-8 year,ews
0,1,1,1,0,1,0,1,3,3,0,0,1,2,4,1,4,28,1,10,0.625,male,Aahwa,11-14 year,sc
0,4,2,0,0,1,1,0,3,0,1,0,1,3,2,1,2,9,1,6,0.375,male,Sabarkantha,6-8 year,ews
1,4,1,0,0,0,1,0,2,4,1,1,0,4,4,0,2,29,0,5,0.3125,female,Modasa,6-8 year,ews
0,4,1,0,0,0,1,0,0,4,2,0,1,2,3,1,3,14,0,6,0.375,female,Amreli,8-11 year,ews
0,3,2,0,0,1,0,0,5,5,0,0,1,1,2,1,5,22,1,5,0.3125,male,Narmada,14-18 year,general
0,1,5,1,0,0,1,0,5,4,1,0,0,4,1,0,1,10,0,4,0.25,female,Jamnagar,3-6 year,sc
0,1,7,0,0,0,1,0,1,0,2,0,1,1,3,0,2,16,0,4,0.25,female,Bharuch,6-8 year,sc
0,2,2,0,1,1,1,0,5,2,0,0,1,2,3,1,3,6,0,8,0.5,female,Vadodara,8-11 year,st
0,2,2,0,0,1,1,0,0,1,1,0,1,1,1,1,2,10,0,6,0.375,female,Jamnagar,6-8 year,st
0,2,2,0,0,0,1,1,5,3,0,0,1,3,2,1,2,28,1,7,0.4375,male,Aahwa,6-8 year,st
1,4,7,1,0,0,1,0,5,4,2,0,1,3,1,0,1,1,0,5,0.3125,female,Ahmedabad,3-6 year,ews
0,4,3,0,0,0,1,0,0,2,0,0,1,1,3,1,3,12,1,5,0.3125,male,Kutch,8-11 year,ews
0,1,5,0,0,0,1,1,1,2,2,1,1,4,3,1,1,30,1,7,0.4375,male,Veraval,3-6 year,sc
0,2,3,0,0,0,1,0,3,3,2,0,0,3,1,0,5,25,0,3,0.1875,female,Porbander,14-18 year,st
0,2,4,0,0,0,0,0,3,1,2,0,1,4,2,1,3,31,0,3,0.1875,female,Botad,8-11 year,st
1,1,3,1,0,0,1,0,4,0,2,0,1,2,2,1,3,20,1,8,0.5,male,Dahod,8-11 year,sc
1,1,1,0,0,0,1,1,5,1,1,0,1,2,2,1,2,7,1,8,0.5,male,Kheda,6-8 year,sc
0,1,5,1,1,0,1,0,2,2,1,1,1,3,2,1,2,32,0,9,0.5625,female,Chhota_Udepur,6-8 year,sc
0,1,5,0,0,1,1,0,1,1,0,0,1,4,2,1,5,27,1,7,0.4375,male,Ahmedabad_East,14-18 year,sc
0,2,2,0,0,0,1,0,4,0,0,0,0,4,3,1,3,28,0,5,0.3125,female,Aahwa,8-11 year,st
0,4,2,0,0,0,1,1,0,0,1,1,1,3,4,0,1,19,0,8,0.5,female,Bardoli,3-6 year,ews
0,4,7,0,0,0,1,0,0,3,0,0,1,1,2,1,3,6,1,5,0.3125,male,Vadodara,8-11 year,ews
0,2,2,0,1,0,1,1,5,3,0,0,1,2,3,1,3,12,1,8,0.5,male,Kutch,8-11 year,st
0,2,5,0,0,0,0,0,3,5,0,0,1,3,1,0,3,18,1,5,0.3125,male,Gandhinagar,8-11 year,st
0,4,6,1,0,0,1,0,3,0,2,1,1,1,3,1,4,12,1,6,0.375,male,Kutch,11-14 year,ews
1,1,5,0,0,0,0,0,4,4,2,0,1,4,2,1,3,25,1,5,0.3125,male,Porbander,8-11 year,sc
0,2,4,1,0,0,0,1,4,3,1,1,1,4,4,1,5,16,1,7,0.4375,male,Bharuch,14-18 year,st
0,3,4,1,1,0,1,0,2,3,2,1,1,4,1,1,2,24,1,7,0.4375,male,Patan,6-8 year,general
0,2,4,0,1,1,1,0,0,4,2,0,1,2,1,1,1,30,1,8,0.5,male,Veraval,3-6 year,st
1,2,6,0,0,0,0,0,3,3,0,0,1,1,1,1,5,26,0,5,0.3125,female,Vyara,14-18 year,st
1,3,3,0,0,0,0,1,0,4,0,0,1,3,4,1,5,31,0,9,0.5625,female,Botad,14-18 year,general
1,1,4,0,0,0,1,0,3,4,1,0,1,2,1,0,5,27,0,5,0.3125,female,Ahmedabad_East,14-18 year,sc
0,4,1,0,1,0,0,0,1,2,1,0,1,2,4,1,5,17,0,6,0.375,female,Panchmahal,14-18 year,ews
0,4,5,0,1,0,0,0,1,1,1,1,1,1,2,1,5,16,0,5,0.3125,female,Bharuch,14-18 year,ews
0,4,1,0,0,0,1,0,4,0,0,1,1,2,1,1,1,30,1,8,0.5,male,Veraval,3-6 year,ews
1,1,5,0,0,0,1,0,1,5,1,1,0,3,4,0,5,5,1,7,0.4375,male,Surat,14-18 year,sc
0,3,4,0,0,0,1,0,5,5,2,1,1,2,1,0,4,11,0,5,0.3125,female,Junagadh,11-14 year,general
0,3,1,1,0,0,1,0,1,4,0,0,0,2,1,1,4,20,1,7,0.4375,male,Dahod,11-14 year,general
0,2,7,0,0,0,1,0,5,0,1,1,0,3,1,1,5,29,1,6,0.375,male,Modasa,14-18 year,st
1,4,1,0,0,0,1,0,3,3,1,0,1,1,1,1,2,6,0,5,0.3125,female,Vadodara,6-8 year,ews
1,3,4,0,0,0,1,0,5,0,1,1,0,1,4,1,4,32,0,7,0.4375,female,Chhota_Udepur,11-14 year,general
1,3,3,0,0,0,1,0,1,3,1,0,1,4,1,1,5,25,0,5,0.3125,female,Porbander,14-18 year,general
1,3,7,0,0,0,1,0,2,5,2,1,1,3,4,1,1,25,1,8,0.5,male,Porbander,3-6 year,general
1,1,6,0,0,0,1,0,5,2,2,0,1,4,4,1,1,30,1,6,0.375,male,Veraval,3-6 year,sc
0,1,7,0,0,0,1,0,1,5,1,0,1,3,4,1,4,16,1,6,0.375,male,Bharuch,11-14 year,sc
0,1,5,0,0,0,1,0,5,5,2,1,0,1,3,1,3,22,1,5,0.3125,male,Narmada,8-11 year,sc
0,1,5,0,0,0,1,0,5,5,0,1,1,1,4,1,1,11,0,8,0.5,female,Junagadh,3-6 year,sc
0,4,6,0,1,0,1,0,5,4,0,0,1,1,3,0,1,24,1,4,0.25,male,Patan,3-6 year,ews
0,2,1,0,0,1,1,0,1,2,0,1,1,3,3,1,4,3,1,9,0.5625,male,Rajkot,11-14 year,st
0,1,4,1,0,0,1,0,4,1,0,1,1,2,3,0,4,14,1,7,0.4375,male,Amreli,11-14 year,sc
0,3,1,0,0,1,1,1,5,4,1,0,1,4,3,1,3,10,1,7,0.4375,male,Jamnagar,8-11 year,general
0,1,3,0,0,0,1,0,3,2,2,1,1,3,3,0,1,29,0,5,0.3125,female,Modasa,3-6 year,sc
0,3,7,1,0,0,0,0,2,0,1,0,1,1,3,0,5,1,0,4,0.25,female,Ahmedabad,14-18 year,general
1,2,3,0,0,0,0,0,3,3,0,0,0,3,4,0,5,25,0,5,0.3125,female,Porbander,14-18 year,st
0,3,5,0,0,0,1,0,0,2,1,0,1,2,2,1,4,13,1,7,0.4375,male,Surendranagar,11-14 year,general
0,2,5,0,0,0,0,0,4,2,1,0,1,1,4,0,4,32,0,4,0.25,female,Chhota_Udepur,11-14 year,st
0,3,7,1,1,1,1,0,0,2,1,1,0,3,4,1,1,12,1,10,0.625,male,Kutch,3-6 year,general
0,2,5,0,0,0,1,0,3,4,0,0,1,4,2,1,1,32,1,6,0.375,male,Chhota_Udepur,3-6 year,st
0,2,5,1,0,0,0,0,3,0,1,1,1,3,1,1,1,19,1,8,0.5,male,Bardoli,3-6 year,st
0,3,3,1,0,0,0,0,3,2,0,0,0,3,3,0,2,17,0,4,0.25,female,Panchmahal,6-8 year,general
0,1,6,0,1,0,1,0,3,1,0,0,1,1,4,1,5,6,1,7,0.4375,male,Vadodara,14-18 year,sc
0,4,2,0,0,1,0,0,5,5,2,1,1,2,3,1,3,28,0,5,0.3125,female,Aahwa,8-11 year,ews
0,4,6,0,0,0,1,0,0,3,2,0,1,1,2,1,4,15,1,4,0.25,male,Valsad,11-14 year,ews
0,1,7,0,1,1,0,0,3,5,0,0,1,4,3,1,2,24,0,6,0.375,female,Patan,6-8 year,sc
1,1,6,0,0,0,1,0,1,4,1,0,1,2,3,0,2,25,0,5,0.3125,female,Porbander,6-8 year,sc
0,1,1,0,0,0,1,0,3,5,0,1,1,2,1,1,1,4,0,8,0.5,female,Bhavnagar,3-6 year,sc
0,3,2,0,0,1,1,0,3,3,2,1,1,1,2,1,4,11,1,6,0.375,male,Junagadh,11-14 year,general
0,1,4,0,0,0,0,0,4,5,0,0,1,4,1,1,3,21,0,4,0.25,female,Navsari,8-11 year,sc
0,4,3,1,0,0,1,0,3,2,0,0,1,4,3,1,3,33,0,5,0.3125,female,Lunavada,8-11 year,ews
0,3,3,1,0,0,0,0,3,0,1,1,1,4,4,1,3,22,1,7,0.4375,male,Narmada,8-11 year,general
0,2,7,0,1,0,1,0,4,3,0,0,1,1,1,1,4,2,0,6,0.375,female,Mehsana,11-14 year,st
1,2,4,0,0,0,1,1,0,3,0,1,1,1,3,0,4,20,1,8,0.5,male,Dahod,11-14 year,st
0,2,7,1,0,0,1,0,2,3,2,0,1,3,2,1,3,19,0,6,0.375,female,Bardoli,8-11 year,st
0,4,2,0,0,0,1,0,2,3,2,0,0,4,3,1,2,12,1,2,0.125,male,Kutch,6-8 year,ews
1,2,2,0,1,0,1,0,5,0,0,1,1,3,1,1,5,5,1,10,0.625,male,Surat,14-18 year,st
0,4,1,0,0,0,1,0,2,2,1,1,1,4,4,1,5,24,0,6,0.375,female,Patan,14-18 year,ews
0,2,7,0,0,0,0,0,5,3,1,1,1,3,4,1,1,29,1,6,0.375,male,Modasa,3-6 year,st
0,4,7,0,1,0,1,0,2,5,1,0,0,1,3,1,2,9,0,3,0.1875,female,Sabarkantha,6-8 year,ews
0,3,2,1,0,1,1,1,3,3,0,1,1,1,2,1,4,12,0,9,0.5625,female,Kutch,11-14 year,general
0,2,2,0,0,1,1,0,5,4,0,1,1,2,2,0,3,11,0,7,0.4375,female,Junagadh,8-11 year,st
0,1,2,0,0,0,0,0,5,3,2,1,1,1,1,1,4,8,1,4,0.25,male,Banaskantha,11-14 year,sc
0,4,6,1,0,0,0,1,4,3,0,1,1,4,3,0,2,26,1,5,0.3125,male,Vyara,6-8 year,ews
1,3,4,0,0,0,1,0,2,5,2,0,1,4,3,1,1,10,1,5,0.3125,male,Jamnagar,3-6 year,general
1,1,7,0,0,0,1,0,2,2,1,1,0,1,3,1,1,7,1,5,0.3125,male,Kheda,3-6 year,sc
0,2,2,1,0,0,1,0,4,3,2,1,1,3,1,0,4,19,0,6,0.375,female,Bardoli,11-14 year,st
0,1,6,0,0,0,1,0,3,2,2,1,0,4,4,1,4,20,1,5,0.3125,male,Dahod,11-14 year,sc
0,1,2,0,1,0,1,1,4,4,2,0,1,2,1,1,5,9,1,7,0.4375,male,Sabarkantha,14-18 year,sc
0,2,1,0,1,0,1,0,5,4,1,0,1,4,3,0,5,4,1,5,0.3125,male,Bhavnagar,14-18 year,st
1,4,6,1,0,0,1,0,5,4,0,1,1,4,3,1,4,16,0,7,0.4375,female,Bharuch,11-14 year,ews
0,2,5,0,0,0,1,0,4,0,1,0,1,1,4,1,5,20,0,7,0.4375,female,Dahod,14-18 year,st
0,3,5,0,0,0,0,0,2,3,1,1,1,1,3,1,2,26,0,5,0.3125,female,Vyara,6-8 year,general
0,4,5,0,0,0,1,1,0,2,2,1,1,3,1,1,2,20,1,8,0.5,male,Dahod,6-8 year,ews
0,3,4,0,0,0,1,0,4,0,2,1,1,4,3,1,4,23,1,6,0.375,male,Anand,11-14 year,general
0,4,6,0,0,0,1,1,3,0,1,0,1,2,3,0,3,10,0,5,0.3125,female,Jamnagar,8-11 year,ews
0,4,7,0,0,0,1,0,0,5,2,0,1,4,4,1,2,28,0,5,0.3125,female,Aahwa,6-8 year,ews
0,2,6,1,0,0,1,1,4,3,1,0,1,4,1,1,2,21,0,6,0.375,female,Navsari,6-8 year,st
0,3,3,0,0,0,1,0,3,0,1,1,1,4,2,1,4,3,0,6,0.375,female,Rajkot,11-14 year,general
0,3,3,0,0,1,1,0,1,3,2,0,1,2,3,1,4,2,1,6,0.375,male,Mehsana,11-14 year,general
0,4,1,0,0,1,1,0,0,1,2,1,0,1,3,1,3,30,0,6,0.375,female,Veraval,8-11 year,ews
1,2,2,1,0,1,1,0,1,1,2,1,1,3,1,1,4,12,0,9,0.5625,female,Kutch,11-14 year,st
0,4,1,0,0,1,0,0,5,0,2,1,0,2,1,1,5,25,1,6,0.375,male,Porbander,14-18 year,ews
1,2,7,0,0,1,1,0,0,3,0,1,1,4,4,1,3,29,1,10,0.625,male,Modasa,8-11 year,st
1,2,6,1,0,0,0,0,5,2,1,1,1,2,4,0,4,6,1,7,0.4375,male,Vadodara,11-14 year,st
0,4,7,0,0,1,1,0,4,2,0,1,1,2,4,1,1,1,1,8,0.5,male,Ahmedabad,3-6 year,ews
0,1,2,0,0,0,1,0,1,0,1,0,1,2,4,0,5,14,0,6,0.375,female,Amreli,14-18 year,sc
0,1,3,0,0,0,1,0,0,2,1,0,1,1,4,1,5,23,1,6,0.375,male,Anand,14-18 year,sc
1,4,2,0,0,0,0,0,4,3,0,0,1,2,3,1,5,15,0,5,0.3125,female,Valsad,14-18 year,ews
0,3,4,0,1,0,1,0,5,4,0,0,1,3,1,0,1,32,1,6,0.375,male,Chhota_Udepur,3-6 year,general
0,3,3,0,0,1,1,0,1,5,2,1,1,4,3,0,2,33,0,5,0.3125,female,Lunavada,6-8 year,general
0,2,7,0,0,0,1,0,5,1,2,0,1,4,2,0,3,21,0,3,0.1875,female,Navsari,8-11 year,st
0,2,2,1,0,0,1,0,5,0,2,1,1,2,3,1,1,10,1,8,0.5,male,Jamnagar,3-6 year,st
0,1,5,0,0,0,0,0,2,3,1,0,1,3,4,1,3,3,1,6,0.375,male,Rajkot,8-11 year,sc
1,2,7,1,0,0,1,0,1,0,1,1,1,3,4,1,5,9,0,10,0.625,female,Sabarkantha,14-18 year,st
1,2,2,0,0,0,0,0,0,4,0,1,1,1,1,1,1,7,1,7,0.4375,male,Kheda,3-6 year,st
0,3,1,0,0,0,1,0,5,1,1,1,1,1,3,1,5,27,1,6,0.375,male,Ahmedabad_East,14-18 year,general
0,4,4,1,0,1,1,0,4,3,1,1,1,2,2,1,1,26,1,7,0.4375,male,Vyara,3-6 year,ews
0,4,5,0,1,1,0,0,4,4,0,0,0,3,3,1,3,14,1,6,0.375,male,Amreli,8-11 year,ews
0,4,1,0,0,1,1,0,1,0,2,1,1,3,1,0,5,6,1,7,0.4375,male,Vadodara,14-18 year,ews
0,1,6,0,1,1,1,0,4,4,1,1,0,3,4,1,4,2,0,8,0.5,female,Mehsana,11-14 year,sc
0,3,5,0,1,1,1,0,4,3,1,0,1,4,1,1,5,9,0,7,0.4375,female,Sabarkantha,14-18 year,general
0,4,3,0,1,0,1,1,0,0,0,0,0,1,4,1,1,24,1,8,0.5,male,Patan,3-6 year,ews
0,3,7,0,0,0,1,0,1,4,0,0,1,3,3,0,1,4,0,5,0.3125,female,Bhavnagar,3-6 year,general
0,1,6,0,0,0,1,1,5,0,0,0,0,2,4,1,5,9,1,8,0.5,male,Sabarkantha,14-18 year,sc
0,4,6,1,0,0,1,0,5,2,1,1,1,4,3,1,5,28,1,5,0.3125,male,Aahwa,14-18 year,ews
0,4,3,1,0,0,1,0,4,5,0,1,1,4,4,1,2,33,1,7,0.4375,male,Lunavada,6-8 year,ews
0,1,4,0,0,0,0,0,4,2,0,1,1,1,4,1,3,20,0,6,0.375,female,Dahod,8-11 year,sc
1,2,4,0,0,0,1,0,0,1,0,0,1,3,2,1,5,29,0,8,0.5,female,Modasa,14-18 year,st
0,3,5,0,0,0,0,1,5,2,2,1,0,4,2,0,1,29,0,4,0.25,female,Modasa,3-6 year,general
0,4,2,1,0,0,1,0,2,5,2,0,1,4,1,1,4,12,0,4,0.25,female,Kutch,11-14 year,ews
0,2,6,0,0,0,0,0,3,4,0,1,1,4,2,1,1,13,1,5,0.3125,male,Surendranagar,3-6 year,st
0,2,3,0,0,1,1,0,3,5,2,1,1,2,4,1,1,24,0,8,0.5,female,Patan,3-6 year,st
1,1,3,0,0,0,1,0,4,2,1,0,1,2,3,1,3,33,0,6,0.375,female,Lunavada,8-11 year,sc
0,2,1,0,0,0,1,0,1,5,0,1,1,3,2,1,3,17,1,8,0.5,male,Panchmahal,8-11 year,st
0,2,2,0,0,0,1,0,4,1,1,0,1,2,4,1,5,3,0,6,0.375,female,Rajkot,14-18 year,st
0,2,4,0,0,0,1,0,0,2,0,1,1,3,1,1,4,24,1,8,0.5,male,Patan,11-14 year,st
0,4,5,0,0,0,1,0,3,4,2,1,1,2,2,1,1,30,1,6,0.375,male,Veraval,3-6 year,ews
0,1,1,0,1,0,1,0,2,2,1,1,0,2,4,1,5,13,1,8,0.5,male,Surendranagar,14-18 year,sc
0,3,2,0,0,0,0,0,0,0,0,1,1,3,1,1,2,24,0,8,0.5,female,Patan,6-8 year,general
1,4,4,0,1,0,0,0,3,1,0,1,1,3,4,1,3,6,1,8,0.5,male,Vadodara,8-11 year,ews
