,Unnamed: 0.1,Unnamed: 0,Index,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,label,Dropped,dropped
32,32,32,32,1,2,2,0,0,0,1,0,3,0,2,1,1,4,2,1,2,5,0,7,0,1
33,33,33,33,0,2,4,0,0,1,1,0,2,5,1,1,1,2,1,1,1,16,1,7,0,1
34,34,34,34,1,4,5,0,1,0,0,0,4,3,2,0,1,4,4,0,4,14,1,5,0,1
35,35,35,35,0,1,7,1,0,1,1,0,4,4,0,1,1,2,1,1,5,8,1,9,1,0
36,36,36,36,0,3,6,0,0,0,1,0,2,5,0,0,1,4,2,1,3,13,0,5,0,1
37,37,37,37,1,4,6,0,1,0,0,0,4,5,2,0,1,1,2,1,1,13,0,4,0,1
38,38,38,38,0,3,3,0,1,0,1,0,0,5,2,1,1,1,3,0,2,16,1,6,0,1
39,39,39,39,0,2,4,0,1,0,1,0,2,3,2,1,0,2,1,0,1,19,0,5,0,1
40,40,40,40,0,1,7,0,0,0,1,0,4,5,1,1,0,2,4,1,2,5,0,6,0,1
41,41,41,41,0,3,7,0,0,0,0,0,4,1,0,0,1,3,1,1,1,21,0,5,0,1
42,42,42,42,0,1,1,0,0,0,0,0,5,1,2,1,1,4,1,1,1,17,1,5,0,1
43,43,43,43,0,3,6,0,1,0,1,0,2,3,2,0,1,4,1,1,5,18,0,5,0,1
44,44,44,44,0,1,1,0,0,0,1,1,0,0,0,0,1,4,3,1,5,16,0,9,1,0
45,45,45,45,0,1,2,0,0,0,1,0,5,1,2,1,1,3,4,0,2,30,1,6,0,1
46,46,46,46,0,4,1,0,0,0,0,0,4,5,2,0,0,4,1,1,4,26,1,2,0,1
47,47,47,47,0,3,1,0,0,0,1,0,5,3,1,1,1,3,3,1,4,29,0,7,0,1
48,48,48,48,0,2,3,1,0,0,1,0,0,2,0,1,1,1,1,1,2,4,1,8,1,0
49,49,49,49,0,3,2,0,0,0,1,0,0,2,0,1,1,2,2,1,3,18,0,8,1,0
50,50,50,50,1,3,2,0,1,0,0,0,4,3,1,1,1,1,3,1,4,1,1,6,0,1
51,51,51,51,0,2,1,1,0,0,0,1,1,2,0,1,0,3,4,1,5,20,1,9,1,0
52,52,52,52,0,3,5,1,0,0,1,0,5,5,0,0,0,3,1,1,5,8,1,7,0,1
53,53,53,53,0,3,7,0,0,0,1,1,4,4,2,1,1,2,4,1,1,8,1,8,1,0
54,54,54,54,0,1,6,0,0,0,0,0,5,1,0,1,1,1,1,1,2,33,0,5,0,1
55,55,55,55,0,2,5,0,0,0,0,0,1,3,0,0,1,1,1,1,2,25,1,5,0,1
56,56,56,56,0,3,4,0,1,1,1,0,1,0,1,1,1,2,1,1,2,5,1,9,1,0
57,57,57,57,0,4,2,0,0,0,1,0,3,4,2,1,0,2,4,1,5,17,0,5,0,1
58,58,58,58,0,3,1,0,0,1,1,0,0,1,2,1,1,1,4,1,4,14,0,9,1,0
59,59,59,59,1,4,1,0,0,0,0,0,2,5,2,1,1,4,1,1,2,21,1,5,0,1
60,60,60,60,0,2,6,0,0,0,0,0,3,5,2,1,0,1,4,1,3,15,0,4,0,1
61,61,61,61,0,2,3,1,0,1,0,0,1,3,1,0,0,4,2,1,5,3,0,4,0,1
62,62,62,62,0,3,7,0,0,1,1,0,0,2,2,1,1,3,4,1,4,32,1,9,1,0
63,63,63,63,0,1,7,1,0,0,1,0,5,5,2,0,0,2,2,0,1,2,0,4,0,1
64,64,64,64,0,3,1,0,0,0,0,0,0,2,1,1,1,1,2,1,5,4,1,6,0,1
65,65,65,65,0,4,2,0,0,0,1,0,3,1,0,1,1,4,3,1,1,22,0,5,0,1
66,66,66,66,0,3,5,0,0,0,1,0,0,0,2,1,1,2,3,1,1,19,1,9,1,0
67,67,67,67,0,1,7,0,0,0,1,0,0,4,1,0,1,4,2,1,2,3,0,5,0,1
68,68,68,68,0,1,5,1,0,0,1,0,2,0,1,0,1,3,3,1,3,14,1,8,1,0
69,69,69,69,0,3,4,1,0,0,1,0,5,0,0,1,1,1,4,1,4,2,0,9,1,0
70,70,70,70,1,1,7,0,0,1,1,0,4,2,0,0,0,4,1,1,1,18,0,6,0,1
71,71,71,71,1,3,5,1,0,0,1,0,3,0,2,1,1,4,2,1,1,8,0,9,1,0
72,72,72,72,0,3,7,0,0,1,1,0,4,3,0,0,1,4,2,1,1,29,0,6,0,1
73,73,73,73,0,2,2,0,0,0,1,1,0,2,2,1,0,1,1,0,5,33,0,5,0,1
74,74,74,74,1,3,5,0,0,0,0,0,3,4,1,0,1,2,4,1,5,22,1,7,0,1
75,75,75,75,1,3,1,0,0,0,0,0,1,1,0,0,1,2,1,1,4,25,1,7,0,1
76,76,76,76,0,4,6,1,0,0,1,0,5,3,2,1,0,2,2,1,1,23,1,5,0,1
77,77,77,77,0,3,6,0,0,0,1,0,1,0,0,1,1,2,4,0,4,15,0,8,1,0
78,78,78,78,0,2,1,0,0,0,1,0,4,0,1,0,1,3,1,0,2,25,0,6,0,1
79,79,79,79,0,4,5,0,1,1,0,0,4,5,0,0,0,3,4,0,1,14,0,6,0,1
80,80,80,80,1,4,4,0,0,0,0,0,1,5,2,0,1,4,4,0,2,10,0,3,0,1
81,81,81,81,1,3,3,1,0,1,1,0,5,5,1,1,0,2,3,0,3,5,0,7,0,1
82,82,82,82,0,3,6,0,0,0,1,0,4,1,1,1,1,3,4,1,2,17,1,7,0,1
83,83,83,83,0,1,3,0,0,0,0,0,3,4,1,1,1,4,4,1,1,20,1,5,0,1
84,84,84,84,1,4,6,0,1,0,1,0,3,2,0,1,1,2,3,1,5,13,1,8,1,0
85,85,85,85,0,4,3,0,0,0,0,0,2,1,2,1,0,2,4,1,2,27,0,4,0,1
86,86,86,86,0,1,1,1,0,1,0,1,3,3,0,0,1,2,4,1,4,28,1,10,1,0
87,87,87,87,0,4,2,0,0,1,1,0,3,0,1,0,1,3,2,1,2,9,1,6,0,1
88,88,88,88,1,4,1,0,0,0,1,0,2,4,1,1,0,4,4,0,2,29,0,5,0,1
89,89,89,89,0,4,1,0,0,0,1,0,0,4,2,0,1,2,3,1,3,14,0,6,0,1
90,90,90,90,0,3,2,0,0,1,0,0,5,5,0,0,1,1,2,1,5,22,1,5,0,1
91,91,91,91,0,1,5,1,0,0,1,0,5,4,1,0,0,4,1,0,1,10,0,4,0,1
92,92,92,92,0,1,7,0,0,0,1,0,1,0,2,0,1,1,3,0,2,16,0,4,0,1
93,93,93,93,0,2,2,0,1,1,1,0,5,2,0,0,1,2,3,1,3,6,0,8,1,0
94,94,94,94,0,2,2,0,0,1,1,0,0,1,1,0,1,1,1,1,2,10,0,6,0,1
95,95,95,95,0,2,2,0,0,0,1,1,5,3,0,0,1,3,2,1,2,28,1,7,0,1
96,96,96,96,1,4,7,1,0,0,1,0,5,4,2,0,1,3,1,0,1,1,0,5,0,1
97,97,97,97,0,4,3,0,0,0,1,0,0,2,0,0,1,1,3,1,3,12,1,5,0,1
98,98,98,98,0,1,5,0,0,0,1,1,1,2,2,1,1,4,3,1,1,30,1,7,0,1
99,99,99,99,0,2,3,0,0,0,1,0,3,3,2,0,0,3,1,0,5,25,0,3,0,1
100,100,100,100,0,2,4,0,0,0,0,0,3,1,2,0,1,4,2,1,3,31,0,3,0,1
101,101,101,101,1,1,3,1,0,0,1,0,4,0,2,0,1,2,2,1,3,20,1,8,1,0
102,102,102,102,1,1,1,0,0,0,1,1,5,1,1,0,1,2,2,1,2,7,1,8,1,0
103,103,103,103,0,1,5,1,1,0,1,0,2,2,1,1,1,3,2,1,2,32,0,9,1,0
104,104,104,104,0,1,5,0,0,1,1,0,1,1,0,0,1,4,2,1,5,27,1,7,0,1
105,105,105,105,0,2,2,0,0,0,1,0,4,0,0,0,0,4,3,1,3,28,0,5,0,1
106,106,106,106,0,4,2,0,0,0,1,1,0,0,1,1,1,3,4,0,1,19,0,8,1,0
107,107,107,107,0,4,7,0,0,0,1,0,0,3,0,0,1,1,2,1,3,6,1,5,0,1
108,108,108,108,0,2,2,0,1,0,1,1,5,3,0,0,1,2,3,1,3,12,1,8,1,0
109,109,109,109,0,2,5,0,0,0,0,0,3,5,0,0,1,3,1,0,3,18,1,5,0,1
110,110,110,110,0,4,6,1,0,0,1,0,3,0,2,1,1,1,3,1,4,12,1,6,0,1
111,111,111,111,1,1,5,0,0,0,0,0,4,4,2,0,1,4,2,1,3,25,1,5,0,1
112,112,112,112,0,2,4,1,0,0,0,1,4,3,1,1,1,4,4,1,5,16,1,7,0,1
113,113,113,113,0,3,4,1,1,0,1,0,2,3,2,1,1,4,1,1,2,24,1,7,0,1
114,114,114,114,0,2,4,0,1,1,1,0,0,4,2,0,1,2,1,1,1,30,1,8,1,0
115,115,115,115,1,2,6,0,0,0,0,0,3,3,0,0,1,1,1,1,5,26,0,5,0,1
116,116,116,116,1,3,3,0,0,0,0,1,0,4,0,0,1,3,4,1,5,31,0,9,1,0
117,117,117,117,1,1,4,0,0,0,1,0,3,4,1,0,1,2,1,0,5,27,0,5,0,1
118,118,118,118,0,4,1,0,1,0,0,0,1,2,1,0,1,2,4,1,5,17,0,6,0,1
119,119,119,119,0,4,5,0,1,0,0,0,1,1,1,1,1,1,2,1,5,16,0,5,0,1
120,120,120,120,0,4,1,0,0,0,1,0,4,0,0,1,1,2,1,1,1,30,1,8,1,0
121,121,121,121,1,1,5,0,0,0,1,0,1,5,1,1,0,3,4,0,5,5,1,7,0,1
122,122,122,122,0,3,4,0,0,0,1,0,5,5,2,1,1,2,1,0,4,11,0,5,0,1
123,123,123,123,0,3,1,1,0,0,1,0,1,4,0,0,0,2,1,1,4,20,1,7,0,1
124,124,124,124,0,2,7,0,0,0,1,0,5,0,1,1,0,3,1,1,5,29,1,6,0,1
125,125,125,125,1,4,1,0,0,0,1,0,3,3,1,0,1,1,1,1,2,6,0,5,0,1
126,126,126,126,1,3,4,0,0,0,1,0,5,0,1,1,0,1,4,1,4,32,0,7,0,1
127,127,127,127,1,3,3,0,0,0,1,0,1,3,1,0,1,4,1,1,5,25,0,5,0,1
128,128,128,128,1,3,7,0,0,0,1,0,2,5,2,1,1,3,4,1,1,25,1,8,1,0
129,129,129,129,1,1,6,0,0,0,1,0,5,2,2,0,1,4,4,1,1,30,1,6,0,1
130,130,130,130,0,1,7,0,0,0,1,0,1,5,1,0,1,3,4,1,4,16,1,6,0,1
131,131,131,131,0,1,5,0,0,0,1,0,5,5,2,1,0,1,3,1,3,22,1,5,0,1
132,132,132,132,0,1,5,0,0,0,1,0,5,5,0,1,1,1,4,1,1,11,0,8,1,0
133,133,133,133,0,4,6,0,1,0,1,0,5,4,0,0,1,1,3,0,1,24,1,4,0,1
134,134,134,134,0,2,1,0,0,1,1,0,1,2,0,1,1,3,3,1,4,3,1,9,1,0
135,135,135,135,0,1,4,1,0,0,1,0,4,1,0,1,1,2,3,0,4,14,1,7,0,1
136,136,136,136,0,3,1,0,0,1,1,1,5,4,1,0,1,4,3,1,3,10,1,7,0,1
137,137,137,137,0,1,3,0,0,0,1,0,3,2,2,1,1,3,3,0,1,29,0,5,0,1
138,138,138,138,0,3,7,1,0,0,0,0,2,0,1,0,1,1,3,0,5,1,0,4,0,1
139,139,139,139,1,2,3,0,0,0,0,0,3,3,0,0,0,3,4,0,5,25,0,5,0,1
140,140,140,140,0,3,5,0,0,0,1,0,0,2,1,0,1,2,2,1,4,13,1,7,0,1
141,141,141,141,0,2,5,0,0,0,0,0,4,2,1,0,1,1,4,0,4,32,0,4,0,1
142,142,142,142,0,3,7,1,1,1,1,0,0,2,1,1,0,3,4,1,1,12,1,10,1,0
143,143,143,143,0,2,5,0,0,0,1,0,3,4,0,0,1,4,2,1,1,32,1,6,0,1
144,144,144,144,0,2,5,1,0,0,0,0,3,0,1,1,1,3,1,1,1,19,1,8,1,0
145,145,145,145,0,3,3,1,0,0,0,0,3,2,0,0,0,3,3,0,2,17,0,4,0,1
146,146,146,146,0,1,6,0,1,0,1,0,3,1,0,0,1,1,4,1,5,6,1,7,0,1
147,147,147,147,0,4,2,0,0,1,0,0,5,5,2,1,1,2,3,1,3,28,0,5,0,1
148,148,148,148,0,4,6,0,0,0,1,0,0,3,2,0,1,1,2,1,4,15,1,4,0,1
149,149,149,149,0,1,7,0,1,1,0,0,3,5,0,0,1,4,3,1,2,24,0,6,0,1
150,150,150,150,1,1,6,0,0,0,1,0,1,4,1,0,1,2,3,0,2,25,0,5,0,1
151,151,151,151,0,1,1,0,0,0,1,0,3,5,0,1,1,2,1,1,1,4,0,8,1,0
152,152,152,152,0,3,2,0,0,1,1,0,3,3,2,1,1,1,2,1,4,11,1,6,0,1
153,153,153,153,0,1,4,0,0,0,0,0,4,5,0,0,1,4,1,1,3,21,0,4,0,1
154,154,154,154,0,4,3,1,0,0,1,0,3,2,0,0,1,4,3,1,3,33,0,5,0,1
155,155,155,155,0,3,3,1,0,0,0,0,3,0,1,1,1,4,4,1,3,22,1,7,0,1
156,156,156,156,0,2,7,0,1,0,1,0,4,3,0,0,1,1,1,1,4,2,0,6,0,1
157,157,157,157,1,2,4,0,0,0,1,1,0,3,0,1,1,1,3,0,4,20,1,8,1,0
158,158,158,158,0,2,7,1,0,0,1,0,2,3,2,0,1,3,2,1,3,19,0,6,0,1
159,159,159,159,0,4,2,0,0,0,1,0,2,3,2,0,0,4,3,1,2,12,1,2,0,1
160,160,160,160,1,2,2,0,1,0,1,0,5,0,0,1,1,3,1,1,5,5,1,10,1,0
161,161,161,161,0,4,1,0,0,0,1,0,2,2,1,1,1,4,4,1,5,24,0,6,0,1
162,162,162,162,0,2,7,0,0,0,0,0,5,3,1,1,1,3,4,1,1,29,1,6,0,1
163,163,163,163,0,4,7,0,1,0,1,0,2,5,1,0,0,1,3,1,2,9,0,3,0,1
164,164,164,164,0,3,2,1,0,1,1,1,3,3,0,1,1,1,2,1,4,12,0,9,1,0
165,165,165,165,0,2,2,0,0,1,1,0,5,4,0,1,1,2,2,0,3,11,0,7,0,1
166,166,166,166,0,1,2,0,0,0,0,0,5,3,2,1,1,1,1,1,4,8,1,4,0,1
167,167,167,167,0,4,6,1,0,0,0,1,4,3,0,1,1,4,3,0,2,26,1,5,0,1
168,168,168,168,1,3,4,0,0,0,1,0,2,5,2,0,1,4,3,1,1,10,1,5,0,1
169,169,169,169,1,1,7,0,0,0,1,0,2,2,1,1,0,1,3,1,1,7,1,5,0,1
170,170,170,170,0,2,2,1,0,0,1,0,4,3,2,1,1,3,1,0,4,19,0,6,0,1
171,171,171,171,0,1,6,0,0,0,1,0,3,2,2,1,0,4,4,1,4,20,1,5,0,1
172,172,172,172,0,1,2,0,1,0,1,1,4,4,2,0,1,2,1,1,5,9,1,7,0,1
173,173,173,173,0,2,1,0,1,0,1,0,5,4,1,0,1,4,3,0,5,4,1,5,0,1
174,174,174,174,1,4,6,1,0,0,1,0,5,4,0,1,1,4,3,1,4,16,0,7,0,1
175,175,175,175,0,2,5,0,0,0,1,0,4,0,1,0,1,1,4,1,5,20,0,7,0,1
176,176,176,176,0,3,5,0,0,0,0,0,2,3,1,1,1,1,3,1,2,26,0,5,0,1
177,177,177,177,0,4,5,0,0,0,1,1,0,2,2,1,1,3,1,1,2,20,1,8,1,0
178,178,178,178,0,3,4,0,0,0,1,0,4,0,2,1,1,4,3,1,4,23,1,6,0,1
179,179,179,179,0,4,6,0,0,0,1,1,3,0,1,0,1,2,3,0,3,10,0,5,0,1
180,180,180,180,0,4,7,0,0,0,1,0,0,5,2,0,1,4,4,1,2,28,0,5,0,1
181,181,181,181,0,2,6,1,0,0,1,1,4,3,1,0,1,4,1,1,2,21,0,6,0,1
182,182,182,182,0,3,3,0,0,0,1,0,3,0,1,1,1,4,2,1,4,3,0,6,0,1
183,183,183,183,0,3,3,0,0,1,1,0,1,3,2,0,1,2,3,1,4,2,1,6,0,1
184,184,184,184,0,4,1,0,0,1,1,0,0,1,2,1,0,1,3,1,3,30,0,6,0,1
185,185,185,185,1,2,2,1,0,1,1,0,1,1,2,1,1,3,1,1,4,12,0,9,1,0
186,186,186,186,0,4,1,0,0,1,0,0,5,0,2,1,0,2,1,1,5,25,1,6,0,1
187,187,187,187,1,2,7,0,0,1,1,0,0,3,0,1,1,4,4,1,3,29,1,10,1,0
188,188,188,188,1,2,6,1,0,0,0,0,5,2,1,1,1,2,4,0,4,6,1,7,0,1
189,189,189,189,0,4,7,0,0,1,1,0,4,2,0,1,1,2,4,1,1,1,1,8,1,0
190,190,190,190,0,1,2,0,0,0,1,0,1,0,1,0,1,2,4,0,5,14,0,6,0,1
191,191,191,191,0,1,3,0,0,0,1,0,0,2,1,0,1,1,4,1,5,23,1,6,0,1
192,192,192,192,1,4,2,0,0,0,0,0,4,3,0,0,1,2,3,1,5,15,0,5,0,1
193,193,193,193,0,3,4,0,1,0,1,0,5,4,0,0,1,3,1,0,1,32,1,6,0,1
194,194,194,194,0,3,3,0,0,1,1,0,1,5,2,1,1,4,3,0,2,33,0,5,0,1
195,195,195,195,0,2,7,0,0,0,1,0,5,1,2,0,1,4,2,0,3,21,0,3,0,1
196,196,196,196,0,2,2,1,0,0,1,0,5,0,2,1,1,2,3,1,1,10,1,8,1,0
197,197,197,197,0,1,5,0,0,0,0,0,2,3,1,0,1,3,4,1,3,3,1,6,0,1
198,198,198,198,1,2,7,1,0,0,1,0,1,0,1,1,1,3,4,1,5,9,0,10,1,0
199,199,199,199,1,2,2,0,0,0,0,0,0,4,0,1,1,1,1,1,1,7,1,7,0,1
200,200,200,200,0,3,1,0,0,0,1,0,5,1,1,1,1,1,3,1,5,27,1,6,0,1
201,201,201,201,0,4,4,1,0,1,1,0,4,3,1,1,1,2,2,1,1,26,1,7,0,1
202,202,202,202,0,4,5,0,1,1,0,0,4,4,0,0,0,3,3,1,3,14,1,6,0,1
203,203,203,203,0,4,1,0,0,1,1,0,1,0,2,1,1,3,1,0,5,6,1,7,0,1
204,204,204,204,0,1,6,0,1,1,1,0,4,4,1,1,0,3,4,1,4,2,0,8,1,0
205,205,205,205,0,3,5,0,1,1,1,0,4,3,1,0,1,4,1,1,5,9,0,7,0,1
206,206,206,206,0,4,3,0,1,0,1,1,0,0,0,0,0,1,4,1,1,24,1,8,1,0
207,207,207,207,0,3,7,0,0,0,1,0,1,4,0,0,1,3,3,0,1,4,0,5,0,1
208,208,208,208,0,1,6,0,0,0,1,1,5,0,0,0,0,2,4,1,5,9,1,8,1,0
209,209,209,209,0,4,6,1,0,0,1,0,5,2,1,1,1,4,3,1,5,28,1,5,0,1
210,210,210,210,0,4,3,1,0,0,1,0,4,5,0,1,1,4,4,1,2,33,1,7,0,1
211,211,211,211,0,1,4,0,0,0,0,0,4,2,0,1,1,1,4,1,3,20,0,6,0,1
212,212,212,212,1,2,4,0,0,0,1,0,0,1,0,0,1,3,2,1,5,29,0,8,1,0
213,213,213,213,0,3,5,0,0,0,0,1,5,2,2,1,0,4,2,0,1,29,0,4,0,1
214,214,214,214,0,4,2,1,0,0,1,0,2,5,2,0,1,4,1,1,4,12,0,4,0,1
215,215,215,215,0,2,6,0,0,0,0,0,3,4,0,1,1,4,2,1,1,13,1,5,0,1
216,216,216,216,0,2,3,0,0,1,1,0,3,5,2,1,1,2,4,1,1,24,0,8,1,0
217,217,217,217,1,1,3,0,0,0,1,0,4,2,1,0,1,2,3,1,3,33,0,6,0,1
218,218,218,218,0,2,1,0,0,0,1,0,1,5,0,1,1,3,2,1,3,17,1,8,1,0
219,219,219,219,0,2,2,0,0,0,1,0,4,1,1,0,1,2,4,1,5,3,0,6,0,1
220,220,220,220,0,2,4,0,0,0,1,0,0,2,0,1,1,3,1,1,4,24,1,8,1,0
221,221,221,221,0,4,5,0,0,0,1,0,3,4,2,1,1,2,2,1,1,30,1,6,0,1
222,222,222,222,0,1,1,0,1,0,1,0,2,2,1,1,0,2,4,1,5,13,1,8,1,0
223,223,223,223,0,3,2,0,0,0,0,0,0,0,0,1,1,3,1,1,2,24,0,8,1,0
224,224,224,224,1,4,4,0,1,0,0,0,3,1,0,1,1,3,4,1,3,6,1,8,1,0
225,225,225,225,0,1,7,0,0,0,1,0,3,3,0,1,1,3,3,1,3,16,1,7,0,1
226,226,226,226,1,4,3,0,0,0,1,0,4,4,0,1,1,1,2,1,4,7,0,6,0,1
227,227,227,227,0,4,3,0,0,1,1,0,5,1,0,1,1,1,3,0,3,28,0,5,0,1
228,228,228,228,0,1,7,0,0,0,1,0,5,3,2,1,1,1,3,1,3,30,0,5,0,1
229,229,229,229,0,2,7,0,0,0,1,0,2,0,2,1,1,1,3,1,2,25,1,6,0,1
230,230,230,230,0,1,6,1,1,0,1,0,0,3,2,1,0,4,4,1,5,10,1,8,1,0
231,231,231,231,0,2,2,0,1,0,1,0,2,2,1,1,1,3,3,1,3,11,0,7,0,1
232,232,232,232,0,1,4,0,0,0,1,0,1,2,2,1,1,1,1,1,4,19,1,5,0,1
233,233,233,233,0,3,3,1,0,0,1,0,4,5,2,0,1,2,1,1,1,31,0,6,0,1
234,234,234,234,0,4,5,1,0,0,1,0,5,2,2,1,0,3,3,0,2,5,1,5,0,1
235,235,235,235,1,1,7,0,0,1,1,0,1,3,1,1,1,3,4,1,2,28,1,9,1,0
236,236,236,236,0,2,2,0,0,0,1,1,4,4,2,1,0,4,2,1,2,28,0,5,0,1
237,237,237,237,1,2,4,0,0,0,1,0,5,3,2,1,0,3,3,1,5,6,0,6,0,1
238,238,238,238,0,2,1,0,0,0,1,1,4,5,1,0,1,1,1,1,3,9,0,6,0,1
239,239,239,239,0,4,6,0,0,0,1,0,3,2,2,0,1,2,3,1,3,1,1,4,0,1
240,240,240,240,0,3,5,0,0,0,0,0,3,1,2,1,1,3,2,1,2,30,1,6,0,1
241,241,241,241,0,4,5,0,0,0,0,0,1,5,0,1,1,1,2,1,3,27,0,5,0,1
242,242,242,242,0,2,6,0,0,0,1,0,4,3,2,1,0,3,2,1,1,1,0,5,0,1
243,243,243,243,1,2,2,0,0,1,1,0,4,1,0,1,1,1,2,1,1,4,1,8,1,0
244,244,244,244,0,3,4,1,0,0,1,0,0,4,1,1,1,2,2,1,4,9,1,8,1,0
245,245,245,245,0,2,7,0,0,0,1,0,2,4,2,1,1,2,4,1,2,14,1,7,0,1
246,246,246,246,0,1,6,1,0,0,1,0,0,5,2,1,0,4,4,1,3,29,1,7,0,1
247,247,247,247,0,1,4,0,1,0,1,0,1,4,0,0,0,1,2,0,3,9,0,4,0,1
248,248,248,248,0,4,3,0,0,1,1,0,4,2,0,0,1,1,3,0,5,25,1,4,0,1
249,249,249,249,0,3,7,0,1,0,0,1,3,5,1,1,1,1,1,0,5,33,0,5,0,1
250,250,250,250,1,3,1,0,0,0,1,0,5,2,2,0,1,1,4,1,1,21,0,7,0,1
251,251,251,251,0,4,6,1,0,0,0,0,5,4,0,1,1,4,2,0,4,32,1,4,0,1
252,252,252,252,0,2,2,0,0,0,1,0,2,3,1,1,1,1,3,1,5,5,0,5,0,1
253,253,253,253,0,3,5,0,0,0,1,0,4,4,0,1,1,2,3,1,4,16,0,8,1,0
254,254,254,254,0,3,5,1,0,0,1,0,5,2,2,1,0,1,1,0,3,16,0,5,0,1
255,255,255,255,0,3,4,0,0,0,1,0,1,5,0,1,0,3,4,1,1,26,0,7,0,1
256,256,256,256,0,4,6,0,0,0,1,0,0,5,2,1,1,3,3,1,2,4,1,6,0,1
257,257,257,257,0,1,2,0,0,1,1,0,0,0,1,1,0,2,3,1,4,31,1,8,1,0
258,258,258,258,0,1,5,0,0,0,0,0,1,2,2,1,1,1,4,0,1,25,1,5,0,1
259,259,259,259,0,4,1,0,1,0,1,0,0,2,1,1,0,2,1,1,2,10,0,7,0,1
260,260,260,260,1,4,7,0,0,0,1,0,3,3,2,1,1,1,1,1,4,27,0,5,0,1
261,261,261,261,0,3,2,1,1,0,1,0,1,1,1,0,1,4,3,1,3,14,1,6,0,1
262,262,262,262,0,1,1,0,0,0,1,0,2,5,1,0,1,4,1,1,5,11,1,5,0,1
