,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,lable (y),prince_o
36,0,3,6,0,0,0,1,0,2,5,0,0,1,4,2,1,3,13,0,5,
37,1,4,6,0,1,0,0,0,4,5,2,0,1,1,2,1,1,13,0,4,
38,0,3,3,0,1,0,1,0,0,5,2,1,1,1,3,0,2,16,1,6,
39,0,2,4,0,1,0,1,0,2,3,2,1,0,2,1,0,1,19,0,5,
40,0,1,7,0,0,0,1,0,4,5,1,1,0,2,4,1,2,5,0,6,
41,0,3,7,0,0,0,0,0,4,1,0,0,1,3,1,1,1,21,0,5,
42,0,1,1,0,0,0,0,0,5,1,2,1,1,4,1,1,1,17,1,5,
43,0,3,6,0,1,0,1,0,2,3,2,0,1,4,1,1,5,18,0,5,
44,0,1,1,0,0,0,1,1,0,0,0,0,1,4,3,1,5,16,0,9,
45,0,1,2,0,0,0,1,0,5,1,2,1,1,3,4,0,2,30,1,6,
46,0,4,1,0,0,0,0,0,4,5,2,0,0,4,1,1,4,26,1,2,
47,0,3,1,0,0,0,1,0,5,3,1,1,1,3,3,1,4,29,0,7,
48,0,2,3,1,0,0,1,0,0,2,0,1,1,1,1,1,2,4,1,8,
49,0,3,2,0,0,0,1,0,0,2,0,1,1,2,2,1,3,18,0,8,
50,1,3,2,0,1,0,0,0,4,3,1,1,1,1,3,1,4,1,1,6,
51,0,2,1,1,0,0,0,1,1,2,0,1,0,3,4,1,5,20,1,9,
52,0,3,5,1,0,0,1,0,5,5,0,0,0,3,1,1,5,8,1,7,
53,0,3,7,0,0,0,1,1,4,4,2,1,1,2,4,1,1,8,1,8,
54,0,1,6,0,0,0,0,0,5,1,0,1,1,1,1,1,2,33,0,5,
55,0,2,5,0,0,0,0,0,1,3,0,0,1,1,1,1,2,25,1,5,
56,0,3,4,0,1,1,1,0,1,0,1,1,1,2,1,1,2,5,1,9,
57,0,4,2,0,0,0,1,0,3,4,2,1,0,2,4,1,5,17,0,5,
58,0,3,1,0,0,1,1,0,0,1,2,1,1,1,4,1,4,14,0,9,
59,1,4,1,0,0,0,0,0,2,5,2,1,1,4,1,1,2,21,1,5,
60,0,2,6,0,0,0,0,0,3,5,2,1,0,1,4,1,3,15,0,4,
61,0,2,3,1,0,1,0,0,1,3,1,0,0,4,2,1,5,3,0,4,
62,0,3,7,0,0,1,1,0,0,2,2,1,1,3,4,1,4,32,1,9,
63,0,1,7,1,0,0,1,0,5,5,2,0,0,2,2,0,1,2,0,4,
64,0,3,1,0,0,0,0,0,0,2,1,1,1,1,2,1,5,4,1,6,
65,0,4,2,0,0,0,1,0,3,1,0,1,1,4,3,1,1,22,0,5,
66,0,3,5,0,0,0,1,0,0,0,2,1,1,2,3,1,1,19,1,9,
67,0,1,7,0,0,0,1,0,0,4,1,0,1,4,2,1,2,3,0,5,
68,0,1,5,1,0,0,1,0,2,0,1,0,1,3,3,1,3,14,1,8,
69,0,3,4,1,0,0,1,0,5,0,0,1,1,1,4,1,4,2,0,9,
70,1,1,7,0,0,1,1,0,4,2,0,0,0,4,1,1,1,18,0,6,
71,1,3,5,1,0,0,1,0,3,0,2,1,1,4,2,1,1,8,0,9,
72,0,3,7,0,0,1,1,0,4,3,0,0,1,4,2,1,1,29,0,6,
73,0,2,2,0,0,0,1,1,0,2,2,1,0,1,1,0,5,33,0,5,
74,1,3,5,0,0,0,0,0,3,4,1,0,1,2,4,1,5,22,1,7,
75,1,3,1,0,0,0,0,0,1,1,0,0,1,2,1,1,4,25,1,7,
76,0,4,6,1,0,0,1,0,5,3,2,1,0,2,2,1,1,23,1,5,
77,0,3,6,0,0,0,1,0,1,0,0,1,1,2,4,0,4,15,0,8,
78,0,2,1,0,0,0,1,0,4,0,1,0,1,3,1,0,2,25,0,6,
79,0,4,5,0,1,1,0,0,4,5,0,0,0,3,4,0,1,14,0,6,
80,1,4,4,0,0,0,0,0,1,5,2,0,1,4,4,0,2,10,0,3,
81,1,3,3,1,0,1,1,0,5,5,1,1,0,2,3,0,3,5,0,7,
82,0,3,6,0,0,0,1,0,4,1,1,1,1,3,4,1,2,17,1,7,
83,0,1,3,0,0,0,0,0,3,4,1,1,1,4,4,1,1,20,1,5,
84,1,4,6,0,1,0,1,0,3,2,0,1,1,2,3,1,5,13,1,8,
85,0,4,3,0,0,0,0,0,2,1,2,1,0,2,4,1,2,27,0,4,
86,0,1,1,1,0,1,0,1,3,3,0,0,1,2,4,1,4,28,1,10,
87,0,4,2,0,0,1,1,0,3,0,1,0,1,3,2,1,2,9,1,6,
88,1,4,1,0,0,0,1,0,2,4,1,1,0,4,4,0,2,29,0,5,
89,0,4,1,0,0,0,1,0,0,4,2,0,1,2,3,1,3,14,0,6,
90,0,3,2,0,0,1,0,0,5,5,0,0,1,1,2,1,5,22,1,5,
91,0,1,5,1,0,0,1,0,5,4,1,0,0,4,1,0,1,10,0,4,
92,0,1,7,0,0,0,1,0,1,0,2,0,1,1,3,0,2,16,0,4,
93,0,2,2,0,1,1,1,0,5,2,0,0,1,2,3,1,3,6,0,8,
94,0,2,2,0,0,1,1,0,0,1,1,0,1,1,1,1,2,10,0,6,
95,0,2,2,0,0,0,1,1,5,3,0,0,1,3,2,1,2,28,1,7,
96,1,4,7,1,0,0,1,0,5,4,2,0,1,3,1,0,1,1,0,5,
97,0,4,3,0,0,0,1,0,0,2,0,0,1,1,3,1,3,12,1,5,
98,0,1,5,0,0,0,1,1,1,2,2,1,1,4,3,1,1,30,1,7,
99,0,2,3,0,0,0,1,0,3,3,2,0,0,3,1,0,5,25,0,3,
100,0,2,4,0,0,0,0,0,3,1,2,0,1,4,2,1,3,31,0,3,
101,1,1,3,1,0,0,1,0,4,0,2,0,1,2,2,1,3,20,1,8,
102,1,1,1,0,0,0,1,1,5,1,1,0,1,2,2,1,2,7,1,8,
103,0,1,5,1,1,0,1,0,2,2,1,1,1,3,2,1,2,32,0,9,
104,0,1,5,0,0,1,1,0,1,1,0,0,1,4,2,1,5,27,1,7,
105,0,2,2,0,0,0,1,0,4,0,0,0,0,4,3,1,3,28,0,5,
106,0,4,2,0,0,0,1,1,0,0,1,1,1,3,4,0,1,19,0,8,
107,0,4,7,0,0,0,1,0,0,3,0,0,1,1,2,1,3,6,1,5,
108,0,2,2,0,1,0,1,1,5,3,0,0,1,2,3,1,3,12,1,8,
109,0,2,5,0,0,0,0,0,3,5,0,0,1,3,1,0,3,18,1,5,
110,0,4,6,1,0,0,1,0,3,0,2,1,1,1,3,1,4,12,1,6,
111,1,1,5,0,0,0,0,0,4,4,2,0,1,4,2,1,3,25,1,5,
112,0,2,4,1,0,0,0,1,4,3,1,1,1,4,4,1,5,16,1,7,
113,0,3,4,1,1,0,1,0,2,3,2,1,1,4,1,1,2,24,1,7,
114,0,2,4,0,1,1,1,0,0,4,2,0,1,2,1,1,1,30,1,8,
115,1,2,6,0,0,0,0,0,3,3,0,0,1,1,1,1,5,26,0,5,
116,1,3,3,0,0,0,0,1,0,4,0,0,1,3,4,1,5,31,0,9,
117,1,1,4,0,0,0,1,0,3,4,1,0,1,2,1,0,5,27,0,5,
118,0,4,1,0,1,0,0,0,1,2,1,0,1,2,4,1,5,17,0,6,
119,0,4,5,0,1,0,0,0,1,1,1,1,1,1,2,1,5,16,0,5,
120,0,4,1,0,0,0,1,0,4,0,0,1,1,2,1,1,1,30,1,8,
121,1,1,5,0,0,0,1,0,1,5,1,1,0,3,4,0,5,5,1,7,
122,0,3,4,0,0,0,1,0,5,5,2,1,1,2,1,0,4,11,0,5,
123,0,3,1,1,0,0,1,0,1,4,0,0,0,2,1,1,4,20,1,7,
124,0,2,7,0,0,0,1,0,5,0,1,1,0,3,1,1,5,29,1,6,
125,1,4,1,0,0,0,1,0,3,3,1,0,1,1,1,1,2,6,0,5,
126,1,3,4,0,0,0,1,0,5,0,1,1,0,1,4,1,4,32,0,7,
127,1,3,3,0,0,0,1,0,1,3,1,0,1,4,1,1,5,25,0,5,
128,1,3,7,0,0,0,1,0,2,5,2,1,1,3,4,1,1,25,1,8,
129,1,1,6,0,0,0,1,0,5,2,2,0,1,4,4,1,1,30,1,6,
130,0,1,7,0,0,0,1,0,1,5,1,0,1,3,4,1,4,16,1,6,
131,0,1,5,0,0,0,1,0,5,5,2,1,0,1,3,1,3,22,1,5,
132,0,1,5,0,0,0,1,0,5,5,0,1,1,1,4,1,1,11,0,8,
133,0,4,6,0,1,0,1,0,5,4,0,0,1,1,3,0,1,24,1,4,
134,0,2,1,0,0,1,1,0,1,2,0,1,1,3,3,1,4,3,1,9,
135,0,1,4,1,0,0,1,0,4,1,0,1,1,2,3,0,4,14,1,7,
136,0,3,1,0,0,1,1,1,5,4,1,0,1,4,3,1,3,10,1,7,
137,0,1,3,0,0,0,1,0,3,2,2,1,1,3,3,0,1,29,0,5,
138,0,3,7,1,0,0,0,0,2,0,1,0,1,1,3,0,5,1,0,4,
139,1,2,3,0,0,0,0,0,3,3,0,0,0,3,4,0,5,25,0,5,
140,0,3,5,0,0,0,1,0,0,2,1,0,1,2,2,1,4,13,1,7,
141,0,2,5,0,0,0,0,0,4,2,1,0,1,1,4,0,4,32,0,4,
142,0,3,7,1,1,1,1,0,0,2,1,1,0,3,4,1,1,12,1,10,
143,0,2,5,0,0,0,1,0,3,4,0,0,1,4,2,1,1,32,1,6,
144,0,2,5,1,0,0,0,0,3,0,1,1,1,3,1,1,1,19,1,8,
145,0,3,3,1,0,0,0,0,3,2,0,0,0,3,3,0,2,17,0,4,
146,0,1,6,0,1,0,1,0,3,1,0,0,1,1,4,1,5,6,1,7,
147,0,4,2,0,0,1,0,0,5,5,2,1,1,2,3,1,3,28,0,5,
148,0,4,6,0,0,0,1,0,0,3,2,0,1,1,2,1,4,15,1,4,
149,0,1,7,0,1,1,0,0,3,5,0,0,1,4,3,1,2,24,0,6,
150,1,1,6,0,0,0,1,0,1,4,1,0,1,2,3,0,2,25,0,5,
151,0,1,1,0,0,0,1,0,3,5,0,1,1,2,1,1,1,4,0,8,
152,0,3,2,0,0,1,1,0,3,3,2,1,1,1,2,1,4,11,1,6,
153,0,1,4,0,0,0,0,0,4,5,0,0,1,4,1,1,3,21,0,4,
154,0,4,3,1,0,0,1,0,3,2,0,0,1,4,3,1,3,33,0,5,
155,0,3,3,1,0,0,0,0,3,0,1,1,1,4,4,1,3,22,1,7,
156,0,2,7,0,1,0,1,0,4,3,0,0,1,1,1,1,4,2,0,6,
157,1,2,4,0,0,0,1,1,0,3,0,1,1,1,3,0,4,20,1,8,
158,0,2,7,1,0,0,1,0,2,3,2,0,1,3,2,1,3,19,0,6,
159,0,4,2,0,0,0,1,0,2,3,2,0,0,4,3,1,2,12,1,2,
160,1,2,2,0,1,0,1,0,5,0,0,1,1,3,1,1,5,5,1,10,
161,0,4,1,0,0,0,1,0,2,2,1,1,1,4,4,1,5,24,0,6,
162,0,2,7,0,0,0,0,0,5,3,1,1,1,3,4,1,1,29,1,6,
163,0,4,7,0,1,0,1,0,2,5,1,0,0,1,3,1,2,9,0,3,
164,0,3,2,1,0,1,1,1,3,3,0,1,1,1,2,1,4,12,0,9,
165,0,2,2,0,0,1,1,0,5,4,0,1,1,2,2,0,3,11,0,7,
166,0,1,2,0,0,0,0,0,5,3,2,1,1,1,1,1,4,8,1,4,
167,0,4,6,1,0,0,0,1,4,3,0,1,1,4,3,0,2,26,1,5,
168,1,3,4,0,0,0,1,0,2,5,2,0,1,4,3,1,1,10,1,5,
169,1,1,7,0,0,0,1,0,2,2,1,1,0,1,3,1,1,7,1,5,
170,0,2,2,1,0,0,1,0,4,3,2,1,1,3,1,0,4,19,0,6,
171,0,1,6,0,0,0,1,0,3,2,2,1,0,4,4,1,4,20,1,5,
172,0,1,2,0,1,0,1,1,4,4,2,0,1,2,1,1,5,9,1,7,
173,0,2,1,0,1,0,1,0,5,4,1,0,1,4,3,0,5,4,1,5,
174,1,4,6,1,0,0,1,0,5,4,0,1,1,4,3,1,4,16,0,7,
175,0,2,5,0,0,0,1,0,4,0,1,0,1,1,4,1,5,20,0,7,
176,0,3,5,0,0,0,0,0,2,3,1,1,1,1,3,1,2,26,0,5,
177,0,4,5,0,0,0,1,1,0,2,2,1,1,3,1,1,2,20,1,8,
178,0,3,4,0,0,0,1,0,4,0,2,1,1,4,3,1,4,23,1,6,
179,0,4,6,0,0,0,1,1,3,0,1,0,1,2,3,0,3,10,0,5,
180,0,4,7,0,0,0,1,0,0,5,2,0,1,4,4,1,2,28,0,5,
181,0,2,6,1,0,0,1,1,4,3,1,0,1,4,1,1,2,21,0,6,
182,0,3,3,0,0,0,1,0,3,0,1,1,1,4,2,1,4,3,0,6,
183,0,3,3,0,0,1,1,0,1,3,2,0,1,2,3,1,4,2,1,6,
184,0,4,1,0,0,1,1,0,0,1,2,1,0,1,3,1,3,30,0,6,
185,1,2,2,1,0,1,1,0,1,1,2,1,1,3,1,1,4,12,0,9,
186,0,4,1,0,0,1,0,0,5,0,2,1,0,2,1,1,5,25,1,6,
187,1,2,7,0,0,1,1,0,0,3,0,1,1,4,4,1,3,29,1,10,
188,1,2,6,1,0,0,0,0,5,2,1,1,1,2,4,0,4,6,1,7,
189,0,4,7,0,0,1,1,0,4,2,0,1,1,2,4,1,1,1,1,8,
190,0,1,2,0,0,0,1,0,1,0,1,0,1,2,4,0,5,14,0,6,
191,0,1,3,0,0,0,1,0,0,2,1,0,1,1,4,1,5,23,1,6,
192,1,4,2,0,0,0,0,0,4,3,0,0,1,2,3,1,5,15,0,5,
193,0,3,4,0,1,0,1,0,5,4,0,0,1,3,1,0,1,32,1,6,
194,0,3,3,0,0,1,1,0,1,5,2,1,1,4,3,0,2,33,0,5,
195,0,2,7,0,0,0,1,0,5,1,2,0,1,4,2,0,3,21,0,3,
196,0,2,2,1,0,0,1,0,5,0,2,1,1,2,3,1,1,10,1,8,
197,0,1,5,0,0,0,0,0,2,3,1,0,1,3,4,1,3,3,1,6,
198,1,2,7,1,0,0,1,0,1,0,1,1,1,3,4,1,5,9,0,10,
199,1,2,2,0,0,0,0,0,0,4,0,1,1,1,1,1,1,7,1,7,
200,0,3,1,0,0,0,1,0,5,1,1,1,1,1,3,1,5,27,1,6,
201,0,4,4,1,0,1,1,0,4,3,1,1,1,2,2,1,1,26,1,7,
202,0,4,5,0,1,1,0,0,4,4,0,0,0,3,3,1,3,14,1,6,
203,0,4,1,0,0,1,1,0,1,0,2,1,1,3,1,0,5,6,1,7,
204,0,1,6,0,1,1,1,0,4,4,1,1,0,3,4,1,4,2,0,8,
205,0,3,5,0,1,1,1,0,4,3,1,0,1,4,1,1,5,9,0,7,
206,0,4,3,0,1,0,1,1,0,0,0,0,0,1,4,1,1,24,1,8,
207,0,3,7,0,0,0,1,0,1,4,0,0,1,3,3,0,1,4,0,5,
208,0,1,6,0,0,0,1,1,5,0,0,0,0,2,4,1,5,9,1,8,
209,0,4,6,1,0,0,1,0,5,2,1,1,1,4,3,1,5,28,1,5,
210,0,4,3,1,0,0,1,0,4,5,0,1,1,4,4,1,2,33,1,7,
211,0,1,4,0,0,0,0,0,4,2,0,1,1,1,4,1,3,20,0,6,
212,1,2,4,0,0,0,1,0,0,1,0,0,1,3,2,1,5,29,0,8,
213,0,3,5,0,0,0,0,1,5,2,2,1,0,4,2,0,1,29,0,4,
214,0,4,2,1,0,0,1,0,2,5,2,0,1,4,1,1,4,12,0,4,
215,0,2,6,0,0,0,0,0,3,4,0,1,1,4,2,1,1,13,1,5,
216,0,2,3,0,0,1,1,0,3,5,2,1,1,2,4,1,1,24,0,8,
217,1,1,3,0,0,0,1,0,4,2,1,0,1,2,3,1,3,33,0,6,
218,0,2,1,0,0,0,1,0,1,5,0,1,1,3,2,1,3,17,1,8,
219,0,2,2,0,0,0,1,0,4,1,1,0,1,2,4,1,5,3,0,6,
220,0,2,4,0,0,0,1,0,0,2,0,1,1,3,1,1,4,24,1,8,
221,0,4,5,0,0,0,1,0,3,4,2,1,1,2,2,1,1,30,1,6,
222,0,1,1,0,1,0,1,0,2,2,1,1,0,2,4,1,5,13,1,8,
223,0,3,2,0,0,0,0,0,0,0,0,1,1,3,1,1,2,24,0,8,
224,1,4,4,0,1,0,0,0,3,1,0,1,1,3,4,1,3,6,1,8,
225,0,1,7,0,0,0,1,0,3,3,0,1,1,3,3,1,3,16,1,7,
226,1,4,3,0,0,0,1,0,4,4,0,1,1,1,2,1,4,7,0,6,
227,0,4,3,0,0,1,1,0,5,1,0,1,1,1,3,0,3,28,0,5,
228,0,1,7,0,0,0,1,0,5,3,2,1,1,1,3,1,3,30,0,5,
229,0,2,7,0,0,0,1,0,2,0,2,1,1,1,3,1,2,25,1,6,
230,0,1,6,1,1,0,1,0,0,3,2,1,0,4,4,1,5,10,1,8,
231,0,2,2,0,1,0,1,0,2,2,1,1,1,3,3,1,3,11,0,7,
232,0,1,4,0,0,0,1,0,1,2,2,1,1,1,1,1,4,19,1,5,
233,0,3,3,1,0,0,1,0,4,5,2,0,1,2,1,1,1,31,0,6,
234,0,4,5,1,0,0,1,0,5,2,2,1,0,3,3,0,2,5,1,5,
235,1,1,7,0,0,1,1,0,1,3,1,1,1,3,4,1,2,28,1,9,
236,0,2,2,0,0,0,1,1,4,4,2,1,0,4,2,1,2,28,0,5,
237,1,2,4,0,0,0,1,0,5,3,2,1,0,3,3,1,5,6,0,6,
238,0,2,1,0,0,0,1,1,4,5,1,0,1,1,1,1,3,9,0,6,
239,0,4,6,0,0,0,1,0,3,2,2,0,1,2,3,1,3,1,1,4,
240,0,3,5,0,0,0,0,0,3,1,2,1,1,3,2,1,2,30,1,6,
241,0,4,5,0,0,0,0,0,1,5,0,1,1,1,2,1,3,27,0,5,
242,0,2,6,0,0,0,1,0,4,3,2,1,0,3,2,1,1,1,0,5,
243,1,2,2,0,0,1,1,0,4,1,0,1,1,1,2,1,1,4,1,8,
244,0,3,4,1,0,0,1,0,0,4,1,1,1,2,2,1,4,9,1,8,
245,0,2,7,0,0,0,1,0,2,4,2,1,1,2,4,1,2,14,1,7,
246,0,1,6,1,0,0,1,0,0,5,2,1,0,4,4,1,3,29,1,7,
247,0,1,4,0,1,0,1,0,1,4,0,0,0,1,2,0,3,9,0,4,
248,0,4,3,0,0,1,1,0,4,2,0,0,1,1,3,0,5,25,1,4,
249,0,3,7,0,1,0,0,1,3,5,1,1,1,1,1,0,5,33,0,5,
250,1,3,1,0,0,0,1,0,5,2,2,0,1,1,4,1,1,21,0,7,
251,0,4,6,1,0,0,0,0,5,4,0,1,1,4,2,0,4,32,1,4,
252,0,2,2,0,0,0,1,0,2,3,1,1,1,1,3,1,5,5,0,5,
253,0,3,5,0,0,0,1,0,4,4,0,1,1,2,3,1,4,16,0,8,
254,0,3,5,1,0,0,1,0,5,2,2,1,0,1,1,0,3,16,0,5,
255,0,3,4,0,0,0,1,0,1,5,0,1,0,3,4,1,1,26,0,7,
256,0,4,6,0,0,0,1,0,0,5,2,1,1,3,3,1,2,4,1,6,
257,0,1,2,0,0,1,1,0,0,0,1,1,0,2,3,1,4,31,1,8,
258,0,1,5,0,0,0,0,0,1,2,2,1,1,1,4,0,1,25,1,5,
259,0,4,1,0,1,0,1,0,0,2,1,1,0,2,1,1,2,10,0,7,
260,1,4,7,0,0,0,1,0,3,3,2,1,1,1,1,1,4,27,0,5,
261,0,3,2,1,1,0,1,0,1,1,1,0,1,4,3,1,3,14,1,6,
262,0,1,1,0,0,0,1,0,2,5,1,0,1,4,1,1,5,11,1,5,
263,0,4,3,1,0,0,1,0,2,1,1,0,0,2,4,1,3,7,1,5,
264,0,3,2,1,0,0,1,0,1,1,1,1,1,3,2,1,5,1,0,7,
265,0,2,3,1,1,0,1,0,1,2,2,0,1,4,3,1,3,27,1,6,
266,0,1,1,1,0,0,0,1,3,0,0,1,1,4,1,1,4,6,0,9,
267,0,1,2,0,0,0,1,0,5,4,1,1,0,4,4,1,3,23,0,5,
268,1,1,4,0,1,0,1,0,4,2,1,1,1,2,2,1,3,29,1,8,
269,0,3,4,0,0,1,1,0,1,4,0,0,1,2,3,1,3,8,1,7,
270,0,3,4,1,1,0,1,0,0,1,1,0,1,3,4,1,5,7,0,9,
271,0,2,3,0,0,0,1,0,4,3,2,0,1,3,3,1,5,10,0,5,
272,0,3,2,0,0,0,1,0,3,4,2,1,1,2,1,1,2,3,0,6,
273,0,3,5,0,0,0,1,0,5,5,0,0,1,4,4,0,1,2,0,6,
274,0,4,5,0,0,0,0,1,4,4,1,1,1,2,4,1,4,5,0,7,
275,0,1,5,0,1,0,0,0,3,3,0,1,1,4,3,0,2,15,1,6,
276,0,2,5,1,0,0,1,0,2,2,1,1,1,4,4,0,3,11,0,7,
277,0,1,5,0,0,1,1,0,1,3,0,0,1,4,4,1,1,21,0,8,
278,0,3,7,1,0,0,0,0,0,0,2,1,1,4,3,1,2,15,1,7,
279,0,3,4,0,0,0,1,0,5,5,0,1,1,3,4,1,1,33,1,8,
280,0,3,1,0,0,0,1,0,2,3,1,0,1,3,2,1,5,14,1,6,
281,0,1,5,0,0,0,1,0,5,4,2,0,1,4,4,1,2,26,0,6,
282,0,1,7,0,0,0,1,1,3,4,1,0,1,2,3,1,2,11,1,6,
283,0,4,4,0,1,0,0,0,3,3,2,1,1,2,2,1,5,14,1,5,
284,0,3,1,0,0,0,1,0,3,1,0,0,1,2,2,0,3,16,0,6,
285,0,3,6,0,1,0,0,0,4,1,0,0,1,4,3,0,4,18,0,4,
286,0,1,4,0,0,0,1,0,5,4,0,1,1,4,2,0,3,29,0,5,
287,0,1,1,0,0,0,1,0,3,1,2,0,1,3,2,1,3,19,1,6,
288,0,1,6,1,0,0,0,0,3,3,1,1,1,3,1,0,4,9,0,5,
289,0,3,5,0,1,0,1,1,4,1,0,0,1,4,1,1,3,13,1,8,
290,0,1,3,1,0,0,0,0,5,4,2,1,1,1,4,1,3,22,0,6,
291,1,4,3,0,0,0,1,0,5,5,1,0,1,4,1,1,2,21,0,4,
292,1,3,2,0,1,0,1,0,3,4,1,0,1,4,2,1,4,30,0,6,
293,1,1,5,0,0,0,1,0,5,0,1,0,0,2,2,1,4,2,0,7,
294,1,4,7,0,1,1,1,0,3,5,2,0,1,1,2,0,1,32,1,5,
295,0,2,1,0,0,0,1,0,4,5,1,0,0,1,2,1,1,16,0,4,
296,0,1,2,0,0,0,1,1,4,0,1,1,0,4,4,1,4,5,1,7,
297,1,4,7,1,1,1,1,0,4,4,1,0,1,4,1,1,3,33,1,7,
298,0,1,3,0,0,0,1,1,5,3,2,1,1,2,3,1,4,5,0,7,
299,0,4,3,0,0,0,1,0,0,2,0,1,0,1,1,1,3,31,1,5,
300,0,1,6,0,0,0,0,0,2,0,0,1,1,1,4,1,1,3,0,7,
301,0,2,2,0,0,0,1,0,4,5,2,0,1,1,2,0,3,19,1,3,
302,0,2,7,1,0,1,1,0,4,3,1,0,1,2,3,1,1,17,0,7,
303,0,3,7,1,1,0,1,1,5,0,2,0,1,3,1,0,5,3,1,8,
304,1,4,6,0,0,1,1,0,1,3,1,0,1,2,4,1,3,12,1,7,
305,0,2,6,0,1,0,0,0,3,0,2,0,0,1,2,1,2,22,0,4,
306,0,3,3,0,0,0,1,0,5,2,0,1,1,3,3,1,2,32,0,7,
307,0,4,5,0,0,0,0,0,3,3,0,0,1,3,2,1,2,16,1,5,
308,0,4,7,0,1,0,1,0,0,4,1,1,1,2,4,1,4,18,0,8,
309,0,2,6,0,1,0,0,0,5,4,1,1,0,2,4,1,3,31,1,6,
310,0,2,1,0,0,0,0,1,1,1,2,0,1,3,3,1,3,3,0,6,
311,0,1,5,0,0,0,0,0,0,3,2,1,1,3,4,1,1,10,0,8,
312,0,2,1,0,1,0,0,0,1,4,2,1,1,4,4,1,1,5,0,7,
313,1,3,5,0,0,0,1,0,1,0,0,0,1,3,3,1,4,24,1,9,
314,0,4,2,0,1,1,1,0,4,1,1,1,0,1,2,1,5,1,1,5,
315,1,2,4,0,0,1,1,0,0,5,1,0,1,1,4,1,1,9,0,8,
316,0,2,7,0,1,0,0,0,0,2,1,1,1,3,1,1,3,32,0,7,
317,1,4,3,0,1,0,1,0,0,1,2,0,1,2,1,1,3,14,1,7,
318,0,1,2,0,0,0,1,0,2,2,0,0,1,4,1,1,4,1,0,5,
