,Gender,Age,Orphan,state,PinCode,mother_tongue,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,pwd,out_of_school_child,dropped_continued,mother's_qualification,father's_qualification,mother's_occupation,father's_occupation,debt,family_annual_income,no_of_children,academic_stream,status_in_previous_year,appreared_previous_exam,results_in_previous_year_type,mental_issues,drug_addiction ,label
20,0,17,0,3,533061,1,3,7,0,1,0,1,1,0,5,3,0,1,1,1,2,4,3,0,1,0,1,4
21,1,14,0,20,224049,0,3,7,0,0,1,1,1,1,4,0,0,1,1,2,2,5,4,0,2,1,0,8
22,1,21,0,14,470683,1,3,3,1,0,1,1,1,0,5,5,0,1,0,2,3,3,4,0,1,1,0,6
23,1,21,0,21,543069,1,1,1,0,0,1,0,0,0,1,2,0,1,1,2,2,2,2,0,4,0,1,5
24,0,15,0,8,589671,0,2,3,1,1,0,0,0,1,3,5,1,1,0,0,2,4,5,1,2,0,0,7
25,1,16,0,20,625351,0,1,4,1,1,1,1,1,1,1,2,0,1,1,1,3,2,5,0,3,0,1,7
26,0,18,0,26,422813,1,2,7,1,1,0,0,1,1,5,0,1,1,0,0,2,1,2,1,1,1,0,8
27,0,21,0,31,927500,0,1,5,1,1,1,1,0,1,3,2,0,1,1,2,3,2,3,0,1,0,0,7
28,0,21,0,10,991139,0,3,2,1,0,1,1,0,0,3,5,1,0,1,1,3,4,3,1,1,1,1,6
29,1,20,0,18,182223,1,3,1,1,0,1,1,1,1,5,0,1,1,1,0,3,1,1,1,2,1,1,11
30,1,18,0,1,678492,0,1,5,0,1,1,1,1,1,5,2,0,0,0,0,3,1,4,1,2,1,1,8
31,1,14,0,3,371079,1,4,2,1,1,0,1,1,0,1,5,0,1,0,1,3,5,5,0,2,0,0,4
32,0,17,0,2,841104,0,4,5,1,0,0,0,0,1,2,0,1,0,1,0,3,3,4,1,1,0,1,7
33,1,21,1,24,678783,0,4,1,0,1,0,1,0,0,5,3,1,1,0,1,2,3,3,0,3,0,1,5
34,1,16,0,23,677624,0,2,3,1,0,0,0,1,0,4,5,1,0,1,1,3,1,3,0,1,0,1,4
35,1,20,0,23,198238,0,4,3,0,1,1,1,0,0,5,4,0,0,1,0,2,3,1,1,3,0,0,5
36,1,15,0,28,851667,1,3,6,1,1,1,1,0,1,1,4,1,0,1,0,3,5,4,1,4,1,0,9
37,1,14,1,33,616546,1,3,6,0,0,0,1,0,0,5,2,1,0,0,0,3,1,5,1,3,1,0,5
38,1,18,0,1,533497,1,4,3,0,1,0,0,1,0,4,5,1,0,0,1,3,1,1,0,1,1,0,3
39,1,18,1,18,991840,0,4,3,0,1,1,0,1,0,0,0,1,1,0,1,2,3,5,1,1,0,1,6
40,0,14,0,24,112250,0,3,1,1,0,0,1,1,1,4,0,1,0,0,0,2,3,2,1,3,0,1,7
41,1,14,0,4,376881,0,3,6,0,0,0,0,0,0,0,3,0,1,0,1,2,5,4,0,4,1,0,5
42,0,16,0,16,485675,0,1,7,0,1,1,1,0,1,1,4,0,1,1,0,3,5,5,1,2,0,1,7
43,0,14,0,9,708858,0,2,2,1,0,0,0,1,0,3,5,1,1,0,2,3,2,4,1,3,0,0,6
44,0,16,0,21,790762,0,4,3,0,0,1,0,1,0,2,5,0,1,1,2,2,2,1,0,1,1,0,4
45,0,20,0,26,330577,1,2,4,0,1,1,0,1,1,0,4,1,0,0,0,3,4,3,1,1,1,1,7
46,0,14,1,22,828724,1,1,3,1,0,1,1,1,1,2,1,1,1,1,0,2,5,5,1,3,0,0,8
47,0,15,1,20,459121,0,4,6,0,1,1,0,0,0,0,2,1,0,0,0,2,4,1,0,2,0,0,6
48,0,19,0,7,185940,1,3,6,0,1,0,1,0,0,2,3,1,1,1,1,3,2,1,0,1,0,0,5
49,1,18,0,19,944665,1,2,4,1,1,1,0,1,0,1,3,0,1,0,2,3,3,3,0,3,0,0,6
50,0,14,0,11,986072,0,1,5,0,1,0,0,0,1,4,1,1,1,1,0,2,4,1,0,1,1,1,8
51,0,14,0,33,515039,1,3,3,1,1,1,1,1,1,1,2,1,1,0,1,2,1,1,1,3,1,0,8
52,1,15,1,13,835323,1,1,6,0,1,0,1,0,0,4,3,1,0,0,2,2,5,2,1,2,0,1,4
53,0,18,0,24,256971,0,3,4,1,0,0,1,1,1,1,0,1,1,1,2,3,2,3,1,3,1,0,8
54,1,15,1,11,475564,0,2,1,1,0,1,0,0,1,2,1,1,1,1,2,2,1,2,0,2,0,0,8
55,0,17,0,6,343384,0,3,4,0,1,1,1,0,0,1,3,0,1,0,2,3,4,3,1,4,1,0,5
56,0,15,0,15,696687,0,1,4,1,0,0,0,0,1,3,4,0,1,1,0,3,5,3,1,3,1,1,7
57,1,18,1,12,881410,1,3,5,0,0,0,0,0,0,0,1,0,1,1,1,3,2,4,1,1,0,0,6
58,1,16,1,13,173851,0,2,4,1,0,0,0,0,0,5,4,0,0,0,2,2,5,1,0,3,0,1,3
59,1,15,0,22,367684,1,1,4,0,1,0,0,1,0,4,4,0,1,1,2,2,5,2,0,3,0,1,5
60,1,15,1,12,761884,1,4,3,1,1,1,1,0,1,4,4,0,1,1,1,3,2,2,1,3,1,1,7
61,1,18,0,3,638434,1,1,2,0,1,0,1,1,0,2,4,1,0,1,2,3,5,1,0,4,1,0,5
62,1,16,0,2,197346,1,1,7,1,0,1,1,1,1,3,3,1,1,1,0,2,2,4,1,2,1,0,10
63,0,16,0,1,226233,0,4,1,1,1,0,1,0,0,4,3,0,1,0,2,2,1,5,0,3,1,0,6
64,0,16,0,33,608791,1,1,7,1,0,0,0,0,0,1,4,1,1,0,0,3,4,5,1,4,1,1,6
65,0,15,0,31,864284,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,3,5,5,0,2,1,1,11
66,0,17,0,26,655865,0,1,7,0,1,1,0,0,0,0,3,0,1,0,0,2,3,2,0,1,0,1,6
67,1,16,0,4,263822,0,3,3,0,1,1,0,0,0,1,0,1,0,0,2,2,1,3,1,1,1,0,6
68,1,16,0,23,238150,0,4,5,0,0,1,1,0,1,0,2,0,1,1,0,2,5,3,1,3,1,0,8
69,0,16,1,12,439635,0,2,3,1,0,0,0,0,0,1,0,1,0,0,2,2,5,5,0,1,0,1,4
70,1,16,0,27,612291,0,4,1,1,1,0,0,1,1,5,1,1,1,1,1,3,5,3,1,3,1,0,8
71,0,17,1,2,773906,0,2,2,0,0,1,1,0,1,1,0,1,1,0,0,2,2,2,1,3,1,0,8
72,1,17,0,31,633286,0,3,6,0,0,1,1,0,0,3,5,0,0,0,0,2,4,1,1,2,1,0,5
73,0,14,0,20,481902,1,2,3,0,1,0,0,1,0,1,0,1,0,0,0,2,5,1,0,4,1,0,6
74,0,19,0,15,575566,0,2,1,0,1,1,1,1,1,3,3,0,1,1,2,2,4,1,0,2,0,0,7
75,0,20,1,26,647729,1,4,7,0,0,1,1,1,0,5,5,0,1,1,1,3,1,5,1,1,0,0,3
76,0,20,0,22,710681,1,1,5,0,1,1,0,0,1,1,5,1,0,1,1,3,3,5,1,4,1,1,7
77,0,17,0,3,465770,1,3,2,1,1,0,0,1,0,1,5,1,0,0,1,2,3,2,1,1,0,1,4
78,1,17,0,12,320428,1,4,6,0,0,0,0,1,0,4,2,1,0,0,2,2,1,5,0,1,0,0,1
79,1,14,0,10,476624,0,3,5,0,0,0,1,0,0,4,0,0,0,0,0,2,2,3,1,4,0,0,4
80,1,19,0,20,698334,0,1,3,0,0,0,0,1,0,3,0,1,0,0,1,3,1,2,0,3,1,1,5
81,1,20,0,28,829048,1,3,1,0,1,1,1,1,0,5,5,0,0,1,1,3,2,2,1,3,0,0,6
82,0,19,1,18,987921,1,2,5,0,1,1,0,0,1,0,3,0,0,1,0,2,3,2,1,2,1,1,9
83,0,14,0,21,571312,0,2,2,1,1,0,1,1,1,4,2,1,0,1,0,2,1,2,0,2,1,1,8
84,1,17,0,32,597749,0,4,5,0,1,1,0,1,0,4,4,0,1,0,1,3,3,1,0,4,1,0,5
85,1,20,0,2,330146,1,1,6,0,0,1,1,0,1,4,5,1,1,1,0,2,2,4,0,2,0,0,8
86,1,16,0,26,720167,1,1,4,1,0,0,0,1,0,2,5,1,0,1,0,3,1,1,0,4,1,1,6
87,0,16,1,3,696150,1,3,2,0,1,0,1,1,0,3,4,0,1,1,2,2,2,1,0,2,1,1,6
88,0,15,1,19,143196,0,3,5,0,1,1,0,0,1,1,5,1,0,1,1,2,4,3,1,2,0,1,7
89,1,14,1,8,549364,0,3,4,0,0,0,1,0,0,4,4,0,1,0,2,3,5,5,0,4,0,1,2
90,0,14,0,9,965725,1,1,3,1,1,1,0,1,1,4,4,0,1,0,0,3,3,2,1,3,1,0,8
91,1,20,0,6,456104,0,3,6,0,0,1,0,1,0,0,5,1,1,0,2,3,1,1,0,2,0,1,6
92,1,14,0,2,457512,0,2,2,1,1,1,1,1,1,0,4,1,1,1,2,3,4,2,1,4,0,0,8
93,1,16,0,8,968678,0,4,2,0,1,0,0,0,0,2,1,0,0,1,0,2,1,2,1,1,0,1,3
94,0,21,1,15,502432,1,4,5,1,1,0,1,0,1,5,2,1,1,0,0,3,1,5,1,1,1,1,7
95,0,21,0,27,997258,1,3,7,1,1,1,0,0,0,1,5,0,0,1,1,2,1,4,1,1,0,0,6
96,1,20,0,25,528140,1,4,7,0,1,1,0,0,1,2,2,1,1,1,0,2,5,4,0,4,1,1,8
97,0,14,0,14,690603,1,1,7,0,1,1,0,0,1,2,2,1,1,0,2,3,4,4,1,1,1,0,7
98,0,15,1,29,829661,0,4,7,0,1,0,1,1,0,1,1,0,0,1,1,2,4,3,0,3,1,0,4
99,0,15,0,27,432575,1,4,6,1,1,1,1,0,0,2,2,0,0,0,1,3,2,5,0,4,1,1,4
100,1,18,0,7,357195,0,3,3,0,1,0,1,1,1,0,1,0,1,1,0,2,5,4,0,3,0,1,8
101,1,17,0,22,621474,0,4,4,1,0,1,1,1,0,3,2,0,1,0,0,2,2,5,0,1,1,1,5
102,1,19,0,23,325857,1,4,4,1,0,0,1,0,0,2,0,0,0,0,2,2,2,2,1,1,1,0,3
103,0,17,0,11,738808,1,2,2,1,1,1,0,0,0,1,0,0,0,0,2,2,3,3,1,1,0,0,5
104,1,20,0,8,508210,0,3,6,1,0,0,0,0,0,4,1,1,0,0,1,2,4,2,0,2,1,0,5
105,1,20,0,23,181446,0,4,2,0,0,1,1,0,0,1,3,0,1,1,2,3,3,4,1,4,1,1,5
106,1,18,0,32,338922,0,1,6,0,0,1,0,0,0,3,5,0,1,0,1,3,3,5,0,2,0,1,4
107,1,18,0,1,565778,0,3,7,0,1,0,0,1,0,2,2,0,1,0,0,2,3,4,1,4,0,1,5
108,1,15,0,6,335643,0,1,6,0,0,0,1,1,0,5,5,1,0,0,1,3,3,1,0,4,0,0,2
109,0,14,1,30,868277,0,3,4,0,1,0,1,0,0,4,1,0,0,1,2,3,5,3,0,1,1,0,4
110,1,14,1,21,176478,0,1,3,0,0,0,1,1,0,1,0,0,1,0,2,3,5,3,0,2,1,0,5
111,1,17,0,2,900111,0,1,3,0,0,0,0,0,0,0,4,0,0,1,0,2,2,3,0,2,1,1,6
112,0,14,0,23,885431,0,1,6,0,0,1,1,1,0,2,4,0,1,0,1,3,2,1,1,1,1,1,4
113,1,19,0,4,405616,1,1,6,1,0,1,0,1,0,1,4,1,0,1,2,3,3,1,0,4,1,0,6
114,0,20,0,2,234753,1,4,7,0,0,1,1,0,0,5,2,1,1,1,1,2,5,5,1,4,1,1,5
115,1,15,0,5,609699,1,3,7,0,0,0,0,0,0,3,5,0,0,0,0,2,2,1,0,4,0,1,2
116,1,17,1,12,851607,1,2,7,0,0,0,0,1,0,1,4,0,0,0,2,2,4,2,1,4,1,0,2
117,1,21,0,20,415706,1,1,3,0,1,0,0,1,0,2,3,1,0,0,0,2,4,2,0,3,0,1,5
118,1,19,0,15,582096,1,3,5,1,1,0,0,1,0,2,0,0,0,0,2,2,5,1,0,2,0,0,6
119,1,20,0,30,340515,1,2,3,1,1,1,1,0,1,5,0,1,1,1,1,2,4,5,1,2,1,1,10
120,0,17,1,10,842926,0,4,5,1,0,0,0,0,0,3,1,0,0,0,0,2,5,3,1,2,1,0,5
121,1,17,0,26,237837,1,4,2,0,0,0,0,1,0,5,1,1,0,0,1,2,2,3,1,2,1,1,3
122,1,14,0,26,640374,1,2,7,1,0,1,0,0,0,5,2,0,0,0,0,3,5,2,1,3,1,1,6
123,0,22,1,19,710441,0,3,2,1,1,1,0,0,1,4,3,1,0,1,0,2,1,3,1,1,0,0,7
124,1,15,0,25,332336,0,4,5,0,1,0,1,1,0,4,3,0,1,0,0,2,1,2,1,2,0,0,5
125,1,21,0,17,778648,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,3,4,5,1,3,1,0,9
126,0,16,0,7,406979,1,3,1,1,0,1,0,1,1,5,0,0,0,1,2,2,4,2,0,1,1,0,7
127,1,20,0,2,467900,1,3,3,1,0,0,0,0,0,4,5,1,1,0,2,3,3,5,1,3,0,0,5
128,0,14,0,13,364422,0,3,3,1,0,1,1,1,1,2,3,1,1,1,2,3,5,5,0,3,1,1,8
129,0,19,0,15,461797,1,4,1,0,1,0,0,1,0,3,3,0,0,0,0,2,1,3,0,4,0,1,3
130,0,16,0,14,709672,1,2,2,1,1,1,1,0,0,4,1,1,0,0,2,2,3,3,1,1,1,1,6
131,0,21,1,25,256169,1,4,5,0,0,0,1,1,0,3,1,1,0,0,0,3,1,5,1,2,0,0,4
132,0,17,1,19,492636,0,1,2,0,0,0,0,0,0,3,4,0,0,1,2,2,4,4,1,3,1,0,5
133,1,16,0,31,220381,1,1,4,1,1,0,1,1,1,4,5,1,1,1,2,3,5,4,1,2,1,0,9
134,1,20,0,17,174836,1,2,2,0,1,1,1,1,1,4,5,0,1,1,0,3,2,2,0,3,1,0,8
135,1,20,0,31,513986,0,2,3,1,1,1,1,1,0,5,3,1,0,0,2,3,5,1,1,1,1,1,6
136,1,15,1,13,953716,0,2,5,1,1,0,0,0,1,1,3,1,1,1,1,3,5,3,1,3,0,1,8
137,1,14,1,3,268029,1,4,3,0,0,1,0,0,0,4,2,1,1,1,0,3,2,2,1,4,1,0,6
138,0,19,0,2,583654,0,2,1,1,0,1,0,0,1,4,4,1,1,0,2,3,3,4,1,3,0,1,8
139,1,20,0,12,293947,0,3,6,1,0,0,1,1,1,0,2,1,1,1,0,3,2,5,0,2,1,1,9
140,1,15,1,27,983401,0,3,6,1,1,0,1,0,0,5,0,1,1,0,2,3,3,3,0,1,0,1,6
141,1,18,0,15,538241,1,3,6,1,1,0,1,0,1,0,1,1,1,0,0,2,3,4,0,4,1,0,9
142,1,14,1,25,534634,0,2,5,1,0,0,1,1,0,4,0,1,0,0,1,3,2,3,1,1,1,1,6
143,0,15,1,29,503290,0,3,1,1,1,1,0,0,1,0,5,1,0,1,0,3,5,3,1,1,0,1,9
144,1,15,0,28,546476,1,4,4,1,1,0,0,1,0,2,5,1,1,1,2,2,4,5,1,2,0,1,6
145,0,15,0,29,751841,0,1,7,0,1,0,0,0,0,2,1,1,0,0,0,3,5,1,1,4,0,0,4
146,0,20,0,11,713724,1,1,3,1,0,0,1,1,0,5,4,1,1,0,2,2,4,3,0,2,0,0,5
147,0,18,0,18,933607,1,4,7,0,1,1,0,0,0,1,5,0,0,0,1,2,1,1,1,3,1,1,4
148,1,17,0,33,706431,1,1,2,1,1,0,0,1,1,5,2,0,1,1,2,3,2,4,0,4,1,0,7
149,1,15,1,13,837191,0,1,7,0,0,0,0,0,0,1,2,0,1,0,1,2,5,1,0,1,1,0,3
150,0,20,0,2,817192,0,2,3,1,1,0,1,1,0,5,1,0,1,0,1,2,5,2,1,4,1,0,5
151,1,20,0,21,780280,1,4,6,1,1,0,1,0,0,5,4,0,1,1,2,2,4,2,0,1,1,0,5
152,1,18,0,13,951169,1,2,1,0,0,1,1,0,1,2,3,1,0,1,2,2,3,1,0,2,1,1,7
153,1,14,0,18,331441,1,1,6,0,0,0,0,1,0,2,1,0,1,1,2,2,1,4,0,1,1,0,5
154,1,19,0,29,944120,0,4,3,1,1,0,1,0,0,3,2,1,0,1,2,2,1,4,0,2,0,0,6
155,0,18,0,27,492126,1,1,5,1,1,0,0,1,1,0,3,1,0,1,1,3,1,3,0,2,1,1,9
156,0,19,1,29,243456,0,4,1,1,1,0,0,1,0,3,2,1,1,0,1,2,3,2,0,1,1,1,6
157,1,21,0,13,655867,0,4,5,0,0,0,0,1,0,5,0,0,1,0,0,3,4,3,1,3,0,0,5
158,1,20,0,29,185999,0,3,1,1,1,0,0,1,0,4,1,0,0,0,0,3,4,3,1,4,0,1,5
159,0,19,0,15,514897,0,1,7,1,0,0,0,1,0,0,3,0,0,1,0,3,1,3,1,4,1,0,6
160,1,17,0,30,155939,0,2,6,0,0,1,1,0,1,4,4,1,0,1,0,2,2,4,1,2,1,1,8
161,0,16,0,10,117509,0,1,6,1,1,1,0,1,1,0,0,1,1,0,1,2,3,5,0,2,0,1,9
162,0,21,0,24,190326,1,3,5,1,0,1,0,1,1,0,1,0,0,1,0,2,3,1,0,3,1,0,9
163,1,18,0,15,687536,1,3,7,1,0,0,1,1,0,3,4,1,0,1,1,3,5,3,0,3,0,0,5
164,1,20,0,28,958396,1,2,3,0,1,1,0,1,0,1,5,1,1,0,0,3,3,5,1,4,0,0,6
165,1,20,0,6,365261,1,2,2,0,1,1,0,1,0,3,2,0,0,1,2,3,2,4,0,3,0,0,6
166,0,20,0,29,552425,0,4,6,0,1,0,0,0,1,4,1,1,1,0,0,2,3,4,1,3,1,0,7
167,0,17,0,11,495441,1,4,4,0,0,0,1,0,0,1,2,1,1,0,0,2,2,4,1,4,0,0,4
168,1,21,0,31,727110,1,1,3,1,1,1,0,0,1,4,3,0,0,1,0,2,5,3,0,3,0,0,7
169,1,14,1,28,154344,0,3,3,1,0,0,0,1,0,5,3,0,1,0,0,2,5,3,0,3,1,0,6
170,1,14,0,3,439154,0,4,5,0,0,1,0,1,0,3,5,0,1,1,1,3,5,1,0,1,1,1,5
171,1,19,0,1,191392,1,1,6,1,0,0,1,1,0,3,3,0,0,1,1,2,4,5,0,3,0,1,4
172,1,21,0,6,998537,0,2,2,0,1,1,1,0,1,2,3,1,0,1,0,2,1,3,0,1,1,0,7
173,0,15,1,30,315711,0,2,3,1,1,1,0,1,1,4,1,0,1,1,1,3,2,5,0,3,0,0,7
174,0,16,0,22,869874,1,2,3,1,1,0,1,1,1,0,1,1,1,1,0,2,5,1,0,2,1,0,10
175,0,17,0,28,628994,1,2,2,1,0,0,0,0,0,2,3,1,0,0,0,3,5,3,0,2,0,1,5
176,1,16,0,29,858352,1,1,2,1,1,0,1,0,0,1,3,1,0,1,1,2,5,4,1,4,0,1,6
177,1,19,1,24,563849,1,2,1,1,0,0,1,1,1,0,3,1,1,1,0,2,1,3,0,1,1,1,9
178,0,18,0,20,351749,0,4,6,1,1,0,1,1,1,1,1,1,1,0,0,2,5,4,1,3,1,1,8
179,0,16,0,25,848836,0,3,3,0,0,0,0,0,0,5,0,0,0,1,1,2,5,4,1,2,1,0,6
180,0,14,0,23,198108,1,1,4,0,1,0,1,0,1,0,0,0,1,1,1,2,5,3,1,3,1,1,8
181,0,21,0,11,430130,1,2,4,1,1,1,1,1,1,2,3,1,1,1,1,2,5,3,0,2,1,1,9
182,0,18,0,10,199279,1,4,4,1,1,0,0,1,0,2,5,1,1,0,0,2,1,2,0,4,1,1,6
183,0,19,0,25,569487,0,4,7,1,1,0,1,1,0,5,3,1,1,1,1,3,1,4,0,1,0,1,6
184,0,15,0,16,629543,1,4,6,0,1,1,1,1,1,3,0,0,1,0,0,2,5,3,0,2,1,1,7
185,1,17,0,18,512485,1,2,3,0,1,1,0,0,0,2,4,0,1,0,2,2,1,5,0,3,0,0,5
186,0,20,0,32,417422,0,1,3,0,0,0,0,0,0,5,3,0,1,0,1,3,4,2,1,4,0,1,2
187,0,16,0,23,430826,1,4,5,0,1,0,1,0,0,5,4,0,0,1,1,2,1,4,0,1,1,1,5
188,1,18,0,4,332183,1,2,1,0,1,1,1,1,1,0,3,0,0,0,0,3,3,4,1,2,0,0,8
189,0,19,0,9,385831,1,2,2,0,0,0,1,1,0,2,4,0,1,0,2,2,3,2,0,2,1,0,4
190,0,20,0,1,493819,0,1,6,1,0,1,0,1,0,5,2,1,0,1,2,2,4,3,1,4,1,1,6
191,0,16,1,27,560240,0,4,4,0,0,0,0,0,0,5,3,1,0,0,0,3,5,2,1,4,0,0,2
192,1,17,0,23,256564,1,4,7,0,1,0,0,1,0,5,0,0,0,0,2,2,2,5,0,3,1,0,4
193,1,16,1,19,587998,1,4,6,0,0,0,1,1,0,5,3,1,0,1,0,2,1,2,1,2,1,0,5
194,1,20,0,9,939571,1,2,2,1,1,1,0,0,1,3,0,0,1,1,2,2,3,4,1,2,1,0,10
195,0,14,0,30,227570,0,2,6,1,1,0,1,0,1,1,2,1,0,1,0,3,4,1,0,4,1,1,7
196,1,16,0,13,724351,0,1,7,0,0,0,1,0,0,1,0,1,1,1,2,2,4,1,0,4,1,1,6
197,0,20,0,10,749530,1,4,3,0,1,0,1,1,0,3,2,1,1,1,0,3,3,5,1,2,0,0,6
198,0,19,0,4,273020,0,2,6,0,1,0,0,1,0,1,1,0,0,1,1,2,2,1,1,1,1,1,4
199,0,19,0,4,688878,0,3,4,0,1,0,0,0,0,1,2,0,1,0,2,3,4,3,1,4,0,0,3
200,0,16,0,29,224398,1,1,3,0,0,0,1,1,0,0,0,1,1,0,1,2,5,2,0,3,0,1,6
201,1,16,1,23,172736,0,3,6,0,0,0,0,0,0,1,3,0,0,0,2,2,1,4,0,4,0,1,2
202,0,15,0,15,134943,1,3,3,0,1,1,0,1,1,3,4,1,1,0,0,3,3,5,0,4,1,0,7
203,1,15,0,7,903295,0,3,1,0,0,1,0,1,1,3,5,1,0,1,0,3,4,1,1,2,1,0,8
204,1,14,1,25,989443,0,4,1,0,1,1,1,1,0,1,5,1,0,0,2,2,5,5,0,3,1,1,6
205,1,20,0,16,319002,0,3,7,0,0,1,1,0,0,4,5,1,0,0,2,2,5,1,1,3,0,1,4
206,0,20,1,11,800816,1,1,3,0,1,1,1,0,0,4,5,0,1,0,1,2,3,3,0,2,0,0,5
207,1,21,0,15,530325,1,2,2,0,1,1,0,0,0,5,1,1,1,1,1,3,3,1,1,4,0,1,6
208,1,15,0,8,973666,1,3,2,0,0,0,0,1,0,5,3,1,0,0,0,3,4,1,0,1,0,1,3
209,0,21,1,33,289235,0,3,5,0,1,1,0,0,1,5,2,0,1,0,0,2,1,3,1,3,1,1,8
210,1,17,1,8,738585,0,1,5,0,1,0,0,1,0,2,1,0,1,0,2,3,5,2,1,3,1,1,6
211,0,15,0,31,254719,0,2,2,1,1,0,1,1,0,3,2,0,0,0,2,3,5,4,1,3,0,0,5
212,1,17,0,4,692528,0,4,3,0,0,0,0,1,0,1,2,1,0,0,1,2,4,3,0,1,1,0,2
213,0,17,0,14,258195,1,2,6,0,0,1,1,0,0,5,4,0,0,1,1,2,4,4,0,1,1,0,5
214,1,20,1,3,382155,0,2,2,0,1,1,0,1,1,0,3,0,0,1,0,3,2,3,1,1,1,1,7
215,1,14,0,18,486899,1,3,6,1,1,0,1,0,0,2,2,0,0,1,0,3,3,5,0,2,0,0,6
216,1,15,0,4,921858,1,1,6,1,0,1,0,1,0,1,3,0,1,1,1,3,2,5,1,3,0,0,6
217,1,21,0,1,393777,0,3,5,1,0,1,0,1,0,2,3,0,0,0,0,2,1,5,0,1,0,0,5
218,1,21,0,27,840190,1,3,2,1,1,1,0,0,0,4,3,1,0,1,1,3,2,3,0,1,0,0,6
219,0,15,0,6,515584,1,3,6,0,0,0,1,0,0,2,2,1,1,1,0,2,5,3,0,2,0,0,6
220,1,15,0,15,149903,1,3,7,1,1,0,0,1,1,5,5,1,1,1,1,3,2,5,1,4,1,0,7
221,1,18,0,23,945935,1,1,1,0,0,0,0,0,0,5,3,0,1,0,2,3,3,5,0,1,1,0,4
222,0,15,0,3,614952,0,3,4,1,0,1,1,1,0,0,5,0,0,1,2,3,4,5,1,4,0,0,5
223,1,17,0,18,134538,1,1,2,0,1,1,0,0,0,1,4,0,1,0,2,2,4,2,0,1,1,1,5
224,1,15,0,27,711606,1,3,2,1,1,0,1,0,0,1,3,1,0,1,1,3,3,1,0,4,0,0,5
225,1,17,0,32,926952,1,2,3,1,1,0,1,1,1,4,3,1,0,1,0,3,5,1,1,3,1,1,8
226,1,18,1,7,899748,0,2,3,0,0,0,1,0,0,1,1,1,0,1,2,3,2,3,1,4,0,1,3
227,0,18,0,4,182944,0,1,5,1,0,0,1,0,1,5,1,1,1,1,1,2,4,5,1,2,0,1,7
228,1,16,0,28,597756,0,3,1,1,0,1,1,0,1,5,0,1,0,1,2,2,1,4,0,4,1,0,9
229,0,18,0,17,791704,0,4,1,0,0,1,0,0,0,4,2,0,0,0,0,2,1,2,1,3,0,1,4
230,1,18,0,24,656419,1,2,2,0,0,0,0,0,0,3,3,0,1,0,0,3,3,2,1,2,1,1,5
